hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,111.387,,0.0,20.2518,111.387,20.2518,-68.6132,2416.25,monload-611_runway,,,,,,,,2.4,,,1.0067708333333334
2,0.0,,111.397,,0.0,21.49,111.396,21.49,-68.6043,2416.97,monload-611_runway,,,,,,,,2.4,,,1.0070708333333334
3,0.0,,111.42,,0.0,18.735,111.41799999999999,18.735,-68.5816,2417.96,monload-611_runway,,,,,,,,2.4,,,1.0074833333333333
4,0.0,,111.426,,0.0,18.1696,111.425,18.1696,-68.5745,2418.23,monload-611_runway,,,,,,,,2.4,,,1.0075958333333332
5,0.0,,111.36399999999999,,0.0,18.3433,111.368,18.3433,-68.6323,2415.97,monload-611_runway,,,,,,,,2.4,,,1.0066541666666666
6,0.0,,111.29899999999999,,0.0,19.8621,111.29899999999999,19.8621,-68.7008,2413.2,monload-611_runway,,,,,,,,2.4,,,1.0054999999999998
7,0.0,,111.075,,0.0,29.8483,111.07700000000001,29.8483,-68.9233,2405.28,monload-611_runway,,,,,,,,2.4,,,1.0022
8,0.0,,110.98100000000001,,0.0,31.8618,110.98200000000001,31.8618,-69.0181,2399.91,monload-611_runway,,,,,,,,2.4,,,0.9999625
9,0.0,,110.829,,0.0,44.0268,110.83,44.0268,-69.1702,2394.63,monload-611_runway,,,,,,,,2.4,,,0.9977625
10,0.0,,110.49700000000001,,0.0,37.8158,110.50200000000001,37.8158,-69.4984,2377.17,monload-611_runway,,,,,,,,2.4,,,0.9904875000000001
11,0.0,,111.051,,0.0,26.7204,111.051,26.7204,-68.9494,2404.19,monload-611_runway,,,,,,,,2.4,,,1.0017458333333333
12,0.0,,113.1,,0.0,25.0426,113.104,25.0426,-66.8957,2492.42,monload-611_runway,,,,,,,,2.4,,,1.0385083333333334
13,0.0,,110.77,,0.0,24.9564,110.772,24.9564,-69.2285,2374.73,monload-611_runway,,,,,,,,2.4,,,0.9894708333333333
14,0.0,,111.74600000000001,,0.0,24.9959,111.745,24.9959,-68.2545,2424.01,monload-611_runway,,,,,,,,2.4,,,1.0100041666666668
15,0.0,,112.559,,0.0,24.9268,112.55799999999999,24.9268,-67.4421,2464.98,monload-611_runway,,,,,,,,2.4,,,1.027075
