hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,111.227,,0.0,20.2518,111.23,20.2518,-68.7699,2407.5,monload-611_runway,,,,,,,,2.4,,,1.003125
2,0.0,,111.22,,0.0,21.49,111.22,21.49,-68.7799,2407.29,monload-611_runway,,,,,,,,2.4,,,1.0030375
3,0.0,,111.246,,0.0,18.735,111.244,18.735,-68.7563,2408.43,monload-611_runway,,,,,,,,2.4,,,1.0035125
4,0.0,,111.251,,0.0,18.1696,111.251,18.1696,-68.7493,2408.68,monload-611_runway,,,,,,,,2.4,,,1.0036166666666666
5,0.0,,111.048,,0.0,18.3433,111.05,18.3433,-68.9501,2399.11,monload-611_runway,,,,,,,,2.4,,,0.9996291666666667
6,0.0,,110.916,,0.0,19.8621,110.917,19.8621,-69.0826,2392.69,monload-611_runway,,,,,,,,2.4,,,0.9969541666666667
7,0.0,,110.163,,0.0,29.8483,110.164,29.8483,-69.8363,2357.26,monload-611_runway,,,,,,,,2.4,,,0.9821916666666668
8,0.0,,110.257,,0.0,31.8618,110.257,31.8618,-69.7434,2361.74,monload-611_runway,,,,,,,,2.4,,,0.9840583333333333
9,0.0,,109.945,,0.0,44.0268,109.946,44.0268,-70.0543,2348.5,monload-611_runway,,,,,,,,2.4,,,0.9785416666666666
10,0.0,,110.483,,0.0,37.8158,110.483,37.8158,-69.5166,2375.95,monload-611_runway,,,,,,,,2.4,,,0.9899791666666666
11,0.0,,111.1,,0.0,26.7204,111.101,26.7204,-68.899,2406.75,monload-611_runway,,,,,,,,2.4,,,1.0028125
12,0.0,,112.053,,0.0,25.0426,112.057,25.0426,-67.9428,2439.67,monload-611_runway,,,,,,,,2.4,,,1.0165291666666667
13,0.0,,111.278,,0.0,24.9564,111.279,24.9564,-68.721,2400.74,monload-611_runway,,,,,,,,2.4,,,1.0003083333333331
14,0.0,,111.293,,0.0,24.9959,111.292,24.9959,-68.7078,2400.96,monload-611_runway,,,,,,,,2.4,,,1.0004
15,0.0,,111.78,,0.0,24.9268,111.779,24.9268,-68.2211,2425.62,monload-611_runway,,,,,,,,2.4,,,1.010675
16,0.0,,112.346,,0.0,24.7866,112.346,24.7866,-67.6538,2454.62,monload-611_runway,,,,,,,,2.4,,,1.0227583333333332
17,0.0,,111.111,,0.0,25.989,111.112,25.989,-68.888,2392.02,monload-611_runway,,,,,,,,2.4,,,0.996675
18,0.0,,110.053,,0.0,31.4301,110.053,31.4301,-69.9469,2337.14,monload-611_runway,,,,,,,,2.4,,,0.9738083333333333
19,0.0,,109.802,,0.0,43.1551,109.798,43.1551,-70.2017,2340.05,monload-611_runway,,,,,,,,2.4,,,0.9750208333333334
20,0.0,,109.806,,0.0,45.3034,109.805,45.3034,-70.1952,2340.36,monload-611_runway,,,,,,,,2.4,,,0.9751500000000001
21,0.0,,109.946,,0.0,47.8087,109.945,47.8087,-70.0553,2347.12,monload-611_runway,,,,,,,,2.4,,,0.9779666666666667
22,0.0,,110.111,,0.0,46.4444,110.109,46.4444,-69.8907,2355.27,monload-611_runway,,,,,,,,2.4,,,0.9813625
23,0.0,,110.59,,0.0,35.6973,110.584,35.6973,-69.416,2378.01,monload-611_runway,,,,,,,,2.4,,,0.9908375
24,0.0,,110.976,,0.0,22.9122,110.971,22.9122,-69.0286,2395.99,monload-611_runway,,,,,,,,2.4,,,0.9983291666666666
25,0.0,,111.1,,0.0,18.6667,111.098,18.6667,-68.9016,2401.91,monload-611_runway,,,,,,,,2.4,,,1.0007958333333333
26,0.0,,111.103,,0.0,17.8494,111.103,17.8494,-68.8974,2402.04,monload-611_runway,,,,,,,,2.4,,,1.00085
27,0.0,,111.117,,0.0,16.9263,111.116,16.9263,-68.8844,2402.68,monload-611_runway,,,,,,,,2.4,,,1.0011166666666667
28,0.0,,111.118,,0.0,17.0116,111.118,17.0116,-68.8818,2402.72,monload-611_runway,,,,,,,,2.4,,,1.0011333333333332
29,0.0,,110.39,,0.0,17.6802,110.391,17.6802,-69.6088,2368.56,monload-611_runway,,,,,,,,2.4,,,0.9869
30,0.0,,110.117,,0.0,21.26,110.121,21.26,-69.8791,2355.52,monload-611_runway,,,,,,,,2.4,,,0.9814666666666667
31,0.0,,108.5,,0.0,33.1583,108.5,33.1583,-71.5,2278.52,monload-611_runway,,,,,,,,2.4,,,0.9493833333333334
32,0.0,,107.874,,0.0,34.5753,107.873,34.5753,-72.1265,2262.82,monload-611_runway,,,,,,,,2.4,,,0.9428416666666667
33,0.0,,108.144,,0.0,30.7513,108.144,30.7513,-71.8562,2278.31,monload-611_runway,,,,,,,,2.4,,,0.9492958333333333
34,0.0,,108.571,,0.0,31.0977,108.569,31.0977,-71.4311,2302.51,monload-611_runway,,,,,,,,2.4,,,0.9593791666666668
35,0.0,,109.069,,0.0,25.135,109.065,25.135,-70.9348,2328.72,monload-611_runway,,,,,,,,2.4,,,0.9702999999999999
36,0.0,,107.854,,0.0,25.8096,107.853,25.8096,-72.1468,2263.84,monload-611_runway,,,,,,,,2.4,,,0.9432666666666667
37,0.0,,110.731,,0.0,26.4116,110.733,26.4116,-69.2669,2401.51,monload-611_runway,,,,,,,,2.4,,,1.0006291666666667
38,0.0,,108.679,,0.0,25.3752,108.674,25.3752,-71.326,2294.7,monload-611_runway,,,,,,,,2.4,,,0.9561249999999999
39,0.0,,111.264,,0.0,24.5082,111.265,24.5082,-68.7346,2429.35,monload-611_runway,,,,,,,,2.4,,,1.0122291666666667
40,0.0,,110.213,,0.0,24.748,110.214,24.748,-69.7864,2375.35,monload-611_runway,,,,,,,,2.4,,,0.9897291666666667
41,0.0,,108.605,,0.0,25.8685,108.606,25.8685,-71.3939,2291.28,monload-611_runway,,,,,,,,2.4,,,0.9547000000000001
42,0.0,,107.509,,0.0,31.1463,107.508,31.1463,-72.4923,2244.77,monload-611_runway,,,,,,,,2.4,,,0.9353208333333334
43,0.0,,108.388,,0.0,38.7986,108.391,38.7986,-71.6092,2286.91,monload-611_runway,,,,,,,,2.4,,,0.9528791666666666
44,0.0,,108.377,,0.0,41.1781,108.377,41.1781,-71.6227,2286.51,monload-611_runway,,,,,,,,2.4,,,0.9527125000000001
45,0.0,,109.096,,0.0,45.1231,109.094,45.1231,-70.9058,2321.38,monload-611_runway,,,,,,,,2.4,,,0.9672416666666667
46,0.0,,109.449,,0.0,42.3023,109.448,42.3023,-70.5522,2338.69,monload-611_runway,,,,,,,,2.4,,,0.9744541666666667
47,0.0,,110.306,,0.0,30.8497,110.305,30.8497,-69.6954,2379.52,monload-611_runway,,,,,,,,2.4,,,0.9914666666666666
48,0.0,,110.647,,0.0,21.1497,110.641,21.1497,-69.3592,2395.62,monload-611_runway,,,,,,,,2.4,,,0.9981749999999999
49,0.0,,110.773,,0.0,18.8942,110.771,18.8942,-69.2295,2401.72,monload-611_runway,,,,,,,,2.4,,,1.0007166666666665
50,0.0,,110.809,,0.0,18.3946,110.803,18.3946,-69.1966,2403.41,monload-611_runway,,,,,,,,2.4,,,1.0014208333333332
51,0.0,,110.827,,0.0,17.8874,110.83,17.8874,-69.1697,2388.94,monload-611_runway,,,,,,,,2.4,,,0.9953916666666667
52,0.0,,110.825,,0.0,18.4384,110.825,18.4384,-69.1748,2388.85,monload-611_runway,,,,,,,,2.4,,,0.9953541666666667
53,0.0,,110.09,,0.0,19.6598,110.091,19.6598,-69.9095,2354.21,monload-611_runway,,,,,,,,2.4,,,0.9809208333333334
54,0.0,,109.791,,0.0,23.9779,109.794,23.9779,-70.2059,2339.89,monload-611_runway,,,,,,,,2.4,,,0.9749541666666666
55,0.0,,108.234,,0.0,35.7182,108.235,35.7182,-71.7654,2280.07,monload-611_runway,,,,,,,,2.4,,,0.9500291666666667
56,0.0,,107.636,,0.0,35.4958,107.638,35.4958,-72.3618,2251.01,monload-611_runway,,,,,,,,2.4,,,0.9379208333333334
57,0.0,,108.659,,0.0,31.5574,108.657,31.5574,-71.3431,2307.14,monload-611_runway,,,,,,,,2.4,,,0.9613083333333333
58,0.0,,110.57,,0.0,31.2533,110.572,31.2533,-69.4279,2394.05,monload-611_runway,,,,,,,,2.4,,,0.9975208333333334
59,0.0,,110.9,,0.0,24.7817,110.902,24.7817,-69.0979,2410.53,monload-611_runway,,,,,,,,2.4,,,1.0043875
60,0.0,,116.565,,0.0,25.9092,116.565,25.9092,-63.4355,2401.85,monload-611_runway,,,,,,,,2.4,,,1.0007708333333334
61,0.0,,116.64,,0.0,27.1001,116.64,27.1001,-63.3599,2402.92,monload-611_runway,,,,,,,,2.4,,,1.0012166666666666
62,0.0,,116.555,,0.0,27.5835,116.558,27.5835,-63.4419,2401.16,monload-611_runway,,,,,,,,2.4,,,1.0004833333333332
63,0.0,,116.535,,0.0,27.9419,116.536,27.9419,-63.4644,2400.9,monload-611_runway,,,,,,,,2.4,,,1.000375
64,0.0,,116.514,,0.0,28.0794,116.514,28.0794,-63.4859,2400.55,monload-611_runway,,,,,,,,2.4,,,1.0002291666666667
65,0.0,,116.453,,0.0,28.5183,116.453,28.5183,-63.547,2399.6,monload-611_runway,,,,,,,,2.4,,,0.9998333333333332
66,0.0,,116.424,,0.0,32.6003,116.424,32.6003,-63.5756,2398.71,monload-611_runway,,,,,,,,2.4,,,0.9994625
67,0.0,,116.9,,0.0,38.728,116.885,38.728,-63.1151,2408.68,monload-611_runway,,,,,,,,2.4,,,1.0036166666666666
68,0.0,,116.895,,0.0,40.8709,116.896,40.8709,-63.1045,2408.48,monload-611_runway,,,,,,,,2.4,,,1.0035333333333334
69,0.0,,117.146,,0.0,44.806,117.138,44.806,-62.8623,2413.6,monload-611_runway,,,,,,,,2.4,,,1.0056666666666667
70,0.0,,117.253,,0.0,41.9513,117.253,41.9513,-62.7469,2415.91,monload-611_runway,,,,,,,,2.4,,,1.0066291666666667
71,0.0,,117.563,,0.0,30.874,117.552,30.874,-62.4477,2422.79,monload-611_runway,,,,,,,,2.4,,,1.0094958333333333
72,0.0,,117.696,,0.0,21.1947,117.691,21.1947,-62.3088,2425.9,monload-611_runway,,,,,,,,2.4,,,1.0107916666666668
73,0.0,,117.76,,0.0,18.5785,117.758,18.5785,-62.2425,2427.3,monload-611_runway,,,,,,,,2.4,,,1.0113750000000001
