hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2427.73, -1.74652, 2402.35, -121.509, 2373.12, 115.116, 4.6505, -2.35905, 4.71386, -122.595, 4.66579, 116.848
2, 0.00000, 2427.28, -1.76387, 2402.45, -121.497, 2371.46, 115.072, 4.5387, -2.36845, 4.60155, -122.606, 4.55403, 116.827
3, 0.00000, 2426.74, -1.77287, 2402.4, -121.504, 2372.18, 115.09, 4.53866, -2.37351, 4.60129, -122.604, 4.55434, 116.828
4, 0.00000, 2426.59, -1.77581, 2402.38, -121.505, 2372.3, 115.093, 4.53864, -2.37509, 4.60121, -122.604, 4.55445, 116.828
5, 0.00000, 2425.7, -1.81583, 2401.16, -121.511, 2366.28, 114.942, 4.53793, -2.41607, 4.60306, -122.671, 4.55324, 116.746
6, 0.00000, 2425.87, -1.81484, 2400.67, -121.519, 2364.68, 114.905, 4.53801, -2.42191, 4.60351, -122.688, 4.55269, 116.73
7, 0.00000, 2422.81, -1.97121, 2396.65, -121.51, 2339.38, 114.272, 4.53473, -2.57371, 4.61171, -122.954, 4.54742, 116.395
8, 0.00000, 2424.52, -1.93848, 2403.54, -121.339, 2339.32, 114.27, 1.80504, -2.49187, 1.83754, -122.865, 1.81122, 116.429
9, 0.00000, 2438.88, -2.03688, 2402.46, -121.268, 2318.2, 113.743, 1.26015, -2.57031, 1.28374, -123.1, 1.26191, 116.235
10, 0.00000, 2440.64, -1.97652, 2403.32, -121.277, 2325.21, 113.914, 1.26049, -2.52401, 1.28314, -123.032, 1.2622, 116.33
11, 0.00000, 2433.65, -2.09239, 2404.04, -121.299, 2333.13, 114.109, 1.2601, -2.57045, 1.28223, -122.974, 1.26354, 116.357
12, 0.00000, 2430.43, -2.15487, 2404.04, -121.304, 2333.81, 114.127, 1.25983, -2.60241, 1.28208, -122.974, 1.26396, 116.337
13, 0.00000, 2426.98, -2.22029, 2404.23, -121.304, 2334.77, 114.151, 1.25953, -2.63347, 1.28193, -122.97, 1.26442, 116.318
14, 0.00000, 2426.92, -2.21584, 2404.53, -121.303, 2336.35, 114.19, 1.25955, -2.62687, 1.28181, -122.954, 1.26453, 116.334
15, 0.00000, 2427.7, -2.20155, 2404.48, -121.303, 2336.04, 114.182, 1.25961, -2.62029, 1.28183, -122.954, 1.26444, 116.339
