hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,112.788,,0.0,20.2518,112.791,20.2518,-67.2088,2313.85,monload-611_runway,,,,,,,,2.4,,,0.9641041666666667
2,0.0,,113.601,,0.0,21.49,113.601,21.49,-66.3991,2349.74,monload-611_runway,,,,,,,,2.4,,,0.9790583333333333
3,0.0,,113.62700000000001,,0.0,18.735,113.626,18.735,-66.3743,2350.8,monload-611_runway,,,,,,,,2.4,,,0.9795
4,0.0,,113.633,,0.0,18.1696,113.633,18.1696,-66.3675,2351.02,monload-611_runway,,,,,,,,2.4,,,0.9795916666666666
5,0.0,,113.397,,0.0,18.3433,113.399,18.3433,-66.6008,2341.18,monload-611_runway,,,,,,,,2.4,,,0.9754916666666666
6,0.0,,113.25200000000001,,0.0,19.8621,113.25299999999999,19.8621,-66.7471,2334.89,monload-611_runway,,,,,,,,2.4,,,0.9728708333333332
7,0.0,,112.37799999999999,,0.0,29.8483,112.37299999999999,29.8483,-67.627,2298.0,monload-611_runway,,,,,,,,2.4,,,0.9575
8,0.0,,112.50200000000001,,0.0,31.8618,112.5,31.8618,-67.4999,2303.48,monload-611_runway,,,,,,,,2.4,,,0.9597833333333333
9,0.0,,112.041,,0.0,44.0268,112.042,44.0268,-67.9581,2284.59,monload-611_runway,,,,,,,,2.4,,,0.9519125
10,0.0,,112.45700000000001,,0.0,37.8158,112.45700000000001,37.8158,-67.5431,2302.76,monload-611_runway,,,,,,,,2.4,,,0.9594833333333335
11,0.0,,112.84299999999999,,0.0,26.7204,112.838,26.7204,-67.16199999999999,2319.2,monload-611_runway,,,,,,,,2.4,,,0.9663333333333333
12,0.0,,113.57799999999999,,0.0,25.0426,113.57700000000001,25.0426,-66.4231,2351.11,monload-611_runway,,,,,,,,2.4,,,0.9796291666666668
13,0.0,,112.796,,0.0,24.9564,112.79700000000001,24.9564,-67.2034,2316.77,monload-611_runway,,,,,,,,2.4,,,0.9653208333333333
14,0.0,,113.176,,0.0,24.9959,113.17200000000001,24.9959,-66.8282,2333.35,monload-611_runway,,,,,,,,2.4,,,0.9722291666666666
15,0.0,,113.45100000000001,,0.0,24.9268,113.448,24.9268,-66.5524,2345.4,monload-611_runway,,,,,,,,2.4,,,0.9772500000000001
16,0.0,,113.476,,0.0,24.7866,113.473,24.7866,-66.5269,2346.5,monload-611_runway,,,,,,,,2.4,,,0.9777083333333333
17,0.0,,112.90799999999999,,0.0,25.989,112.90899999999999,25.989,-67.0911,2321.47,monload-611_runway,,,,,,,,2.4,,,0.9672791666666666
18,0.0,,112.244,,0.0,31.4301,112.245,31.4301,-67.755,2292.21,monload-611_runway,,,,,,,,2.4,,,0.9550875
19,0.0,,111.948,,0.0,43.1486,111.95,43.1486,-68.05,2279.57,monload-611_runway,,,,,,,,2.4,,,0.9498208333333334
20,0.0,,111.961,,0.0,45.3034,111.961,45.3034,-68.0392,2280.19,monload-611_runway,,,,,,,,2.4,,,0.9500791666666667
21,0.0,,112.134,,0.0,47.8087,112.133,47.8087,-67.8674,2287.54,monload-611_runway,,,,,,,,2.4,,,0.9531416666666667
22,0.0,,112.334,,0.0,46.4444,112.333,46.4444,-67.6675,2296.26,monload-611_runway,,,,,,,,2.4,,,0.956775
23,0.0,,112.911,,0.0,35.6973,112.90700000000001,35.6973,-67.0929,2320.62,monload-611_runway,,,,,,,,2.4,,,0.9669249999999999
24,0.0,,113.322,,0.0,22.9122,113.32,22.9122,-66.6803,2337.85,monload-611_runway,,,,,,,,2.4,,,0.9741041666666667
25,0.0,,113.47,,0.0,18.6667,113.469,18.6667,-66.5307,2344.1,monload-611_runway,,,,,,,,2.4,,,0.9767083333333333
26,0.0,,113.479,,0.0,17.8494,113.478,17.8494,-66.5216,2344.45,monload-611_runway,,,,,,,,2.4,,,0.9768541666666666
27,0.0,,113.49700000000001,,0.0,16.9263,113.49600000000001,16.9263,-66.5041,2345.17,monload-611_runway,,,,,,,,2.4,,,0.9771541666666667
28,0.0,,113.499,,0.0,17.0116,113.499,17.0116,-66.5008,2345.26,monload-611_runway,,,,,,,,2.4,,,0.9771916666666668
29,0.0,,112.662,,0.0,17.6802,112.663,17.6802,-67.3373,2310.31,monload-611_runway,,,,,,,,2.4,,,0.9626291666666666
30,0.0,,112.346,,0.0,21.26,112.348,21.26,-67.6516,2296.82,monload-611_runway,,,,,,,,2.4,,,0.9570083333333333
31,0.0,,111.27799999999999,,0.0,32.7737,111.277,32.7737,-68.7229,2253.49,monload-611_runway,,,,,,,,2.4,,,0.9389541666666665
32,0.0,,109.921,,0.0,33.4435,109.921,33.4435,-70.079,2192.65,monload-611_runway,,,,,,,,2.4,,,0.9136041666666667
33,0.0,,109.958,,0.0,29.5687,109.958,29.5687,-70.0424,2195.29,monload-611_runway,,,,,,,,2.4,,,0.9147041666666667
34,0.0,,109.376,,0.0,29.6917,109.38,29.6917,-70.6201,2182.16,monload-611_runway,,,,,,,,2.4,,,0.9092333333333332
35,0.0,,109.60600000000001,,0.0,24.1219,109.60600000000001,24.1219,-70.3943,2192.95,monload-611_runway,,,,,,,,2.4,,,0.9137291666666666
36,0.0,,110.182,,0.0,25.2966,110.182,25.2966,-69.8183,2221.19,monload-611_runway,,,,,,,,2.4,,,0.9254958333333334
37,0.0,,110.22399999999999,,0.0,25.7098,110.22399999999999,25.7098,-69.7765,2222.61,monload-611_runway,,,,,,,,2.4,,,0.9260875000000001
38,0.0,,109.948,,0.0,24.5499,109.948,24.5499,-70.0522,2209.75,monload-611_runway,,,,,,,,2.4,,,0.9207291666666667
39,0.0,,111.154,,0.0,24.3627,111.15299999999999,24.3627,-68.8472,2267.17,monload-611_runway,,,,,,,,2.4,,,0.9446541666666667
40,0.0,,110.59200000000001,,0.0,24.2991,110.594,24.2991,-69.4064,2240.83,monload-611_runway,,,,,,,,2.4,,,0.9336791666666666
41,0.0,,109.898,,0.0,25.0022,109.898,25.0022,-70.1018,2207.66,monload-611_runway,,,,,,,,2.4,,,0.9198583333333332
42,0.0,,109.969,,0.0,30.6402,109.969,30.6402,-70.0312,2210.21,monload-611_runway,,,,,,,,2.4,,,0.9209208333333333
43,0.0,,110.431,,0.0,37.8619,110.431,37.8619,-69.569,2227.86,monload-611_runway,,,,,,,,2.4,,,0.9282750000000001
44,0.0,,110.42200000000001,,0.0,40.1838,110.42200000000001,40.1838,-69.5777,2227.84,monload-611_runway,,,,,,,,2.4,,,0.9282666666666667
45,0.0,,110.459,,0.0,44.0234,110.459,44.0234,-69.5412,2227.36,monload-611_runway,,,,,,,,2.4,,,0.9280666666666667
46,0.0,,110.83,,0.0,41.5918,110.83,41.5918,-69.1704,2243.72,monload-611_runway,,,,,,,,2.4,,,0.9348833333333333
47,0.0,,112.536,,0.0,30.8497,112.539,30.8497,-67.4607,2304.93,monload-611_runway,,,,,,,,2.4,,,0.9603875
48,0.0,,112.906,,0.0,21.1497,112.90799999999999,21.1497,-67.0919,2320.33,monload-611_runway,,,,,,,,2.4,,,0.9668041666666667
49,0.0,,113.06200000000001,,0.0,18.8942,113.061,18.8942,-66.9391,2327.01,monload-611_runway,,,,,,,,2.4,,,0.9695875
50,0.0,,113.10799999999999,,0.0,18.3946,113.104,18.3946,-66.8959,2328.91,monload-611_runway,,,,,,,,2.4,,,0.9703791666666666
51,0.0,,113.165,,0.0,17.8874,113.16,17.8874,-66.8401,2331.24,monload-611_runway,,,,,,,,2.4,,,0.9713499999999999
52,0.0,,113.161,,0.0,18.4384,113.161,18.4384,-66.839,2331.05,monload-611_runway,,,,,,,,2.4,,,0.9712708333333334
53,0.0,,112.302,,0.0,19.6598,112.303,19.6598,-67.6974,2295.0,monload-611_runway,,,,,,,,2.4,,,0.95625
54,0.0,,111.965,,0.0,23.9779,111.96700000000001,23.9779,-68.0332,2280.55,monload-611_runway,,,,,,,,2.4,,,0.9502291666666668
55,0.0,,110.978,,0.0,35.0632,110.977,35.0632,-69.0227,2240.39,monload-611_runway,,,,,,,,2.4,,,0.9334958333333333
56,0.0,,109.656,,0.0,34.3261,109.65700000000001,34.3261,-70.3435,2180.81,monload-611_runway,,,,,,,,2.4,,,0.9086708333333333
57,0.0,,110.051,,0.0,30.3947,110.051,30.3947,-69.9489,2200.42,monload-611_runway,,,,,,,,2.4,,,0.9168416666666667
58,0.0,,110.552,,0.0,30.4561,110.552,30.4561,-69.4478,2224.91,monload-611_runway,,,,,,,,2.4,,,0.9270458333333332
59,0.0,,111.109,,0.0,24.4415,111.10799999999999,24.4415,-68.8916,2250.35,monload-611_runway,,,,,,,,2.4,,,0.9376458333333333
60,0.0,,110.249,,0.0,25.0691,110.249,25.0691,-69.7509,2209.95,monload-611_runway,,,,,,,,2.4,,,0.9208124999999999
61,0.0,,110.94,,0.0,26.616999999999997,110.94,26.616999999999997,-69.0597,2241.5,monload-611_runway,,,,,,,,2.4,,,0.9339583333333333
62,0.0,,110.691,,0.0,26.954,110.69200000000001,26.954,-69.3083,2230.8,monload-611_runway,,,,,,,,2.4,,,0.9295000000000001
63,0.0,,110.448,,0.0,27.1592,110.448,27.1592,-69.5522,2219.5,monload-611_runway,,,,,,,,2.4,,,0.9247916666666667
64,0.0,,110.266,,0.0,27.1828,110.266,27.1828,-69.7342,2211.03,monload-611_runway,,,,,,,,2.4,,,0.9212625000000001
65,0.0,,109.727,,0.0,27.2752,109.727,27.2752,-70.2727,2185.84,monload-611_runway,,,,,,,,2.4,,,0.9107666666666667
66,0.0,,109.43299999999999,,0.0,31.1608,109.43799999999999,31.1608,-70.5618,2184.42,monload-611_runway,,,,,,,,2.4,,,0.9101750000000001
67,0.0,,110.664,,0.0,37.9809,110.663,37.9809,-69.3369,2238.3,monload-611_runway,,,,,,,,2.4,,,0.932625
68,0.0,,110.671,,0.0,40.0894,110.671,40.0894,-69.3288,2238.7,monload-611_runway,,,,,,,,2.4,,,0.9327916666666666
69,0.0,,111.39,,0.0,44.5972,111.38799999999999,44.5972,-68.6119,2269.89,monload-611_runway,,,,,,,,2.4,,,0.9457874999999999
70,0.0,,111.75200000000001,,0.0,41.9513,111.74799999999999,41.9513,-68.2524,2285.68,monload-611_runway,,,,,,,,2.4,,,0.9523666666666666
71,0.0,,112.76,,0.0,30.874000000000002,112.764,30.874000000000002,-67.2364,2314.12,monload-611_runway,,,,,,,,2.4,,,0.9642166666666666
72,0.0,,113.13600000000001,,0.0,21.1947,113.132,21.1947,-66.8677,2329.97,monload-611_runway,,,,,,,,2.4,,,0.9708208333333332
73,0.0,,113.36200000000001,,0.0,18.5785,113.36,18.5785,-66.6399,2339.53,monload-611_runway,,,,,,,,2.4,,,0.9748041666666668
74,0.0,,113.39200000000001,,0.0,17.7129,113.389,17.7129,-66.6113,2340.76,monload-611_runway,,,,,,,,2.4,,,0.9753166666666667
75,0.0,,113.42299999999999,,0.0,16.7422,113.42,16.7422,-66.5801,2342.07,monload-611_runway,,,,,,,,2.4,,,0.9758625000000001
76,0.0,,113.42,,0.0,16.8093,113.42,16.8093,-66.5798,2341.94,monload-611_runway,,,,,,,,2.4,,,0.9758083333333334
77,0.0,,112.58,,0.0,17.5128,112.581,17.5128,-67.4189,2306.84,monload-611_runway,,,,,,,,2.4,,,0.9611833333333334
78,0.0,,112.37299999999999,,0.0,20.9229,112.375,20.9229,-67.6252,2297.92,monload-611_runway,,,,,,,,2.4,,,0.9574666666666667
79,0.0,,110.585,,0.0,31.8324,110.586,31.8324,-69.4143,2221.58,monload-611_runway,,,,,,,,2.4,,,0.9256583333333332
80,0.0,,109.87200000000001,,0.0,33.5451,109.87700000000001,33.5451,-70.1225,2190.74,monload-611_runway,,,,,,,,2.4,,,0.9128083333333332
81,0.0,,110.455,,0.0,29.9506,110.45200000000001,29.9506,-69.5479,2218.99,monload-611_runway,,,,,,,,2.4,,,0.9245791666666666
82,0.0,,110.586,,0.0,29.3529,110.585,29.3529,-69.4149,2225.89,monload-611_runway,,,,,,,,2.4,,,0.9274541666666666
83,0.0,,112.23899999999999,,0.0,23.08,112.23899999999999,23.08,-67.7608,2301.82,monload-611_runway,,,,,,,,2.4,,,0.9590916666666668
84,0.0,,112.709,,0.0,23.6213,112.709,23.6213,-67.2914,2323.35,monload-611_runway,,,,,,,,2.4,,,0.9680624999999999
85,0.0,,113.12200000000001,,0.0,24.733,113.12,24.733,-66.8801,2341.13,monload-611_runway,,,,,,,,2.4,,,0.9754708333333334
86,0.0,,112.66,,0.0,26.0612,112.662,26.0612,-67.3384,2321.87,monload-611_runway,,,,,,,,2.4,,,0.9674458333333333
87,0.0,,112.039,,0.0,26.4039,112.042,26.4039,-67.958,2294.47,monload-611_runway,,,,,,,,2.4,,,0.9560291666666666
88,0.0,,111.23899999999999,,0.0,26.0643,111.23899999999999,26.0643,-68.7609,2257.92,monload-611_runway,,,,,,,,2.4,,,0.9408000000000001
89,0.0,,110.116,,0.0,26.6142,110.115,26.6142,-69.885,2205.52,monload-611_runway,,,,,,,,2.4,,,0.9189666666666667
90,0.0,,109.84299999999999,,0.0,32.4405,109.84100000000001,32.4405,-70.15899999999999,2191.69,monload-611_runway,,,,,,,,2.4,,,0.9132041666666667
91,0.0,,110.196,,0.0,40.0087,110.196,40.0087,-69.8043,2204.24,monload-611_runway,,,,,,,,2.4,,,0.9184333333333332
92,0.0,,110.214,,0.0,43.0011,110.214,43.0011,-69.7861,2205.13,monload-611_runway,,,,,,,,2.4,,,0.9188041666666668
93,0.0,,110.935,,0.0,48.2803,110.935,48.2803,-69.0648,2236.46,monload-611_runway,,,,,,,,2.4,,,0.9318583333333333
94,0.0,,111.3,,0.0,45.8253,111.3,45.8253,-68.6998,2252.4,monload-611_runway,,,,,,,,2.4,,,0.9385
95,0.0,,112.274,,0.0,34.3923,112.26799999999999,34.3923,-67.732,2293.94,monload-611_runway,,,,,,,,2.4,,,0.9558083333333334
96,0.0,,112.664,,0.0,24.0131,112.65700000000001,24.0131,-67.3428,2310.51,monload-611_runway,,,,,,,,2.4,,,0.9627125000000001
97,0.0,,112.89,,0.0,21.7964,112.88600000000001,21.7964,-67.1141,2320.14,monload-611_runway,,,,,,,,2.4,,,0.966725
98,0.0,,112.943,,0.0,20.8093,112.935,20.8093,-67.0648,2322.37,monload-611_runway,,,,,,,,2.4,,,0.9676541666666666
99,0.0,,112.98700000000001,,0.0,19.5335,112.98100000000001,19.5335,-67.0189,2324.23,monload-611_runway,,,,,,,,2.4,,,0.9684291666666667
100,0.0,,113.05,,0.0,19.3539,113.04899999999999,19.3539,-66.9507,2326.84,monload-611_runway,,,,,,,,2.4,,,0.9695166666666667
101,0.0,,112.3,,0.0,19.795,112.301,19.795,-67.6986,2295.28,monload-611_runway,,,,,,,,2.4,,,0.9563666666666667
102,0.0,,111.992,,0.0,23.6849,111.99799999999999,23.6849,-68.0024,2282.08,monload-611_runway,,,,,,,,2.4,,,0.9508666666666666
103,0.0,,110.177,,0.0,37.0672,110.177,37.0672,-69.8229,2203.81,monload-611_runway,,,,,,,,2.4,,,0.9182541666666666
104,0.0,,109.412,,0.0,40.8145,109.416,40.8145,-70.5836,2184.26,monload-611_runway,,,,,,,,2.4,,,0.9101083333333334
105,0.0,,109.96600000000001,,0.0,38.5082,109.96600000000001,38.5082,-70.0336,2211.74,monload-611_runway,,,,,,,,2.4,,,0.9215583333333333
106,0.0,,110.48100000000001,,0.0,41.6334,110.477,41.6334,-69.5234,2238.09,monload-611_runway,,,,,,,,2.4,,,0.9325375
107,0.0,,110.432,,0.0,36.0178,110.432,36.0178,-69.568,2235.53,monload-611_runway,,,,,,,,2.4,,,0.9314708333333335
108,0.0,,111.835,,0.0,34.924,111.835,34.924,-68.1654,2300.37,monload-611_runway,,,,,,,,2.4,,,0.9584874999999999
109,0.0,,112.32,,0.0,35.3309,112.322,35.3309,-67.6776,2307.11,monload-611_runway,,,,,,,,2.4,,,0.9612958333333333
110,0.0,,111.835,,0.0,36.1511,111.838,36.1511,-68.1624,2286.55,monload-611_runway,,,,,,,,2.4,,,0.9527291666666667
111,0.0,,111.365,,0.0,36.3008,111.36399999999999,36.3008,-68.6365,2264.88,monload-611_runway,,,,,,,,2.4,,,0.9437000000000001
112,0.0,,110.74600000000001,,0.0,35.109,110.75,35.109,-69.2503,2235.78,monload-611_runway,,,,,,,,2.4,,,0.931575
113,0.0,,109.756,,0.0,35.7485,109.756,35.7485,-70.2443,2188.8,monload-611_runway,,,,,,,,2.4,,,0.912
114,0.0,,109.713,,0.0,40.4964,109.712,40.4964,-70.2879,2185.28,monload-611_runway,,,,,,,,2.4,,,0.9105333333333334
115,0.0,,110.26899999999999,,0.0,46.653999999999996,110.26899999999999,46.653999999999996,-69.7309,2206.64,monload-611_runway,,,,,,,,2.4,,,0.9194333333333333
116,0.0,,110.32,,0.0,49.2174,110.32,49.2174,-69.6796,2209.31,monload-611_runway,,,,,,,,2.4,,,0.9205458333333333
117,0.0,,111.045,,0.0,54.1033,111.045,54.1033,-68.9555,2240.8,monload-611_runway,,,,,,,,2.4,,,0.9336666666666668
118,0.0,,111.428,,0.0,51.9114,111.428,51.9114,-68.5719,2257.53,monload-611_runway,,,,,,,,2.4,,,0.9406375000000001
119,0.0,,112.476,,0.0,40.733000000000004,112.46700000000001,40.733000000000004,-67.5328,2302.16,monload-611_runway,,,,,,,,2.4,,,0.9592333333333333
120,0.0,,112.927,,0.0,29.5798,112.92,29.5798,-67.0803,2321.3,monload-611_runway,,,,,,,,2.4,,,0.9672083333333334
121,0.0,,113.242,,0.0,25.8806,113.23700000000001,25.8806,-66.7631,2334.71,monload-611_runway,,,,,,,,2.4,,,0.9727958333333333
122,0.0,,113.294,,0.0,24.5759,113.287,24.5759,-66.7135,2336.89,monload-611_runway,,,,,,,,2.4,,,0.9737041666666666
123,0.0,,113.34299999999999,,0.0,22.9971,113.337,22.9971,-66.6635,2338.95,monload-611_runway,,,,,,,,2.4,,,0.9745624999999999
124,0.0,,113.367,,0.0,22.3842,113.363,22.3842,-66.6368,2339.94,monload-611_runway,,,,,,,,2.4,,,0.974975
125,0.0,,112.521,,0.0,22.8134,112.523,22.8134,-67.4769,2304.58,monload-611_runway,,,,,,,,2.4,,,0.9602416666666667
126,0.0,,112.264,,0.0,26.7316,112.26799999999999,26.7316,-67.7316,2293.52,monload-611_runway,,,,,,,,2.4,,,0.9556333333333333
127,0.0,,110.395,,0.0,40.0306,110.395,40.0306,-69.6055,2213.46,monload-611_runway,,,,,,,,2.4,,,0.9222750000000001
128,0.0,,109.595,,0.0,43.4131,109.598,43.4131,-70.4022,2178.68,monload-611_runway,,,,,,,,2.4,,,0.9077833333333333
129,0.0,,109.742,,0.0,42.16,109.742,42.16,-70.2581,2186.98,monload-611_runway,,,,,,,,2.4,,,0.9112416666666667
130,0.0,,110.31,,0.0,43.0208,110.31,43.0208,-69.6905,2214.93,monload-611_runway,,,,,,,,2.4,,,0.9228875
131,0.0,,110.43299999999999,,0.0,37.2633,110.43299999999999,37.2633,-69.5665,2220.59,monload-611_runway,,,,,,,,2.4,,,0.9252458333333334
132,0.0,,110.727,,0.0,38.2361,110.73899999999999,38.2361,-69.2605,2234.8,monload-611_runway,,,,,,,,2.4,,,0.9311666666666667
133,0.0,,111.17399999999999,,0.0,39.2802,111.17299999999999,39.2802,-68.8265,2254.38,monload-611_runway,,,,,,,,2.4,,,0.9393250000000001
134,0.0,,110.98200000000001,,0.0,39.696,110.97399999999999,39.696,-69.0264,2246.6,monload-611_runway,,,,,,,,2.4,,,0.9360833333333333
135,0.0,,111.01700000000001,,0.0,39.431999999999995,111.016,39.431999999999995,-68.9836,2248.39,monload-611_runway,,,,,,,,2.4,,,0.9368291666666666
136,0.0,,110.475,,0.0,37.7236,110.477,37.7236,-69.5232,2222.75,monload-611_runway,,,,,,,,2.4,,,0.9261458333333333
137,0.0,,109.618,,0.0,36.1431,109.618,36.1431,-70.3818,2182.14,monload-611_runway,,,,,,,,2.4,,,0.909225
