hour,t(sec),Tap(pu),Type,Name
1,0.0,1.0,Capacitor,moncapacitor-cap1
2,0.0,1.0,Capacitor,moncapacitor-cap1
3,0.0,1.0,Capacitor,moncapacitor-cap1
4,0.0,1.0,Capacitor,moncapacitor-cap1
5,0.0,1.0,Capacitor,moncapacitor-cap1
6,0.0,1.0,Capacitor,moncapacitor-cap1
7,0.0,1.0,Capacitor,moncapacitor-cap1
8,0.0,1.0,Capacitor,moncapacitor-cap1
9,0.0,1.0,Capacitor,moncapacitor-cap1
10,0.0,1.0,Capacitor,moncapacitor-cap1
11,0.0,1.0,Capacitor,moncapacitor-cap1
12,0.0,1.0,Capacitor,moncapacitor-cap1
13,0.0,1.0,Capacitor,moncapacitor-cap1
14,0.0,1.0,Capacitor,moncapacitor-cap1
15,0.0,1.0,Capacitor,moncapacitor-cap1
16,0.0,1.0,Capacitor,moncapacitor-cap1
17,0.0,1.0,Capacitor,moncapacitor-cap1
18,0.0,1.0,Capacitor,moncapacitor-cap1
19,0.0,1.0,Capacitor,moncapacitor-cap1
20,0.0,1.0,Capacitor,moncapacitor-cap1
21,0.0,1.0,Capacitor,moncapacitor-cap1
22,0.0,1.0,Capacitor,moncapacitor-cap1
23,0.0,1.0,Capacitor,moncapacitor-cap1
24,0.0,1.0,Capacitor,moncapacitor-cap1
25,0.0,1.0,Capacitor,moncapacitor-cap1
26,0.0,1.0,Capacitor,moncapacitor-cap1
27,0.0,1.0,Capacitor,moncapacitor-cap1
28,0.0,1.0,Capacitor,moncapacitor-cap1
29,0.0,1.0,Capacitor,moncapacitor-cap1
30,0.0,1.0,Capacitor,moncapacitor-cap1
31,0.0,1.0,Capacitor,moncapacitor-cap1
32,0.0,1.0,Capacitor,moncapacitor-cap1
33,0.0,1.0,Capacitor,moncapacitor-cap1
34,0.0,1.0,Capacitor,moncapacitor-cap1
35,0.0,1.0,Capacitor,moncapacitor-cap1
36,0.0,1.0,Capacitor,moncapacitor-cap1
37,0.0,1.0,Capacitor,moncapacitor-cap1
38,0.0,1.0,Capacitor,moncapacitor-cap1
39,0.0,1.0,Capacitor,moncapacitor-cap1
40,0.0,1.0,Capacitor,moncapacitor-cap1
41,0.0,1.0,Capacitor,moncapacitor-cap1
42,0.0,1.0,Capacitor,moncapacitor-cap1
43,0.0,1.0,Capacitor,moncapacitor-cap1
44,0.0,1.0,Capacitor,moncapacitor-cap1
45,0.0,1.0,Capacitor,moncapacitor-cap1
46,0.0,1.0,Capacitor,moncapacitor-cap1
47,0.0,1.0,Capacitor,moncapacitor-cap1
48,0.0,1.0,Capacitor,moncapacitor-cap1
49,0.0,1.0,Capacitor,moncapacitor-cap1
50,0.0,1.0,Capacitor,moncapacitor-cap1
51,0.0,1.0,Capacitor,moncapacitor-cap1
52,0.0,1.0,Capacitor,moncapacitor-cap1
53,0.0,1.0,Capacitor,moncapacitor-cap1
54,0.0,1.0,Capacitor,moncapacitor-cap1
55,0.0,1.0,Capacitor,moncapacitor-cap1
56,0.0,1.0,Capacitor,moncapacitor-cap1
57,0.0,1.0,Capacitor,moncapacitor-cap1
58,0.0,1.0,Capacitor,moncapacitor-cap1
59,0.0,1.0,Capacitor,moncapacitor-cap1
60,0.0,1.0,Capacitor,moncapacitor-cap1
61,0.0,1.0,Capacitor,moncapacitor-cap1
62,0.0,1.0,Capacitor,moncapacitor-cap1
63,0.0,1.0,Capacitor,moncapacitor-cap1
64,0.0,1.0,Capacitor,moncapacitor-cap1
65,0.0,1.0,Capacitor,moncapacitor-cap1
66,0.0,1.0,Capacitor,moncapacitor-cap1
67,0.0,1.0,Capacitor,moncapacitor-cap1
68,0.0,1.0,Capacitor,moncapacitor-cap1
69,0.0,1.0,Capacitor,moncapacitor-cap1
70,0.0,1.0,Capacitor,moncapacitor-cap1
71,0.0,1.0,Capacitor,moncapacitor-cap1
72,0.0,1.0,Capacitor,moncapacitor-cap1
73,0.0,1.0,Capacitor,moncapacitor-cap1
74,0.0,1.0,Capacitor,moncapacitor-cap1
75,0.0,1.0,Capacitor,moncapacitor-cap1
76,0.0,1.0,Capacitor,moncapacitor-cap1
77,0.0,1.0,Capacitor,moncapacitor-cap1
78,0.0,1.0,Capacitor,moncapacitor-cap1
79,0.0,1.0,Capacitor,moncapacitor-cap1
80,0.0,1.0,Capacitor,moncapacitor-cap1
81,0.0,1.0,Capacitor,moncapacitor-cap1
82,0.0,1.0,Capacitor,moncapacitor-cap1
83,0.0,1.0,Capacitor,moncapacitor-cap1
84,0.0,1.0,Capacitor,moncapacitor-cap1
85,0.0,1.0,Capacitor,moncapacitor-cap1
86,0.0,1.0,Capacitor,moncapacitor-cap1
