hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,Name,V3,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,2240.87,111.03200000000001,0.0,0.0,19.8845,111.031,19.8845,-68.9689,monload-611_runway,,,,,,,,,2.4,0.9336958333333333,0.0,
2,0.0,2274.49,111.76299999999999,0.0,0.0,21.4342,111.76100000000001,21.4342,-68.2392,monload-611_runway,,,,,,,,,2.4,0.9477041666666666,0.0,
3,0.0,2350.8,113.62799999999999,0.0,0.0,18.735,113.626,18.735,-66.3735,monload-611_runway,,,,,,,,,2.4,0.9795,0.0,
4,0.0,2351.02,113.633,0.0,0.0,18.1696,113.633,18.1696,-66.3674,monload-611_runway,,,,,,,,,2.4,0.9795916666666666,0.0,
5,0.0,2341.18,113.397,0.0,0.0,18.3433,113.399,18.3433,-66.6008,monload-611_runway,,,,,,,,,2.4,0.9754916666666666,0.0,
6,0.0,2334.89,113.25200000000001,0.0,0.0,19.8621,113.25299999999999,19.8621,-66.7472,monload-611_runway,,,,,,,,,2.4,0.9728708333333332,0.0,
7,0.0,2298.0,112.37799999999999,0.0,0.0,29.8483,112.37299999999999,29.8483,-67.627,monload-611_runway,,,,,,,,,2.4,0.9575,0.0,
8,0.0,2303.48,112.50200000000001,0.0,0.0,31.8618,112.5,31.8618,-67.4999,monload-611_runway,,,,,,,,,2.4,0.9597833333333333,0.0,
9,0.0,2292.08,112.22200000000001,0.0,0.0,44.0268,112.225,44.0268,-67.7748,monload-611_runway,,,,,,,,,2.4,0.9550333333333333,0.0,
10,0.0,2324.91,112.99799999999999,0.0,0.0,37.8158,113.00200000000001,37.8158,-66.9982,monload-611_runway,,,,,,,,,2.4,0.9687125,0.0,
11,0.0,2349.92,113.59899999999999,0.0,0.0,26.7204,113.594,26.7204,-66.4064,monload-611_runway,,,,,,,,,2.4,0.9791333333333334,0.0,
12,0.0,2424.38,115.816,0.0,0.0,25.0426,115.81700000000001,25.0426,-64.1831,monload-611_runway,,,,,,,,,2.4,1.0101583333333333,0.0,
13,0.0,2322.5,113.29299999999999,0.0,0.0,24.9564,113.29299999999999,24.9564,-66.707,monload-611_runway,,,,,,,,,2.4,0.9677083333333333,0.0,
14,0.0,2366.89,114.37799999999999,0.0,0.0,24.9959,114.374,24.9959,-65.6257,monload-611_runway,,,,,,,,,2.4,0.9862041666666667,0.0,
15,0.0,2401.92,115.249,0.0,0.0,24.9268,115.24700000000001,24.9268,-64.7526,monload-611_runway,,,,,,,,,2.4,1.0008000000000001,0.0,
16,0.0,2408.28,115.411,0.0,0.0,24.7866,115.411,24.7866,-64.5894,monload-611_runway,,,,,,,,,2.4,1.0034500000000002,0.0,
17,0.0,2345.8,113.87200000000001,0.0,0.0,25.989,113.87200000000001,25.989,-66.1279,monload-611_runway,,,,,,,,,2.4,0.9774166666666667,0.0,
18,0.0,2279.15,112.273,0.0,0.0,31.4202,112.28,31.4202,-67.7197,monload-611_runway,,,,,,,,,2.4,0.9496458333333334,0.0,
19,0.0,2265.45,111.95,0.0,0.0,42.8615,111.95299999999999,42.8615,-68.0473,monload-611_runway,,,,,,,,,2.4,0.9439374999999999,0.0,
20,0.0,2265.99,111.961,0.0,0.0,45.0097,111.961,45.0097,-68.0393,monload-611_runway,,,,,,,,,2.4,0.9441624999999999,0.0,
21,0.0,2272.47,112.11399999999999,0.0,0.0,47.6436,112.11200000000001,47.6436,-67.8875,monload-611_runway,,,,,,,,,2.4,0.9468624999999999,0.0,
22,0.0,2280.31,112.294,0.0,0.0,46.4444,112.292,46.4444,-67.7079,monload-611_runway,,,,,,,,,2.4,0.9501291666666667,0.0,
23,0.0,2304.69,112.874,0.0,0.0,35.6973,112.87100000000001,35.6973,-67.1286,monload-611_runway,,,,,,,,,2.4,0.9602875000000001,0.0,
24,0.0,2321.91,113.288,0.0,0.0,22.9122,113.286,22.9122,-66.714,monload-611_runway,,,,,,,,,2.4,0.9674624999999999,0.0,
25,0.0,2328.15,113.436,0.0,0.0,18.6667,113.436,18.6667,-66.5645,monload-611_runway,,,,,,,,,2.4,0.9700625,0.0,
26,0.0,2328.5,113.445,0.0,0.0,17.8494,113.445,17.8494,-66.5553,monload-611_runway,,,,,,,,,2.4,0.9702083333333333,0.0,
27,0.0,2329.23,113.463,0.0,0.0,16.9263,113.463,16.9263,-66.53699999999999,monload-611_runway,,,,,,,,,2.4,0.9705125,0.0,
28,0.0,2329.31,113.46600000000001,0.0,0.0,17.0116,113.46600000000001,17.0116,-66.5345,monload-611_runway,,,,,,,,,2.4,0.9705458333333333,0.0,
29,0.0,2294.26,112.62,0.0,0.0,17.6802,112.626,17.6802,-67.374,monload-611_runway,,,,,,,,,2.4,0.9559416666666668,0.0,
30,0.0,2280.81,112.304,0.0,0.0,21.26,112.304,21.26,-67.6955,monload-611_runway,,,,,,,,,2.4,0.9503375,0.0,
31,0.0,2316.6,113.165,0.0,0.0,33.1809,113.16799999999999,33.1809,-66.8321,monload-611_runway,,,,,,,,,2.4,0.9652499999999999,0.0,
32,0.0,2252.08,111.666,0.0,0.0,34.3998,111.662,34.3998,-68.3377,monload-611_runway,,,,,,,,,2.4,0.9383666666666667,0.0,
33,0.0,2270.68,112.09700000000001,0.0,0.0,30.6428,112.09700000000001,30.6428,-67.9032,monload-611_runway,,,,,,,,,2.4,0.9461166666666666,0.0,
34,0.0,2219.02,110.55799999999999,0.0,0.0,30.2191,110.557,30.2191,-69.4427,monload-611_runway,,,,,,,,,2.4,0.9245916666666667,0.0,
35,0.0,2183.55,109.38799999999999,0.0,0.0,24.0134,109.39,24.0134,-70.6104,monload-611_runway,,,,,,,,,2.4,0.9098125,0.0,
36,0.0,2298.36,112.01799999999999,0.0,0.0,26.0047,112.02,26.0047,-67.9803,monload-611_runway,,,,,,,,,2.4,0.95765,0.0,
37,0.0,2279.0,111.559,0.0,0.0,26.3981,111.557,26.3981,-68.4435,monload-611_runway,,,,,,,,,2.4,0.9495833333333333,0.0,
38,0.0,2318.12,112.882,0.0,0.0,25.3752,112.884,25.3752,-67.1156,monload-611_runway,,,,,,,,,2.4,0.9658833333333333,0.0,
