hour,t(sec),P1(kW),Q1(kvar),P2(kW),Q2(kvar),P3(kW),Name,Q3(kvar),P4(kW),Q4(kvar)
1,0.0,0.782501,2.44024e-07,,0.0,,mongenerator-battery_634_existing,,,
2,0.0,0.7816069999999999,-1.48394e-05,,0.0,,mongenerator-battery_634_existing,,,
3,0.0,0.7812399999999999,-6.9362e-06,,0.0,,mongenerator-battery_634_existing,,,
4,0.0,0.781101,-2.48814e-06,,0.0,,mongenerator-battery_634_existing,,,
5,0.0,0.7791560000000001,-1.15279e-06,,0.0,,mongenerator-battery_634_existing,,,
6,0.0,0.7788189999999999,-2.19645e-07,,0.0,,mongenerator-battery_634_existing,,,
7,0.0,0.770738,-1.75529e-07,,0.0,,mongenerator-battery_634_existing,,,
8,0.0,0.771277,1.7162e-05,,0.0,,mongenerator-battery_634_existing,,,
9,0.0,0.76894,-1.7841900000000001e-06,,0.0,,mongenerator-battery_634_existing,,,
10,0.0,0.779048,1.80985e-07,,0.0,,mongenerator-battery_634_existing,,,
11,0.0,0.775327,-4.621e-06,,0.0,,mongenerator-battery_634_existing,,,
12,0.0,0.7979569999999999,1.38296e-05,,0.0,,mongenerator-battery_634_existing,,,
13,0.0,0.76267,-2.44503e-06,,0.0,,mongenerator-battery_634_existing,,,
14,0.0,0.775089,1.39109e-05,,0.0,,mongenerator-battery_634_existing,,,
15,0.0,0.7867529999999999,9.8726e-06,,0.0,,mongenerator-battery_634_existing,,,
16,0.0,0.789732,2.3328999999999997e-06,,0.0,,mongenerator-battery_634_existing,,,
17,0.0,0.7721720000000001,-7.88608e-07,,0.0,,mongenerator-battery_634_existing,,,
18,0.0,0.760459,-6.498950000000001e-07,,0.0,,mongenerator-battery_634_existing,,,
19,0.0,0.7585430000000001,-2.73554e-06,,0.0,,mongenerator-battery_634_existing,,,
20,0.0,0.761261,3.81724e-06,,0.0,,mongenerator-battery_634_existing,,,
21,0.0,0.7642909999999999,3.6184e-06,,0.0,,mongenerator-battery_634_existing,,,
22,0.0,0.769275,5.03499e-06,,0.0,,mongenerator-battery_634_existing,,,
23,0.0,0.781563,6.70596e-06,,0.0,,mongenerator-battery_634_existing,,,
24,0.0,0.776963,-3.7807e-06,,0.0,,mongenerator-battery_634_existing,,,
25,0.0,0.781612,2.6401099999999998e-06,,0.0,,mongenerator-battery_634_existing,,,
26,0.0,0.783424,3.26934e-05,,0.0,,mongenerator-battery_634_existing,,,
27,0.0,0.784025,1.0123e-05,,0.0,,mongenerator-battery_634_existing,,,
28,0.0,0.7843640000000001,5.8467499999999995e-06,,0.0,,mongenerator-battery_634_existing,,,
29,0.0,0.781837,9.65734e-08,,0.0,,mongenerator-battery_634_existing,,,
30,0.0,0.781246,-1.8072399999999997e-07,,0.0,,mongenerator-battery_634_existing,,,
31,0.0,0.768938,1.00689e-09,,0.0,,mongenerator-battery_634_existing,,,
32,0.0,0.768628,-5.53636e-07,,0.0,,mongenerator-battery_634_existing,,,
33,0.0,0.760621,-1.13048e-05,,0.0,,mongenerator-battery_634_existing,,,
34,0.0,0.7645649999999999,-2.87284e-07,,0.0,,mongenerator-battery_634_existing,,,
35,0.0,0.774043,3.34781e-09,,0.0,,mongenerator-battery_634_existing,,,
36,0.0,0.740112,-6.6581799999999995e-06,,0.0,,mongenerator-battery_634_existing,,,
37,0.0,0.803291,-3.5172100000000002e-06,,0.0,,mongenerator-battery_634_existing,,,
38,0.0,0.763881,2.76462e-07,,0.0,,mongenerator-battery_634_existing,,,
39,0.0,0.821211,1.6364e-07,,0.0,,mongenerator-battery_634_existing,,,
40,0.0,0.797402,3.5967300000000003e-09,,0.0,,mongenerator-battery_634_existing,,,
41,0.0,0.771088,4.94198e-08,,0.0,,mongenerator-battery_634_existing,,,
42,0.0,0.744089,8.00012e-07,,0.0,,mongenerator-battery_634_existing,,,
43,0.0,0.745762,4.74171e-06,,0.0,,mongenerator-battery_634_existing,,,
44,0.0,0.7485310000000001,8.06367e-06,,0.0,,mongenerator-battery_634_existing,,,
45,0.0,0.756423,6.95959e-07,,0.0,,mongenerator-battery_634_existing,,,
46,0.0,0.770675,2.62667e-05,,0.0,,mongenerator-battery_634_existing,,,
47,0.0,0.783027,-4.83656e-07,,0.0,,mongenerator-battery_634_existing,,,
48,0.0,0.778036,-8.885130000000001e-06,,0.0,,mongenerator-battery_634_existing,,,
49,0.0,0.783366,7.9082e-06,,0.0,,mongenerator-battery_634_existing,,,
50,0.0,0.784673,5.44537e-05,,0.0,,mongenerator-battery_634_existing,,,
51,0.0,0.784788,3.978949999999999e-06,,0.0,,mongenerator-battery_634_existing,,,
52,0.0,0.784855,2.86577e-06,,0.0,,mongenerator-battery_634_existing,,,
53,0.0,0.779561,3.91942e-07,,0.0,,mongenerator-battery_634_existing,,,
54,0.0,0.77894,-5.63501e-07,,0.0,,mongenerator-battery_634_existing,,,
55,0.0,0.766486,-2.83852e-08,,0.0,,mongenerator-battery_634_existing,,,
56,0.0,0.767687,1.37367e-06,,0.0,,mongenerator-battery_634_existing,,,
