hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3,Name,P1(kW),P2(kW),P3(kW)
1,0.0,274.745,-97.9983,,,,,51.8589,60.0,,,,,monisource-isource_newdiesel675_1_shape,14.247973480499999,,
2,0.0,270.82,-97.9983,,,,,51.1152,60.0,,,,,monisource-isource_newdiesel675_1_shape,13.843018464,,
3,0.0,271.973,-97.9983,,,,,51.3338,60.0,,,,,monisource-isource_newdiesel675_1_shape,13.961407587399998,,
4,0.0,272.137,-97.9983,,,,,51.3647,60.0,,,,,monisource-isource_newdiesel675_1_shape,13.9782353639,,
5,0.0,287.577,-97.9983,,,,,54.2909,60.0,,,,,monisource-isource_newdiesel675_1_shape,15.6128141493,,
6,0.0,300.483,-97.9983,,,,,56.7369,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.048473922699998,,
7,0.0,343.25300000000004,-97.9983,,,,,64.8425,60.0,,,,,monisource-isource_newdiesel675_1_shape,22.257382652500006,,
8,0.0,314.733,-97.9983,,,,,59.4375,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.7069426875,,
9,0.0,321.095,-97.9983,,,,,60.6432,60.0,,,,,monisource-isource_newdiesel675_1_shape,19.472228304,,
10,0.0,310.35400000000004,-97.9983,,,,,58.6076,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.189103090400003,,
11,0.0,303.289,-97.9983,,,,,57.2686,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.368936425399998,,
12,0.0,304.52299999999997,-97.9983,,,,,57.5025,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.5108338075,,
13,0.0,302.73,-97.9983,,,,,57.1627,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.304864171000002,,
14,0.0,298.987,-97.9983,,,,,56.4533,60.0,,,,,monisource-isource_newdiesel675_1_shape,16.8788028071,,
15,0.0,299.189,-97.9983,,,,,56.4916,60.0,,,,,monisource-isource_newdiesel675_1_shape,16.9016653124,,
16,0.0,303.466,-97.9983,,,,,57.3021,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.3892390786,,
17,0.0,319.293,-97.9983,,,,,60.3017,60.0,,,,,monisource-isource_newdiesel675_1_shape,19.2539106981,,
18,0.0,351.56300000000005,-97.9983,,,,,66.4174,60.0,,,,,monisource-isource_newdiesel675_1_shape,23.349900396200002,,
19,0.0,370.64300000000003,-97.9983,,,,,70.0334,60.0,,,,,monisource-isource_newdiesel675_1_shape,25.957389476200003,,
20,0.0,366.033,-97.9983,,,,,69.1598,60.0,,,,,monisource-isource_newdiesel675_1_shape,25.3147690734,,
21,0.0,353.63,-97.9983,,,,,66.8092,60.0,,,,,monisource-isource_newdiesel675_1_shape,23.625737396,,
22,0.0,336.605,-97.9983,,,,,63.5826,60.0,,,,,monisource-isource_newdiesel675_1_shape,21.402221073,,
23,0.0,309.935,-97.9983,,,,,58.5281,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.1399066735,,
24,0.0,295.41200000000003,-97.9983,,,,,55.7758,60.0,,,,,monisource-isource_newdiesel675_1_shape,16.476840629599998,,
25,0.0,288.103,-97.9983,,,,,54.3905,60.0,,,,,monisource-isource_newdiesel675_1_shape,15.6700662215,,
26,0.0,289.07599999999996,-97.9983,,,,,54.5751,60.0,,,,,monisource-isource_newdiesel675_1_shape,15.776351607599997,,
27,0.0,289.841,-97.9983,,,,,54.72,60.0,,,,,monisource-isource_newdiesel675_1_shape,15.86009952,,
28,0.0,290.483,-97.9983,,,,,54.8416,60.0,,,,,monisource-isource_newdiesel675_1_shape,15.9305524928,,
29,0.0,337.287,-97.9983,,,,,63.7119,60.0,,,,,monisource-isource_newdiesel675_1_shape,21.489195615299998,,
30,0.0,358.01300000000003,-97.9983,,,,,67.6397,60.0,,,,,monisource-isource_newdiesel675_1_shape,24.215891916100006,,
31,0.0,459.838,-97.9983,,,,,86.9375,60.0,,,,,monisource-isource_newdiesel675_1_shape,39.977166125000004,,
32,0.0,504.186,-97.9983,,,,,95.3421,60.0,,,,,monisource-isource_newdiesel675_1_shape,48.0701520306,,
33,0.0,531.514,-97.9983,,,,,100.521,60.0,,,,,monisource-isource_newdiesel675_1_shape,53.428318794,,
34,0.0,548.682,-97.9983,,,,,103.775,60.0,,,,,monisource-isource_newdiesel675_1_shape,56.93947455000001,,
35,0.0,545.174,-97.9983,,,,,103.11,60.0,,,,,monisource-isource_newdiesel675_1_shape,56.212891139999996,,
36,0.0,556.437,-97.9983,,,,,105.245,60.0,,,,,monisource-isource_newdiesel675_1_shape,58.562212065000004,,
