hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,113.366,,0.0,20.2518,113.368,20.2518,-66.6324,2491.63,monload-611_runway,,,,,,,,2.4,,,1.0381791666666667
2,0.0,,113.374,,0.0,21.49,113.37299999999999,21.49,-66.6266,2492.03,monload-611_runway,,,,,,,,2.4,,,1.0383458333333335
3,0.0,,113.382,,0.0,18.735,113.382,18.735,-66.6183,2492.4,monload-611_runway,,,,,,,,2.4,,,1.0385
4,0.0,,113.384,,0.0,18.1696,113.384,18.1696,-66.6161,2492.5,monload-611_runway,,,,,,,,2.4,,,1.0385416666666667
5,0.0,,113.365,,0.0,18.3433,113.366,18.3433,-66.6342,2491.55,monload-611_runway,,,,,,,,2.4,,,1.0381458333333333
6,0.0,,113.331,,0.0,19.8621,113.33200000000001,19.8621,-66.6676,2489.87,monload-611_runway,,,,,,,,2.4,,,1.0374458333333332
7,0.0,,113.258,,0.0,29.8483,113.255,29.8483,-66.7446,2486.38,monload-611_runway,,,,,,,,2.4,,,1.0359916666666666
8,0.0,,113.291,,0.0,31.8618,113.29,31.8618,-66.7103,2487.6,monload-611_runway,,,,,,,,2.4,,,1.0365
9,0.0,,113.27799999999999,,0.0,44.0268,113.27799999999999,44.0268,-66.7215,2486.96,monload-611_runway,,,,,,,,2.4,,,1.0362333333333333
10,0.0,,113.31299999999999,,0.0,37.8158,113.311,37.8158,-66.6889,2488.59,monload-611_runway,,,,,,,,2.4,,,1.0369125000000001
11,0.0,,113.359,,0.0,26.7204,113.359,26.7204,-66.6405,2490.78,monload-611_runway,,,,,,,,2.4,,,1.037825
12,0.0,,113.363,,0.0,25.0426,113.36200000000001,25.0426,-66.6378,2490.88,monload-611_runway,,,,,,,,2.4,,,1.0378666666666667
13,0.0,,113.363,,0.0,24.9564,113.363,24.9564,-66.6367,2490.99,monload-611_runway,,,,,,,,2.4,,,1.0379125
14,0.0,,113.369,,0.0,24.9959,113.369,24.9959,-66.6312,2491.17,monload-611_runway,,,,,,,,2.4,,,1.0379875
15,0.0,,113.37100000000001,,0.0,24.9268,113.37100000000001,24.9268,-66.6291,2491.16,monload-611_runway,,,,,,,,2.4,,,1.0379833333333333
16,0.0,,113.36200000000001,,0.0,24.7866,113.36,24.7866,-66.6399,2490.71,monload-611_runway,,,,,,,,2.4,,,1.0377958333333333
17,0.0,,113.31,,0.0,25.989,113.31299999999999,25.989,-66.6869,2488.28,monload-611_runway,,,,,,,,2.4,,,1.0367833333333334
18,0.0,,113.219,,0.0,31.4301,113.223,31.4301,-66.7768,2484.18,monload-611_runway,,,,,,,,2.4,,,1.035075
19,0.0,,113.147,,0.0,43.1551,113.15,43.1551,-66.8504,2480.95,monload-611_runway,,,,,,,,2.4,,,1.0337291666666666
20,0.0,,113.15,,0.0,45.3034,113.149,45.3034,-66.8506,2481.07,monload-611_runway,,,,,,,,2.4,,,1.0337791666666667
21,0.0,,113.152,,0.0,47.8087,113.152,47.8087,-66.8484,2481.19,monload-611_runway,,,,,,,,2.4,,,1.0338291666666668
22,0.0,,113.19,,0.0,46.4444,113.18799999999999,46.4444,-66.8115,2483.1,monload-611_runway,,,,,,,,2.4,,,1.034625
23,0.0,,113.26,,0.0,35.6973,113.257,35.6973,-66.7432,2486.51,monload-611_runway,,,,,,,,2.4,,,1.0360458333333333
24,0.0,,113.324,,0.0,22.9122,113.321,22.9122,-66.6792,2489.59,monload-611_runway,,,,,,,,2.4,,,1.0373291666666666
25,0.0,,113.353,,0.0,18.6667,113.352,18.6667,-66.6484,2491.03,monload-611_runway,,,,,,,,2.4,,,1.0379291666666668
26,0.0,,113.354,,0.0,17.8494,113.354,17.8494,-66.6456,2491.1,monload-611_runway,,,,,,,,2.4,,,1.0379583333333333
27,0.0,,113.355,,0.0,16.9263,113.355,16.9263,-66.6453,2491.11,monload-611_runway,,,,,,,,2.4,,,1.0379625000000001
28,0.0,,113.353,,0.0,17.0116,113.353,17.0116,-66.6473,2491.02,monload-611_runway,,,,,,,,2.4,,,1.037925
