hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,111.165,,0.0,20.2518,111.168,20.2518,-68.8322,2404.75,monload-611_runway,,,,,,,,2.4,,,1.0019791666666666
2,0.0,,111.154,,0.0,21.49,111.155,21.49,-68.8454,2404.39,monload-611_runway,,,,,,,,2.4,,,1.0018291666666665
3,0.0,,111.18,,0.0,18.735,111.178,18.735,-68.8216,2405.55,monload-611_runway,,,,,,,,2.4,,,1.0023125000000002
4,0.0,,111.186,,0.0,18.1696,111.185,18.1696,-68.8146,2405.8,monload-611_runway,,,,,,,,2.4,,,1.0024166666666667
5,0.0,,110.956,,0.0,18.3433,110.958,18.3433,-69.0419,2395.04,monload-611_runway,,,,,,,,2.4,,,0.9979333333333333
6,0.0,,110.811,,0.0,19.8621,110.813,19.8621,-69.1873,2388.05,monload-611_runway,,,,,,,,2.4,,,0.9950208333333334
7,0.0,,109.955,,0.0,29.8483,109.956,29.8483,-70.0443,2347.92,monload-611_runway,,,,,,,,2.4,,,0.9783000000000001
8,0.0,,110.086,,0.0,31.8618,110.085,31.8618,-69.9155,2354.03,monload-611_runway,,,,,,,,2.4,,,0.9808458333333334
9,0.0,,109.561,,0.0,44.0268,109.562,44.0268,-70.438,2329.8,monload-611_runway,,,,,,,,2.4,,,0.9707500000000001
10,0.0,,109.813,,0.0,37.8158,109.81,37.8158,-70.1899,2341.73,monload-611_runway,,,,,,,,2.4,,,0.9757208333333334
11,0.0,,110.097,,0.0,26.7204,110.094,26.7204,-69.906,2354.98,monload-611_runway,,,,,,,,2.4,,,0.9812416666666667
12,0.0,,110.115,,0.0,25.0426,110.115,25.0426,-69.8851,2355.76,monload-611_runway,,,,,,,,2.4,,,0.9815666666666668
13,0.0,,110.149,,0.0,24.9564,110.149,24.9564,-69.851,2357.35,monload-611_runway,,,,,,,,2.4,,,0.9822291666666666
14,0.0,,110.207,,0.0,24.9959,110.206,24.9959,-69.7941,2360.06,monload-611_runway,,,,,,,,2.4,,,0.9833583333333333
15,0.0,,110.2,,0.0,24.9268,110.2,24.9268,-69.7998,2359.75,monload-611_runway,,,,,,,,2.4,,,0.9832291666666667
16,0.0,,110.161,,0.0,24.7866,110.165,24.7866,-69.8352,2357.86,monload-611_runway,,,,,,,,2.4,,,0.9824416666666668
17,0.0,,110.052,,0.0,25.989,110.054,25.989,-69.9464,2352.26,monload-611_runway,,,,,,,,2.4,,,0.9801083333333335
18,0.0,,109.802,,0.0,31.4301,109.804,31.4301,-70.1959,2340.08,monload-611_runway,,,,,,,,2.4,,,0.9750333333333333
19,0.0,,109.533,,0.0,43.1551,109.535,43.1551,-70.4654,2327.47,monload-611_runway,,,,,,,,2.4,,,0.9697791666666666
20,0.0,,109.545,,0.0,45.3034,109.545,45.3034,-70.4554,2328.18,monload-611_runway,,,,,,,,2.4,,,0.9700749999999999
21,0.0,,109.712,,0.0,47.8087,109.71,47.8087,-70.2897,2336.15,monload-611_runway,,,,,,,,2.4,,,0.9733958333333333
22,0.0,,109.908,,0.0,46.4444,109.907,46.4444,-70.0932,2345.74,monload-611_runway,,,,,,,,2.4,,,0.9773916666666665
23,0.0,,110.472,,0.0,35.6973,110.468,35.6973,-69.5322,2372.34,monload-611_runway,,,,,,,,2.4,,,0.9884750000000001
24,0.0,,110.879,,0.0,22.9122,110.876,22.9122,-69.1244,2391.24,monload-611_runway,,,,,,,,2.4,,,0.99635
25,0.0,,111.024,,0.0,18.6667,111.023,18.6667,-68.9769,2398.13,monload-611_runway,,,,,,,,2.4,,,0.9992208333333333
26,0.0,,111.032,,0.0,17.8494,111.032,17.8494,-68.9682,2398.5,monload-611_runway,,,,,,,,2.4,,,0.999375
27,0.0,,111.05,,0.0,16.9263,111.049,16.9263,-68.9515,2399.27,monload-611_runway,,,,,,,,2.4,,,0.9996958333333333
28,0.0,,111.052,,0.0,17.0116,111.052,17.0116,-68.9485,2399.35,monload-611_runway,,,,,,,,2.4,,,0.9997291666666667
29,0.0,,110.238,,0.0,17.6802,110.239,17.6802,-69.7613,2361.33,monload-611_runway,,,,,,,,2.4,,,0.9838874999999999
30,0.0,,109.927,,0.0,21.26,109.929,21.26,-70.0707,2346.53,monload-611_runway,,,,,,,,2.4,,,0.9777208333333334
31,0.0,,108.051,,0.0,33.062,108.055,33.062,-71.9455,2272.07,monload-611_runway,,,,,,,,2.4,,,0.9466958333333334
32,0.0,,107.383,,0.0,34.2012,107.383,34.2012,-72.6165,2239.62,monload-611_runway,,,,,,,,2.4,,,0.933175
33,0.0,,107.263,,0.0,30.1235,107.263,30.1235,-72.7372,2234.24,monload-611_runway,,,,,,,,2.4,,,0.9309333333333333
34,0.0,,107.085,,0.0,30.3199,107.086,30.3199,-72.9144,2225.98,monload-611_runway,,,,,,,,2.4,,,0.9274916666666667
35,0.0,,107.15,,0.0,24.5447,107.15,24.5447,-72.8502,2229.28,monload-611_runway,,,,,,,,2.4,,,0.9288666666666667
36,0.0,,106.983,,0.0,25.2919,106.971,25.2919,-73.0288,2220.96,monload-611_runway,,,,,,,,2.4,,,0.9254
37,0.0,,107.12,,0.0,25.7734,107.128,25.7734,-72.8715,2227.7,monload-611_runway,,,,,,,,2.4,,,0.9282083333333333
38,0.0,,106.982,,0.0,24.6818,106.982,24.6818,-73.0179,2220.98,monload-611_runway,,,,,,,,2.4,,,0.9254083333333334
39,0.0,,107.015,,0.0,23.856,107.014,23.856,-72.9856,2222.52,monload-611_runway,,,,,,,,2.4,,,0.92605
40,0.0,,106.977,,0.0,24.0664,106.977,24.0664,-73.0232,2220.51,monload-611_runway,,,,,,,,2.4,,,0.9252125000000001
41,0.0,,106.805,,0.0,25.2204,106.809,25.2204,-73.1906,2225.66,monload-611_runway,,,,,,,,2.4,,,0.9273583333333333
42,0.0,,106.759,,0.0,30.8131,106.756,30.8131,-73.2438,2222.09,monload-611_runway,,,,,,,,2.4,,,0.9258708333333334
43,0.0,,107.89,,0.0,38.7616,107.889,38.7616,-72.1107,2277.93,monload-611_runway,,,,,,,,2.4,,,0.9491375
44,0.0,,107.885,,0.0,41.1364,107.885,41.1364,-72.1152,2277.82,monload-611_runway,,,,,,,,2.4,,,0.9490916666666668
45,0.0,,108.71,,0.0,45.1231,108.706,45.1231,-71.2937,2318.1,monload-611_runway,,,,,,,,2.4,,,0.9658749999999999
46,0.0,,109.142,,0.0,42.3023,109.14,42.3023,-70.8596,2339.28,monload-611_runway,,,,,,,,2.4,,,0.9747000000000001
47,0.0,,110.148,,0.0,30.8497,110.152,30.8497,-69.8478,2372.12,monload-611_runway,,,,,,,,2.4,,,0.9883833333333333
48,0.0,,110.507,,0.0,21.1497,110.503,21.1497,-69.4972,2389.03,monload-611_runway,,,,,,,,2.4,,,0.9954291666666667
49,0.0,,110.66,,0.0,18.8942,110.658,18.8942,-69.3417,2396.39,monload-611_runway,,,,,,,,2.4,,,0.9984958333333332
50,0.0,,110.704,,0.0,18.3946,110.699,18.3946,-69.3007,2398.44,monload-611_runway,,,,,,,,2.4,,,0.9993500000000001
51,0.0,,110.758,,0.0,17.8874,110.752,17.8874,-69.2478,2400.94,monload-611_runway,,,,,,,,2.4,,,1.0003916666666668
52,0.0,,110.754,,0.0,18.4384,110.754,18.4384,-69.2461,2400.72,monload-611_runway,,,,,,,,2.4,,,1.0003
53,0.0,,109.926,,0.0,19.6598,109.927,19.6598,-70.0727,2361.66,monload-611_runway,,,,,,,,2.4,,,0.9840249999999999
54,0.0,,109.596,,0.0,23.9779,109.6,23.9779,-70.4002,2345.78,monload-611_runway,,,,,,,,2.4,,,0.9774083333333334
55,0.0,,107.763,,0.0,35.3532,107.765,35.3532,-72.2354,2257.93,monload-611_runway,,,,,,,,2.4,,,0.9408041666666666
56,0.0,,107.121,,0.0,35.0867,107.129,35.0867,-72.8715,2226.64,monload-611_runway,,,,,,,,2.4,,,0.9277666666666666
57,0.0,,107.054,,0.0,30.7361,107.043,30.7361,-72.9572,2223.83,monload-611_runway,,,,,,,,2.4,,,0.9265958333333333
58,0.0,,106.917,,0.0,30.5595,106.921,30.5595,-73.0786,2231.83,monload-611_runway,,,,,,,,2.4,,,0.9299291666666666
59,0.0,,107.085,,0.0,24.3263,107.087,24.3263,-72.9128,2240.22,monload-611_runway,,,,,,,,2.4,,,0.933425
60,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
61,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
62,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
63,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
64,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
65,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
66,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
67,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
68,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
69,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
70,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
71,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
72,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
73,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,monload-611_runway,,,,,,,,2.4,,,0.0
