Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66395.3,   30.0,         1, 2,    66395.3,  -90.0,         1, 3,    66395.3,  150.0,         1
"680", 4.16, 1,    2401.78,    0.0,         1, 2,    2401.77, -120.0,         1, 3,    2401.75,  120.0,   0.99999
"650", 4.16, 1,    2401.75,    0.0,   0.99999, 2,    2401.75, -120.0,   0.99999, 3,    2401.74,  120.0,   0.99998
"RG60", 4.16, 1,    2431.72,    0.0,    1.0125, 2,     2431.7, -120.0,    1.0125, 3,    2446.67,  120.0,    1.0187
"633", 4.16, 1,    2366.16,    0.9,   0.98517, 2,    2355.54, -120.5,   0.98075, 3,    2334.53,  119.3,     0.972
"634", 0.48, 1,    263.557,    2.4,   0.95103, 2,    271.808, -120.5,    0.9808, 3,    269.384,  119.3,   0.97205
"684", 4.16, 2,    2373.71, -120.3,   0.98831, 3,     2208.3,  118.2,   0.91944, 0, 0, 0, 0
"645", 4.16, 2,    2345.52, -120.5,   0.97658, 0, 0, 0, 0, 0, 0, 0, 0
"646", 4.16, 2,    2341.39, -120.5,   0.97486, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    2387.58,   -0.2,   0.99409, 2,    2373.71, -120.3,   0.98831, 3,     2258.1,  118.6,   0.94018
"675", 4.16, 1,    2388.17,   -0.4,   0.99433, 2,    2374.57, -120.4,   0.98867, 3,     2259.5,  118.4,   0.94076
"611", 4.16, 3,     2203.6,  118.0,   0.91749, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 3,    2195.82,  118.2,   0.91425, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    2373.09,    0.4,   0.98805, 2,    2356.76, -120.7,   0.98126, 3,    2297.13,  119.1,   0.95643
"671", 4.16, 1,    2387.58,   -0.2,   0.99409, 2,    2373.71, -120.3,   0.98831, 3,     2258.1,  118.6,   0.94018
"632", 4.16, 1,    2376.91,    0.6,   0.98965, 2,    2355.51, -120.5,   0.98074, 3,     2334.5,  119.3,   0.97199
