hour,t(sec),P1(kW),Q1(kvar),P2(kW),Q2(kvar),P3(kW),Name,Q3(kvar),P4(kW),Q4(kvar)
1,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
7,0.0,-99.7925,-0.000135504,-100.523,-0.000130696,-92.7751,mongenerator-battery_670,0.000374199,0.0,0.0
8,0.0,-56.3837,2.59385e-06,-56.3647,0.00110444,-52.3968,mongenerator-battery_670,-4.65592e-06,0.0,0.0
9,0.0,-140.516,0.00606688,-141.408,0.00397431,-130.875,mongenerator-battery_670,0.00223754,0.0,0.0
10,0.0,495.869,-0.00271928,492.197,-0.000375027,458.988,mongenerator-battery_670,-0.0192061,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
21,0.0,-99.8782,-0.000131416,-100.992,-0.000111045,-93.8857,mongenerator-battery_670,0.000463277,0.0,0.0
22,0.0,-100.571,-0.00479688,-101.39,-0.0112902,-94.5461,mongenerator-battery_670,-0.0038877,0.0,0.0
23,0.0,-3.4012,-0.00129197,-3.40576,-0.00198759,-3.21344,mongenerator-battery_670,-0.000660643,0.0,0.0
24,0.0,19.2213,0.00039483,19.3108,0.000323547,18.3886,mongenerator-battery_670,0.00118514,0.0,0.0
25,0.0,44.5486,-0.000959955,44.6186,-0.00722203,42.6325,mongenerator-battery_670,-0.00132614,0.0,0.0
26,0.0,50.7852,-9.29088e-05,50.8003,-0.00291858,48.561,mongenerator-battery_670,-0.00279023,0.0,0.0
27,0.0,54.1811,-0.0007753,54.1722,-0.00183926,51.8136,mongenerator-battery_670,-0.000692898,0.0,0.0
28,0.0,55.0976,-7.43361e-05,55.0701,-0.000866546,52.6858,mongenerator-battery_670,-0.000422677,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
32,0.0,-297.432,9.19032e-05,-294.674,-0.000225891,-264.896,mongenerator-battery_670,0.00697211,0.0,0.0
33,0.0,-463.032,-0.000153885,-455.891,0.000297241,-413.897,mongenerator-battery_670,-0.00819382,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
35,0.0,184.25,2.09296e-05,179.424,-5.21331e-05,163.773,mongenerator-battery_670,0.002666,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
37,0.0,269.231,6.78723e-05,264.282,-5.19943e-05,243.309,mongenerator-battery_670,0.00291421,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
47,0.0,-24.5448,-2.7081e-05,-24.5182,-3.16303e-05,-23.0081,mongenerator-battery_670,6.03643e-05,0.0,0.0
48,0.0,-26.6739,0.000140257,-26.7412,1.74439e-05,-25.2857,mongenerator-battery_670,-0.000280292,0.0,0.0
49,0.0,5.70079,0.000123237,5.69812,0.000105574,5.4032,mongenerator-battery_670,0.000384756,0.0,0.0
50,0.0,14.9316,-0.000416576,14.913,-0.000952279,14.1561,mongenerator-battery_670,-0.000389288,0.0,0.0
51,0.0,20.2985,-0.000693204,20.2676,-0.000933848,19.2693,mongenerator-battery_670,0.000597538,0.0,0.0
52,0.0,15.821,0.000631177,15.7839,5.27345e-05,15.0171,mongenerator-battery_670,0.000655329,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
56,0.0,-362.277,0.000150756,-359.114,-0.000156408,-320.181,mongenerator-battery_670,0.00608831,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
59,0.0,204.826,-1.041e-05,200.596,4.86985e-05,184.844,mongenerator-battery_670,-0.00294053,0.0,0.0
60,0.0,504.343,-0.00784793,492.937,-0.00543781,454.725,mongenerator-battery_670,0.0173765,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
70,0.0,-173.036,-4.66565e-05,-172.025,-0.000111977,-160.498,mongenerator-battery_670,0.00167962,0.0,0.0
71,0.0,-17.1063,0.000759633,-17.0642,0.000568852,-16.0867,mongenerator-battery_670,0.000386283,0.0,0.0
72,0.0,4.26724,9.40089e-05,4.27498,7.54381e-05,4.05965,mongenerator-battery_670,0.000277325,0.0,0.0
73,0.0,44.036,-0.00350353,43.9963,-0.00905534,41.9498,mongenerator-battery_670,-0.00200998,0.0,0.0
74,0.0,51.2107,-0.000671584,51.1258,-0.00237057,48.7777,mongenerator-battery_670,-0.00152229,0.0,0.0
75,0.0,53.5706,-0.000841472,53.4891,-0.000495244,51.0642,mongenerator-battery_670,0.00127025,0.0,0.0
76,0.0,52.5974,9.6994e-05,52.526,0.000471677,50.1403,mongenerator-battery_670,0.000296005,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
79,0.0,-44.0145,-7.99681e-05,-43.8752,-9.70314e-05,-39.9483,mongenerator-battery_670,0.000639995,0.0,0.0
80,0.0,-460.203,0.000202779,-456.174,3.24042e-05,-407.752,mongenerator-battery_670,0.00257482,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
82,0.0,377.385,-0.000384096,367.719,0.000285437,337.688,mongenerator-battery_670,-0.0148429,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
104,0.0,-305.417,-0.000118194,-306.427,7.71768e-05,-273.106,mongenerator-battery_670,-0.00387807,0.0,0.0
105,0.0,-469.954,-0.000317243,-466.125,0.000439879,-421.164,mongenerator-battery_670,-0.0130679,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
107,0.0,194.744,9.21966e-05,190.57,-8.46348e-05,171.083,mongenerator-battery_670,0.00420455,0.0,0.0
108,0.0,481.044,0.000471161,468.756,-0.000411096,423.562,mongenerator-battery_670,0.0192198,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
119,0.0,-43.3323,-4.2954e-05,-43.4562,-4.66493e-05,-40.6813,mongenerator-battery_670,0.000119928,0.0,0.0
120,0.0,-34.194,0.000199836,-34.4082,7.24638e-05,-32.4954,mongenerator-battery_670,-0.000362074,0.0,0.0
121,0.0,10.0566,0.000223009,10.1031,0.000174555,9.59345,mongenerator-battery_670,0.000673645,0.0,0.0
122,0.0,20.7362,-0.000443844,20.8127,-0.00134481,19.783,mongenerator-battery_670,-0.000626492,0.0,0.0
123,0.0,26.2215,-0.000720727,26.3156,-0.000825805,25.0395,mongenerator-battery_670,0.000462339,0.0,0.0
124,0.0,28.7194,-0.000113198,28.8226,-0.000123126,27.4347,mongenerator-battery_670,0.00037381,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
132,0.0,-80.3536,-4.08515e-05,-80.1378,-0.000121351,-72.307,mongenerator-battery_670,0.000835078,0.0,0.0
133,0.0,43.01,2.3328e-05,42.2716,-2.8212e-05,38.2798,mongenerator-battery_670,0.00102474,0.0,0.0
134,0.0,47.5316,0.00061556,46.5676,0.000189123,42.0617,mongenerator-battery_670,-0.000870681,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
141,0.0,-155.156,1.20606e-05,-157.269,-7.53041e-05,-145.583,mongenerator-battery_670,0.00181169,0.0,0.0
142,0.0,-278.857,0.00146697,-278.767,0.00554563,-261.19,mongenerator-battery_670,0.000404283,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
145,0.0,28.8089,0.000334208,28.9234,0.00021276,27.8648,mongenerator-battery_670,0.00160033,0.0,0.0
146,0.0,32.7001,0.000464744,32.8003,-0.000891525,31.5905,mongenerator-battery_670,-0.00184372,0.0,0.0
147,0.0,38.5462,-0.00168535,38.6634,-0.00169755,37.2918,mongenerator-battery_670,0.00101553,0.0,0.0
148,0.0,40.1072,-0.000323414,40.229,-0.000335982,38.8159,mongenerator-battery_670,0.000270236,0.0,0.0
149,0.0,10.3188,6.26442e-05,10.3571,8.32962e-05,9.95132,mongenerator-battery_670,-0.000129714,0.0,0.0
150,0.0,-5.11282,-2.9711e-05,-5.13013,-2.57089e-05,-4.91811,mongenerator-battery_670,-5.33787e-05,0.0,0.0
151,0.0,-173.434,-0.00406127,-173.19,-0.00351181,-164.646,mongenerator-battery_670,-0.00215431,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
154,0.0,291.261,-0.00143207,286.7,8.8833e-05,265.638,mongenerator-battery_670,-0.0141305,0.0,0.0
155,0.0,539.247,-0.0180695,528.766,-0.00374299,492.467,mongenerator-battery_670,-0.0018614,0.0,0.0
156,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
163,0.0,-87.9083,-0.000112737,-88.9461,-9.3148e-05,-81.9577,mongenerator-battery_670,0.000774798,0.0,0.0
164,0.0,-283.875,4.87841e-05,-288.264,0.0210147,-262.347,mongenerator-battery_670,-0.000737821,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
169,0.0,41.9741,0.000317147,41.6126,0.000260217,40.1931,mongenerator-battery_670,0.00118888,0.0,0.0
170,0.0,51.22,-0.000423949,50.7295,-0.00260995,49.0253,mongenerator-battery_670,-0.00209399,0.0,0.0
171,0.0,59.6753,-0.00320704,59.1026,-0.00316086,57.2279,mongenerator-battery_670,0.00214642,0.0,0.0
172,0.0,58.6336,0.000560992,58.0732,0.000597566,56.2422,mongenerator-battery_670,0.0012745,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
175,0.0,-110.759,-0.000136318,-110.147,-0.000133714,-104.001,mongenerator-battery_670,0.00061779,0.0,0.0
176,0.0,-66.5593,0.000314364,-66.5114,-9.75001e-05,-62.4531,mongenerator-battery_670,0.000555257,0.0,0.0
177,0.0,-15.3788,-0.000170752,-15.3631,-0.000167843,-14.1875,mongenerator-battery_670,0.000170045,0.0,0.0
178,0.0,57.8617,-1.24061e-05,57.5042,1.19193e-05,53.0797,mongenerator-battery_670,-0.000861679,0.0,0.0
179,0.0,408.069,-4.22441e-05,404.482,-0.00135493,374.897,mongenerator-battery_670,0.00738278,0.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
182,0.0,-9.65391,-0.000319098,-9.68791,-5.37676e-05,-8.94071,mongenerator-battery_670,5.52563e-06,0.0,0.0
183,0.0,10.8867,-1.29637e-06,10.8845,-6.61701e-06,10.0457,mongenerator-battery_670,0.000229376,0.0,0.0
184,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
189,0.0,-30.9808,-7.47384e-05,-31.4139,-5.2131e-05,-29.0299,mongenerator-battery_670,6.64309e-05,0.0,0.0
190,0.0,-131.196,-0.000446032,-132.36,0.000457804,-122.792,mongenerator-battery_670,-0.000443537,0.0,0.0
191,0.0,-23.7373,-0.0108956,-23.7896,-0.0168478,-22.341,mongenerator-battery_670,-0.00555731,0.0,0.0
192,0.0,6.8081,0.000159758,6.84529,0.00013193,6.49196,mongenerator-battery_670,0.000460219,0.0,0.0
193,0.0,38.9782,-0.00175253,39.0671,-0.00748283,37.2085,mongenerator-battery_670,-0.000701378,0.0,0.0
194,0.0,50.7061,-0.000961009,50.728,-0.00511057,48.3818,mongenerator-battery_670,-0.00318876,0.0,0.0
195,0.0,54.5832,-0.000765405,54.5651,-0.00256952,52.08,mongenerator-battery_670,-0.00119349,0.0,0.0
196,0.0,53.0243,0.000592821,52.9832,-0.000452209,50.5563,mongenerator-battery_670,-0.00147546,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
206,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
216,0.0,-7.98836,-1.05776e-05,-8.04617,-1.0816e-05,-7.65983,mongenerator-battery_670,2.92162e-05,0.0,0.0
217,0.0,-17.0192,8.1919e-05,-17.095,0.00017261,-16.3732,mongenerator-battery_670,-1.41871e-05,0.0,0.0
218,0.0,0.803473,1.89083e-05,0.806246,1.53095e-05,0.773848,mongenerator-battery_670,6.7086e-05,0.0,0.0
219,0.0,11.7526,-0.000645748,11.7928,-0.000661603,11.3427,mongenerator-battery_670,0.000539398,0.0,0.0
