hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,114.451,,0.0,20.2518,114.452,20.2518,-65.548,2356.8,monload-611_runway,,,,,,,,2.4,,,0.9820000000000001
2,0.0,,114.425,,0.0,21.49,114.427,21.49,-65.5728,2355.86,monload-611_runway,,,,,,,,2.4,,,0.9816083333333334
3,0.0,,114.456,,0.0,18.735,114.453,18.735,-65.5465,2357.08,monload-611_runway,,,,,,,,2.4,,,0.9821166666666666
4,0.0,,114.462,,0.0,18.1696,114.462,18.1696,-65.5384,2357.34,monload-611_runway,,,,,,,,2.4,,,0.982225
5,0.0,,114.268,,0.0,18.3433,114.269,18.3433,-65.7306,2349.53,monload-611_runway,,,,,,,,2.4,,,0.9789708333333335
6,0.0,,114.157,,0.0,19.8621,114.158,19.8621,-65.8417,2344.94,monload-611_runway,,,,,,,,2.4,,,0.9770583333333334
7,0.0,,113.875,,0.0,29.8483,113.876,29.8483,-66.1236,2336.44,monload-611_runway,,,,,,,,2.4,,,0.9735166666666667
8,0.0,,113.665,,0.0,31.8618,113.668,31.8618,-66.332,2326.64,monload-611_runway,,,,,,,,2.4,,,0.9694333333333333
9,0.0,,115.433,,0.0,44.0268,115.433,44.0268,-64.5673,2408.33,monload-611_runway,,,,,,,,2.4,,,1.0034708333333333
10,0.0,,117.254,,0.0,37.8158,117.254,37.8158,-62.7458,2486.0,monload-611_runway,,,,,,,,2.4,,,1.0358333333333334
11,0.0,,121.815,,0.0,28.067,121.816,28.067,-58.1839,2647.0,monload-611_runway,,,,,,,,2.4,,,1.1029166666666668
12,0.0,,123.197,,0.0,26.6859,123.198,26.6859,-56.8022,2685.37,monload-611_runway,,,,,,,,2.4,,,1.1189041666666666
13,0.0,,123.774,,0.0,26.8174,123.774,26.8174,-56.2259,2707.9,monload-611_runway,,,,,,,,2.4,,,1.1282916666666667
14,0.0,,123.405,,0.0,26.7144,123.406,26.7144,-56.5944,2693.28,monload-611_runway,,,,,,,,2.4,,,1.1222
15,0.0,,122.187,,0.0,26.1624,122.187,26.1624,-57.8127,2644.9,monload-611_runway,,,,,,,,2.4,,,1.1020416666666668
16,0.0,,120.158,,0.0,25.2001,120.157,25.2001,-59.8426,2562.05,monload-611_runway,,,,,,,,2.4,,,1.0675208333333335
17,0.0,,116.896,,0.0,25.989,116.891,25.989,-63.1093,2439.95,monload-611_runway,,,,,,,,2.4,,,1.0166458333333332
18,0.0,,113.98,,0.0,31.4301,113.979,31.4301,-66.0214,2341.28,monload-611_runway,,,,,,,,2.4,,,0.9755333333333334
19,0.0,,114.071,,0.0,43.1551,114.069,43.1551,-65.9313,2346.3,monload-611_runway,,,,,,,,2.4,,,0.9776250000000001
20,0.0,,114.003,,0.0,45.3034,114.004,45.3034,-65.9957,2343.31,monload-611_runway,,,,,,,,2.4,,,0.9763791666666667
21,0.0,,113.938,,0.0,47.8087,113.939,47.8087,-66.0605,2340.14,monload-611_runway,,,,,,,,2.4,,,0.9750583333333332
22,0.0,,113.868,,0.0,46.4444,113.869,46.4444,-66.1312,2336.27,monload-611_runway,,,,,,,,2.4,,,0.9734458333333333
23,0.0,,113.833,,0.0,35.6973,113.834,35.6973,-66.1658,2331.85,monload-611_runway,,,,,,,,2.4,,,0.9716041666666666
24,0.0,,114.069,,0.0,22.9122,114.069,22.9122,-65.9314,2340.53,monload-611_runway,,,,,,,,2.4,,,0.9752208333333334
25,0.0,,114.048,,0.0,18.6667,114.048,18.6667,-65.9516,2338.8,monload-611_runway,,,,,,,,2.4,,,0.9745
26,0.0,,114.029,,0.0,17.8494,114.033,17.8494,-65.9673,2337.82,monload-611_runway,,,,,,,,2.4,,,0.9740916666666667
27,0.0,,114.034,,0.0,16.9263,114.034,16.9263,-65.9656,2337.92,monload-611_runway,,,,,,,,2.4,,,0.9741333333333334
28,0.0,,114.385,,0.0,17.0116,114.381,17.0116,-65.6191,2354.11,monload-611_runway,,,,,,,,2.4,,,0.9808791666666667
29,0.0,,113.84,,0.0,17.6802,113.841,17.6802,-66.1591,2333.33,monload-611_runway,,,,,,,,2.4,,,0.9722208333333333
30,0.0,,113.852,,0.0,21.26,113.851,21.26,-66.149,2335.07,monload-611_runway,,,,,,,,2.4,,,0.9729458333333334
31,0.0,,114.201,,0.0,33.1809,114.198,33.1809,-65.8015,2358.68,monload-611_runway,,,,,,,,2.4,,,0.9827833333333332
32,0.0,,113.875,,0.0,34.8528,113.877,34.8528,-66.123,2346.78,monload-611_runway,,,,,,,,2.4,,,0.977825
33,0.0,,114.285,,0.0,30.7756,114.287,30.7756,-65.7134,2366.16,monload-611_runway,,,,,,,,2.4,,,0.9858999999999999
34,0.0,,113.881,,0.0,31.0977,113.883,31.0977,-66.1168,2348.73,monload-611_runway,,,,,,,,2.4,,,0.9786375
35,0.0,,116.543,,0.0,25.135,116.543,25.135,-63.4567,2465.43,monload-611_runway,,,,,,,,2.4,,,1.0272625
36,0.0,,117.773,,0.0,26.0047,117.775,26.0047,-62.2253,2503.23,monload-611_runway,,,,,,,,2.4,,,1.0430125
37,0.0,,118.334,,0.0,26.4798,118.334,26.4798,-61.6659,2526.51,monload-611_runway,,,,,,,,2.4,,,1.0527125000000002
38,0.0,,118.714,,0.0,25.6085,118.714,25.6085,-61.2864,2543.17,monload-611_runway,,,,,,,,2.4,,,1.0596541666666668
39,0.0,,116.433,,0.0,24.5082,116.435,24.5082,-63.5655,2446.16,monload-611_runway,,,,,,,,2.4,,,1.0192333333333332
40,0.0,,116.957,,0.0,24.748,116.953,24.748,-63.0467,2468.72,monload-611_runway,,,,,,,,2.4,,,1.0286333333333333
