hour,t(sec),P1(kW),Q1(kvar),P2(kW),Q2(kvar),P3(kW),Name,Q3(kvar),P4(kW),Q4(kvar)
1,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
9,0.0,-326.859,0.0022436,-328.497,0.00331416,-307.663,mongenerator-battery_670,-1.07069e-05,0.0,0.0
10,0.0,199.555,1.54374e-05,198.035,-1.08029e-05,186.849,mongenerator-battery_670,0.00260272,0.0,0.0
11,0.0,500.932,-0.000359901,495.754,0.000130535,465.38,mongenerator-battery_670,-0.0200797,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
37,0.0,-85.2007,4.91344e-06,-85.1912,-3.4729e-06,-85.1511,mongenerator-battery_670,-3.21638e-05,0.0,0.0
38,0.0,94.824,1.86416e-05,94.8096,5.00988e-05,94.764,mongenerator-battery_670,4.15866e-05,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
42,0.0,-78.2455,-2.8788e-05,-78.2602,-3.13685e-06,-78.2114,mongenerator-battery_670,-3.69495e-05,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
58,0.0,-39.114,1.9298e-06,-39.1114,8.32394e-08,-39.092,mongenerator-battery_670,4.87765e-06,0.0,0.0
59,0.0,-150.121,-0.000288396,-150.102,-0.000117428,-150.031,mongenerator-battery_670,-0.000684202,0.0,0.0
60,0.0,45.6807,1.99784e-07,45.674,-8.077e-07,45.6533,mongenerator-battery_670,-1.01004e-05,0.0,0.0
61,0.0,172.835,-1.19845e-06,172.805,3.0375e-05,172.73,mongenerator-battery_670,0.000280334,0.0,0.0
62,0.0,79.3146,9.61366e-07,79.3014,-1.40022e-05,79.265,mongenerator-battery_670,-0.000127012,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
66,0.0,-50.1984,-1.3601e-05,-50.2075,-1.52166e-06,-50.177,mongenerator-battery_670,-1.78648e-05,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
90,0.0,-133.626,-0.00109888,-134.183,-6.66515e-06,-118.718,mongenerator-battery_670,-3.40544e-05,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,mongenerator-battery_670,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
2,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
3,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
4,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
5,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
6,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
7,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
8,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
9,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
10,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
11,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
12,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
13,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
14,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
15,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
16,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
17,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
18,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
19,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
20,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
21,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
22,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
23,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
24,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
25,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
26,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
27,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
28,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
29,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
30,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
31,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
32,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
33,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
34,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
35,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
36,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
37,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
38,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
39,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
40,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
41,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
42,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
43,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
44,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
45,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
46,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
47,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
48,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
49,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
50,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
51,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
52,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
53,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
54,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
55,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
56,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
57,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
58,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
59,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
60,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
61,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
62,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
63,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
64,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
65,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
66,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
67,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
68,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
69,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
70,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
71,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
72,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
73,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
74,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
75,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
76,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
77,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
78,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
79,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
80,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
81,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
82,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
83,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
84,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
85,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
86,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
87,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
88,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
89,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
90,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
91,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
92,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
93,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
94,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
95,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
96,0.0,,0.0,,0.0,0.0,mongenerator-fossil_684_existing,,,
1,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
2,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
3,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
4,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
5,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
6,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
7,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
8,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
9,0.0,-63.0164,0.000363826,,0.0,,mongenerator-solar_634_existing,,,
10,0.0,-146.7,1.10149e-05,,0.0,,mongenerator-solar_634_existing,,,
11,0.0,-202.041,0.000145442,,0.0,,mongenerator-solar_634_existing,,,
12,0.0,-232.496,0.00809818,,0.0,,mongenerator-solar_634_existing,,,
13,0.0,-245.361,-0.00150802,,0.0,,mongenerator-solar_634_existing,,,
14,0.0,-235.425,0.00308887,,0.0,,mongenerator-solar_634_existing,,,
15,0.0,-208.503,0.00247468,,0.0,,mongenerator-solar_634_existing,,,
16,0.0,-161.885,0.0114183,,0.0,,mongenerator-solar_634_existing,,,
17,0.0,-87.7079,-2.29193e-05,,0.0,,mongenerator-solar_634_existing,,,
18,0.0,-5.85897,-0.000162868,,0.0,,mongenerator-solar_634_existing,,,
19,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
20,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
21,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
22,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
23,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
24,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
25,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
26,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
27,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
28,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
29,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
30,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
31,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
32,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
33,0.0,-23.2797,0.000113252,,0.0,,mongenerator-solar_634_existing,,,
34,0.0,-77.9684,-0.00569344,,0.0,,mongenerator-solar_634_existing,,,
35,0.0,-133.684,-0.0241968,,0.0,,mongenerator-solar_634_existing,,,
36,0.0,-164.943,-0.00478363,,0.0,,mongenerator-solar_634_existing,,,
37,0.0,-191.319,4.05785e-05,,0.0,,mongenerator-solar_634_existing,,,
38,0.0,-225.042,-0.00424226,,0.0,,mongenerator-solar_634_existing,,,
39,0.0,-136.828,0.00038596,,0.0,,mongenerator-solar_634_existing,,,
40,0.0,-148.619,-0.00483081,,0.0,,mongenerator-solar_634_existing,,,
41,0.0,-75.438,0.000592318,,0.0,,mongenerator-solar_634_existing,,,
42,0.0,-2.66925,-0.000110467,,0.0,,mongenerator-solar_634_existing,,,
43,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
44,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
45,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
46,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
47,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
48,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
49,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
50,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
51,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
52,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
53,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
54,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
55,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
56,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
57,0.0,-29.5463,0.00474733,,0.0,,mongenerator-solar_634_existing,,,
58,0.0,-129.496,0.000520412,,0.0,,mongenerator-solar_634_existing,,,
59,0.0,-184.053,-0.0245259,,0.0,,mongenerator-solar_634_existing,,,
60,0.0,-216.638,3.39433e-06,,0.0,,mongenerator-solar_634_existing,,,
61,0.0,-229.79,0.00126131,,0.0,,mongenerator-solar_634_existing,,,
62,0.0,-221.52,-0.000354676,,0.0,,mongenerator-solar_634_existing,,,
63,0.0,-111.162,0.000600195,,0.0,,mongenerator-solar_634_existing,,,
64,0.0,-125.056,-0.00573987,,0.0,,mongenerator-solar_634_existing,,,
65,0.0,-60.8453,0.00047817,,0.0,,mongenerator-solar_634_existing,,,
66,0.0,-2.42278,-7.41702e-05,,0.0,,mongenerator-solar_634_existing,,,
67,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
68,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
69,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
70,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
71,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
72,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
73,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
74,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
75,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
76,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
77,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
78,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
79,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
80,0.0,0.0,0.0,,0.0,,mongenerator-solar_634_existing,,,
81,0.0,-43.9311,-0.000217259,,0.0,,mongenerator-solar_634_existing,,,
82,0.0,-129.61,2.45831e-05,,0.0,,mongenerator-solar_634_existing,,,
83,0.0,-187.597,-0.000321574,,0.0,,mongenerator-solar_634_existing,,,
