hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,114.451,,0.0,20.2518,114.452,20.2518,-65.548,2356.8,monload-611_runway,,,,,,,,2.4,,,0.9820000000000001
2,0.0,,114.425,,0.0,21.49,114.427,21.49,-65.5728,2355.86,monload-611_runway,,,,,,,,2.4,,,0.9816083333333334
3,0.0,,114.456,,0.0,18.735,114.453,18.735,-65.5465,2357.08,monload-611_runway,,,,,,,,2.4,,,0.9821166666666666
4,0.0,,114.462,,0.0,18.1696,114.462,18.1696,-65.5384,2357.34,monload-611_runway,,,,,,,,2.4,,,0.982225
5,0.0,,114.268,,0.0,18.3433,114.269,18.3433,-65.7306,2349.53,monload-611_runway,,,,,,,,2.4,,,0.9789708333333335
6,0.0,,114.157,,0.0,19.8621,114.158,19.8621,-65.8417,2344.94,monload-611_runway,,,,,,,,2.4,,,0.9770583333333334
7,0.0,,113.875,,0.0,29.8483,113.876,29.8483,-66.1236,2336.44,monload-611_runway,,,,,,,,2.4,,,0.9735166666666667
8,0.0,,113.665,,0.0,31.8618,113.668,31.8618,-66.332,2326.64,monload-611_runway,,,,,,,,2.4,,,0.9694333333333333
9,0.0,,115.433,,0.0,44.0268,115.433,44.0268,-64.5673,2408.33,monload-611_runway,,,,,,,,2.4,,,1.0034708333333333
10,0.0,,117.254,,0.0,37.8158,117.254,37.8158,-62.7458,2486.0,monload-611_runway,,,,,,,,2.4,,,1.0358333333333334
11,0.0,,121.815,,0.0,28.067,121.816,28.067,-58.1839,2647.0,monload-611_runway,,,,,,,,2.4,,,1.1029166666666668
12,0.0,,123.197,,0.0,26.6859,123.198,26.6859,-56.8022,2685.37,monload-611_runway,,,,,,,,2.4,,,1.1189041666666666
13,0.0,,123.774,,0.0,26.8174,123.774,26.8174,-56.2259,2707.9,monload-611_runway,,,,,,,,2.4,,,1.1282916666666667
14,0.0,,123.405,,0.0,26.7144,123.406,26.7144,-56.5944,2693.28,monload-611_runway,,,,,,,,2.4,,,1.1222
15,0.0,,122.187,,0.0,26.1624,122.187,26.1624,-57.8127,2644.9,monload-611_runway,,,,,,,,2.4,,,1.1020416666666668
16,0.0,,120.158,,0.0,25.2001,120.157,25.2001,-59.8426,2562.05,monload-611_runway,,,,,,,,2.4,,,1.0675208333333335
17,0.0,,116.896,,0.0,25.989,116.891,25.989,-63.1093,2439.95,monload-611_runway,,,,,,,,2.4,,,1.0166458333333332
18,0.0,,113.509,,0.0,31.4301,113.509,31.4301,-66.4911,2319.63,monload-611_runway,,,,,,,,2.4,,,0.9665125
19,0.0,,113.119,,0.0,43.1551,113.12,43.1551,-66.8798,2302.54,monload-611_runway,,,,,,,,2.4,,,0.9593916666666666
20,0.0,,113.112,,0.0,45.3034,113.112,45.3034,-66.8875,2302.3,monload-611_runway,,,,,,,,2.4,,,0.9592916666666668
21,0.0,,113.936,,0.0,47.8087,113.938,47.8087,-66.0619,2340.1,monload-611_runway,,,,,,,,2.4,,,0.9750416666666666
22,0.0,,113.866,,0.0,46.4444,113.867,46.4444,-66.1328,2336.24,monload-611_runway,,,,,,,,2.4,,,0.9734333333333333
23,0.0,,113.831,,0.0,35.6973,113.833,35.6973,-66.1674,2331.82,monload-611_runway,,,,,,,,2.4,,,0.9715916666666667
24,0.0,,114.068,,0.0,22.9122,114.065,22.9122,-65.9347,2340.53,monload-611_runway,,,,,,,,2.4,,,0.9752208333333334
25,0.0,,118.259,,0.0,18.6667,118.259,18.6667,-61.7413,2405.22,monload-611_runway,,,,,,,,2.4,,,1.0021749999999998
26,0.0,,118.264,,0.0,17.8494,118.264,17.8494,-61.7358,2405.37,monload-611_runway,,,,,,,,2.4,,,1.0022375
27,0.0,,118.274,,0.0,16.9263,118.274,16.9263,-61.726,2405.61,monload-611_runway,,,,,,,,2.4,,,1.0023375
28,0.0,,118.283,,0.0,17.0116,118.283,17.0116,-61.7173,2405.74,monload-611_runway,,,,,,,,2.4,,,1.0023916666666666
29,0.0,,118.035,,0.0,17.6802,118.039,17.6802,-61.9605,2400.76,monload-611_runway,,,,,,,,2.4,,,1.0003166666666667
30,0.0,,117.956,,0.0,21.26,117.957,21.26,-62.0426,2399.05,monload-611_runway,,,,,,,,2.4,,,0.9996041666666667
31,0.0,,117.403,,0.0,33.1809,117.404,33.1809,-62.596,2387.36,monload-611_runway,,,,,,,,2.4,,,0.9947333333333334
32,0.0,,117.153,,0.0,34.8528,117.154,34.8528,-62.8463,2382.16,monload-611_runway,,,,,,,,2.4,,,0.9925666666666666
33,0.0,,117.16,,0.0,30.7756,117.158,30.7756,-62.8417,2382.09,monload-611_runway,,,,,,,,2.4,,,0.9925375000000001
34,0.0,,117.204,,0.0,31.0977,117.203,31.0977,-62.7975,2382.73,monload-611_runway,,,,,,,,2.4,,,0.9928041666666667
35,0.0,,117.405,,0.0,25.135,117.397,25.135,-62.6027,2386.59,monload-611_runway,,,,,,,,2.4,,,0.9944125
36,0.0,,117.432,,0.0,26.0047,117.431,26.0047,-62.5689,2386.85,monload-611_runway,,,,,,,,2.4,,,0.9945208333333333
37,0.0,,117.541,,0.0,26.4116,117.542,26.4116,-62.4582,2388.88,monload-611_runway,,,,,,,,2.4,,,0.9953666666666667
38,0.0,,117.582,,0.0,25.3752,117.581,25.3752,-62.4192,2389.59,monload-611_runway,,,,,,,,2.4,,,0.9956625
39,0.0,,117.352,,0.0,24.5082,117.352,24.5082,-62.6478,2385.51,monload-611_runway,,,,,,,,2.4,,,0.9939625000000001
40,0.0,,117.376,,0.0,24.748,117.375,24.748,-62.6251,2385.89,monload-611_runway,,,,,,,,2.4,,,0.9941208333333332
