hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3,Name,P1(kW),P2(kW),P3(kW)
1,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
2,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
3,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
4,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
5,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
6,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
7,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
8,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
9,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
10,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
11,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
12,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
13,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
14,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
15,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
16,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
17,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
18,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
19,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
20,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
21,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
22,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
23,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
24,0.0,2401.78,1.93663e-08,2401.78,-120.0,2401.78,120.0,2.38651e-09,180.0,2.38833e-09,59.2159,2.40085e-09,-59.3936,monvsource-lead_gen_670,5.7318719878e-09,5.736243227400001e-09,5.766313513e-09
25,0.0,2402.25,-0.0238519,2402.35,-120.022,2402.29,119.951,124.444,-137.77,121.617,103.155,252.995,-31.667,monvsource-lead_gen_670,298.945599,292.16659995,607.76735855
26,0.0,2402.25,-0.0237922,2402.35,-120.023,2402.29,119.95,124.148,-137.597,123.839,102.196,254.83,-31.8807,monvsource-lead_gen_670,298.234533,297.50462165,612.1755607
27,0.0,2402.25,-0.0238652,2402.34,-120.023,2402.29,119.95,124.408,-137.694,125.019,101.707,255.151,-31.9027,monvsource-lead_gen_670,298.859118,300.33814446,612.94669579
28,0.0,2402.3,-0.019078,2402.39,-120.018,2402.34,119.955,107.934,-129.093,108.925,109.799,234.619,-29.1719,monvsource-lead_gen_670,259.2898482,261.68033075,563.63460846
29,0.0,2402.28,-0.0207732,2402.39,-120.02,2402.24,119.948,112.872,-132.076,113.121,107.298,264.89,-33.512,monvsource-lead_gen_670,271.15014816,271.76075918999993,636.3293535999999
30,0.0,2402.27,-0.0213734,2402.37,-120.021,2402.21,119.946,114.607,-133.021,119.151,104.206,275.926,-34.8099,monvsource-lead_gen_670,275.31695789,286.24478787,662.83219646
31,0.0,2402.21,-0.0274238,2402.24,-120.035,2401.98,119.931,135.039,-141.855,175.8,87.9082,345.717,-41.1561,monvsource-lead_gen_670,324.39203618999994,422.31379200000003,830.4053196599999
32,0.0,2402.19,-0.0282685,2402.26,-120.035,2401.89,119.925,137.773,-142.687,172.847,88.4656,376.816,-43.253,monvsource-lead_gen_670,330.95692287,415.22343422000006,905.0705822399999
33,0.0,2402.4,-0.00820157,2402.45,-120.015,2402.12,119.947,83.6853,-96.6678,99.6376,115.58,273.236,-36.4372,monvsource-lead_gen_670,201.04556472,239.37435212,656.3456603199999
34,0.0,2402.54,0.00495132,2402.59,-120.004,2402.21,119.955,101.579,-55.6998,82.3041,152.379,235.969,-32.2018,monvsource-lead_gen_670,244.04761065999998,197.74300761900002,566.84709149
35,0.0,2402.71,0.0199744,2402.71,-119.993,2402.33,119.966,158.419,-32.3411,99.4685,-175.596,191.184,-23.9069,monvsource-lead_gen_670,380.63491549,238.993959635,459.28705871999995
36,0.0,2403.02,0.0499605,2403.01,-119.964,2402.63,119.994,296.536,-16.5815,217.339,-142.089,114.324,21.8321,monvsource-lead_gen_670,712.5819387199999,522.2677903900001,274.67827212
37,0.0,2403.19,0.0653493,2403.15,-119.951,2402.77,120.007,371.515,-13.1531,278.813,-136.987,125.156,53.7606,monvsource-lead_gen_670,892.8211328499999,670.0294609499999,300.72108212000006
38,0.0,2403.38,0.0830565,2403.31,-119.936,2402.92,120.021,458.993,-10.5646,348.893,-133.411,166.73,76.3071,monvsource-lead_gen_670,1103.13459634,838.4980358299999,400.6388516
39,0.0,2402.87,0.0359961,2402.89,-119.976,2402.49,119.981,230.036,-21.5851,163.281,-150.151,136.938,-5.04698,monvsource-lead_gen_670,552.74660332,392.34628209,328.99217561999995
40,0.0,2402.94,0.042339,2402.94,-119.971,2402.54,119.986,260.178,-18.9976,186.521,-146.055,124.786,4.29813,monvsource-lead_gen_670,625.1921233200001,448.19877174,299.80335644
41,0.0,2402.51,0.00250325,2402.58,-120.005,2402.18,119.952,95.0816,-61.7925,82.3706,147.491,248.834,-33.9388,monvsource-lead_gen_670,228.434494816,197.901956148,597.74405812
42,0.0,2402.07,-0.0361304,2402.27,-120.034,2401.82,119.92,171.453,-151.647,166.604,89.6782,401.89,-44.7553,monvsource-lead_gen_670,411.84210771,400.22779108000003,965.2674398
43,0.0,2402.09,-0.0348406,2402.28,-120.031,2401.98,119.929,167.195,-150.852,155.368,92.1497,354.269,-41.7294,monvsource-lead_gen_670,401.61743755000003,373.23743904,850.94705262
44,0.0,2402.1,-0.033948,2402.28,-120.031,2401.98,119.929,163.153,-149.937,155.926,92.0154,354.708,-41.7668,monvsource-lead_gen_670,391.9098213,374.57791128,852.00152184
45,0.0,2402.15,-0.030618,2402.3,-120.029,2402.07,119.936,149.512,-146.592,148.033,93.9871,323.606,-39.4154,monvsource-lead_gen_670,359.15025080000004,355.61967589999995,777.3242644200001
46,0.0,2402.22,-0.0255971,2402.31,-120.028,2402.11,119.939,129.185,-139.817,145.292,94.7258,307.921,-38.0783,monvsource-lead_gen_670,310.33079069999997,349.03642452,739.66011331
47,0.0,2402.3,-0.0189108,2402.4,-120.019,2402.24,119.949,106.685,-128.185,109.516,109.38,263.643,-33.4559,monvsource-lead_gen_670,256.2893755,263.10123840000006,633.3337603199999
48,0.0,2402.29,-0.0192301,2402.41,-120.017,2402.3,119.952,108.13,-129.384,104.041,113.062,245.898,-31.1187,monvsource-lead_gen_670,259.7596177,249.94913880999997,590.7207654
49,0.0,2402.29,-0.0203287,2402.39,-120.02,2402.28,119.951,111.644,-131.364,112.741,107.527,252.985,-31.9109,monvsource-lead_gen_670,268.20126476,270.84785099,607.7408058000001
