Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66395.3,   30.0,         1, 2,    66395.3,  -90.0,         1, 3,    66395.3,  150.0,         1
"680", 4.16, 1,    2401.78,    0.0,         1, 2,    2401.78, -120.0,         1, 3,    2401.78,  120.0,         1
"650", 4.16, 1,    2401.75,    0.0,   0.99999, 2,    2401.74, -120.0,   0.99998, 3,    2401.66,  120.0,   0.99995
"RG60", 4.16, 1,    2431.78,    0.0,    1.0125, 2,     2446.7, -120.0,    1.0187, 3,    2536.46,  120.0,    1.0561
"633", 4.16, 1,    2433.99,    2.9,    1.0134, 2,    2372.64, -119.4,   0.98787, 3,    2245.29,  119.1,   0.93484
"634", 0.48, 1,    271.657,    4.2,   0.98026, 2,    273.766, -119.4,   0.98787, 3,    259.072,  119.1,   0.93484
"684", 4.16, 2,    2373.95, -117.0,   0.98841, 3,    1992.15,  115.8,   0.82945, 0, 0, 0, 0
"645", 4.16, 2,    2359.71, -119.4,   0.98249, 0, 0, 0, 0, 0, 0, 0, 0
"646", 4.16, 2,    2352.84, -119.5,   0.97963, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    2538.62,    2.9,     1.057, 2,    2373.95, -117.0,   0.98841, 3,    2036.48,  116.2,    0.8479
"675", 4.16, 1,    2549.91,    3.0,    1.0617, 2,    2381.37, -116.8,    0.9915, 3,    2040.77,  116.3,   0.84969
"611", 4.16, 3,    1987.95,  115.6,    0.8277, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 3,    1980.89,  115.9,   0.82476, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    2463.48,    3.0,    1.0257, 2,    2382.53, -119.0,   0.99199, 3,    2148.32,  118.8,   0.89447
"671", 4.16, 1,    2538.62,    2.9,     1.057, 2,    2373.95, -117.0,   0.98841, 3,    2036.48,  116.2,    0.8479
"632", 4.16, 1,    2444.42,    2.6,    1.0178, 2,    2372.64, -119.4,   0.98787, 3,    2245.29,  119.1,   0.93484
