hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,114.622,,0.0,20.2518,114.623,20.2518,-65.3769,2364.07,monload-611_runway,,,,,,,,2.4,,,0.9850291666666667
2,0.0,,114.621,,0.0,21.49,114.621,21.49,-65.3792,2364.19,monload-611_runway,,,,,,,,2.4,,,0.9850791666666667
3,0.0,,114.529,,0.0,18.735,114.53,18.735,-65.4701,2360.2,monload-611_runway,,,,,,,,2.4,,,0.9834166666666666
4,0.0,,114.467,,0.0,18.1696,114.468,18.1696,-65.5325,2357.55,monload-611_runway,,,,,,,,2.4,,,0.9823125
5,0.0,,114.412,,0.0,18.3433,114.416,18.3433,-65.5837,2355.7,monload-611_runway,,,,,,,,2.4,,,0.9815416666666666
6,0.0,,114.425,,0.0,19.8621,114.423,19.8621,-65.577,2356.36,monload-611_runway,,,,,,,,2.4,,,0.9818166666666667
7,0.0,,113.994,,0.0,29.8483,113.999,29.8483,-66.001,2340.14,monload-611_runway,,,,,,,,2.4,,,0.9750583333333332
8,0.0,,113.922,,0.0,31.8618,113.923,31.8618,-66.0773,2336.95,monload-611_runway,,,,,,,,2.4,,,0.9737291666666666
9,0.0,,117.917,,0.0,44.0268,117.917,44.0268,-62.0829,2503.4,monload-611_runway,,,,,,,,2.4,,,1.0430833333333334
10,0.0,,120.564,,0.0,38.8711,120.564,38.8711,-59.4357,2590.33,monload-611_runway,,,,,,,,2.4,,,1.0793041666666667
11,0.0,,121.646,,0.0,27.7255,121.647,27.7255,-58.3534,2614.8,monload-611_runway,,,,,,,,2.4,,,1.0895000000000001
12,0.0,,126.46,,0.0,27.454,126.461,27.454,-53.5389,2762.73,monload-611_runway,,,,,,,,2.4,,,1.1511375
13,0.0,,126.791,,0.0,27.463,126.791,27.463,-53.2088,2773.04,monload-611_runway,,,,,,,,2.4,,,1.1554333333333333
14,0.0,,126.537,,0.0,27.4227,126.538,27.4227,-53.4624,2764.76,monload-611_runway,,,,,,,,2.4,,,1.1519833333333334
15,0.0,,125.283,,0.0,26.9453,125.285,26.9453,-54.715,2723.98,monload-611_runway,,,,,,,,2.4,,,1.1349916666666666
16,0.0,,123.318,,0.0,26.1328,123.318,26.1328,-56.6821,2656.9,monload-611_runway,,,,,,,,2.4,,,1.1070416666666667
17,0.0,,119.44,,0.0,25.989,119.439,25.989,-60.561,2514.27,monload-611_runway,,,,,,,,2.4,,,1.0476125
18,0.0,,114.774,,0.0,31.4301,114.773,31.4301,-65.2274,2358.74,monload-611_runway,,,,,,,,2.4,,,0.9828083333333333
19,0.0,,114.065,,0.0,43.1551,114.063,43.1551,-65.9371,2343.69,monload-611_runway,,,,,,,,2.4,,,0.9765375000000001
20,0.0,,119.393,,0.0,45.7295,119.394,45.7295,-60.6064,2543.7,monload-611_runway,,,,,,,,2.4,,,1.059875
21,0.0,,119.456,,0.0,48.3113,119.456,48.3113,-60.5441,2546.49,monload-611_runway,,,,,,,,2.4,,,1.0610374999999999
22,0.0,,119.104,,0.0,46.6623,119.104,46.6623,-60.8961,2531.88,monload-611_runway,,,,,,,,2.4,,,1.05495
23,0.0,,119.719,,0.0,36.2058,119.719,36.2058,-60.2807,2555.9,monload-611_runway,,,,,,,,2.4,,,1.0649583333333335
24,0.0,,122.753,,0.0,24.0946,122.754,24.0946,-57.2461,2650.07,monload-611_runway,,,,,,,,2.4,,,1.1041958333333335
25,0.0,,121.416,,0.0,19.2713,121.417,19.2713,-58.5835,2601.56,monload-611_runway,,,,,,,,2.4,,,1.0839833333333333
26,0.0,,122.444,,0.0,18.6914,122.444,18.6914,-57.5558,2638.89,monload-611_runway,,,,,,,,2.4,,,1.0995375
27,0.0,,122.72,,0.0,17.7907,122.719,17.7907,-57.2806,2648.66,monload-611_runway,,,,,,,,2.4,,,1.1036083333333333
28,0.0,,121.749,,0.0,17.644,121.749,17.644,-58.2511,2613.65,monload-611_runway,,,,,,,,2.4,,,1.0890208333333333
29,0.0,,119.131,,0.0,17.6802,119.129,17.6802,-60.8714,2517.02,monload-611_runway,,,,,,,,2.4,,,1.0487583333333332
30,0.0,,119.605,,0.0,21.4053,119.606,21.4053,-60.3945,2537.23,monload-611_runway,,,,,,,,2.4,,,1.0571791666666668
31,0.0,,120.277,,0.0,33.8141,120.277,33.8141,-59.7232,2568.1,monload-611_runway,,,,,,,,2.4,,,1.0700416666666666
32,0.0,,116.164,,0.0,34.8528,116.163,34.8528,-63.8374,2424.46,monload-611_runway,,,,,,,,2.4,,,1.0101916666666666
33,0.0,,120.768,,0.0,31.6168,120.769,31.6168,-59.2315,2588.9,monload-611_runway,,,,,,,,2.4,,,1.0787083333333334
34,0.0,,120.26,,0.0,31.7331,120.26,31.7331,-59.7404,2571.52,monload-611_runway,,,,,,,,2.4,,,1.0714666666666666
35,0.0,,122.646,,0.0,26.5328,122.646,26.5328,-57.3542,2660.09,monload-611_runway,,,,,,,,2.4,,,1.1083708333333333
36,0.0,,123.245,,0.0,27.6827,123.245,27.6827,-56.7549,2682.6,monload-611_runway,,,,,,,,2.4,,,1.11775
37,0.0,,124.442,,0.0,28.3818,124.443,28.3818,-55.5573,2708.02,monload-611_runway,,,,,,,,2.4,,,1.1283416666666666
38,0.0,,130.213,,0.0,29.0681,130.213,29.0681,-49.7871,2886.76,monload-611_runway,,,,,,,,2.4,,,1.2028166666666669
39,0.0,,124.706,,0.0,26.4202,124.707,26.4202,-55.2929,2716.59,monload-611_runway,,,,,,,,2.4,,,1.1319125
40,0.0,,124.029,,0.0,26.4538,124.03,26.4538,-55.9703,2693.66,monload-611_runway,,,,,,,,2.4,,,1.1223583333333333
41,0.0,,122.039,,0.0,26.9282,122.04,26.9282,-57.9604,2623.26,monload-611_runway,,,,,,,,2.4,,,1.0930250000000001
42,0.0,,116.381,,0.0,31.6633,116.378,31.6633,-63.6223,2420.18,monload-611_runway,,,,,,,,2.4,,,1.0084083333333334
43,0.0,,119.001,,0.0,38.7986,118.995,38.7986,-61.0046,2518.98,monload-611_runway,,,,,,,,2.4,,,1.049575
44,0.0,,120.058,,0.0,41.8323,120.058,41.8323,-59.9417,2560.04,monload-611_runway,,,,,,,,2.4,,,1.0666833333333334
45,0.0,,120.152,,0.0,45.858,120.151,45.858,-59.8486,2561.03,monload-611_runway,,,,,,,,2.4,,,1.0670958333333334
46,0.0,,119.813,,0.0,42.7626,119.818,42.7626,-60.1822,2547.47,monload-611_runway,,,,,,,,2.4,,,1.0614458333333332
47,0.0,,122.061,,0.0,32.1713,122.061,32.1713,-57.9389,2627.96,monload-611_runway,,,,,,,,2.4,,,1.0949833333333334
48,0.0,,122.409,,0.0,22.1527,122.41,22.1527,-57.5904,2639.5,monload-611_runway,,,,,,,,2.4,,,1.0997916666666667
49,0.0,,122.367,,0.0,19.7771,122.367,19.7771,-57.6332,2637.76,monload-611_runway,,,,,,,,2.4,,,1.0990666666666669
50,0.0,,122.595,,0.0,19.3131,122.595,19.3131,-57.4051,2645.82,monload-611_runway,,,,,,,,2.4,,,1.102425
51,0.0,,122.652,,0.0,18.793,122.654,18.793,-57.3461,2647.64,monload-611_runway,,,,,,,,2.4,,,1.1031833333333332
52,0.0,,122.646,,0.0,19.3705,122.646,19.3705,-57.3543,2647.39,monload-611_runway,,,,,,,,2.4,,,1.1030791666666666
53,0.0,,116.84,,0.0,19.6598,116.84,19.6598,-63.1602,2428.82,monload-611_runway,,,,,,,,2.4,,,1.0120083333333334
