Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66395.3,   30.0,         1, 2,    66395.3,  -90.0,         1, 3,    66395.3,  150.0,         1
"680", 4.16, 1,    2401.78,    0.0,         1, 2,    2401.78, -120.0,         1, 3,    2401.78,  120.0,         1
"650", 4.16, 1,    2401.64,    0.0,   0.99994, 2,    2401.75, -120.0,   0.99999, 3,    2401.81,  120.0,         1
"RG60", 4.16, 1,    2401.98,    0.0,    1.0001, 2,    2386.99, -120.0,   0.99384, 3,    2357.01,  120.0,   0.98136
"633", 4.16, 1,    2948.42,   18.8,    1.2276, 2,    2703.25, -110.6,    1.1255, 3,    2634.22,  125.1,    1.0968
"634", 0.48, 1,    358.247,   24.9,    1.2927, 2,    311.914, -110.6,    1.1255, 3,    303.948,  125.1,    1.0968
"684", 4.16, 2,     2815.4, -104.1,    1.1722, 3,    2803.86,  127.1,    1.1674, 0, 0, 0, 0
"645", 4.16, 2,    2695.04, -110.8,    1.1221, 0, 0, 0, 0, 0, 0, 0, 0
"646", 4.16, 2,    2690.46, -110.9,    1.1202, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    3205.39,   25.5,    1.3346, 2,     2815.4, -104.1,    1.1722, 3,     2828.9,  127.7,    1.1778
"675", 4.16, 1,    3287.53,   26.4,    1.3688, 2,    2857.81, -103.2,    1.1899, 3,    2887.67,  128.4,    1.2023
"611", 4.16, 3,     2801.8,  126.9,    1.1666, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 3,    2792.52,  127.0,    1.1627, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    3073.88,   21.2,    1.2798, 2,    2845.23, -107.6,    1.1846, 3,    2730.72,  126.6,     1.137
"671", 4.16, 1,    3205.39,   25.5,    1.3346, 2,     2815.4, -104.1,    1.1722, 3,     2828.9,  127.7,    1.1778
"632", 4.16, 1,    2910.56,   17.8,    1.2118, 2,    2703.25, -110.6,    1.1255, 3,    2634.22,  125.1,    1.0968
