hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,111.165,,0.0,20.2518,111.168,20.2518,-68.8319,2404.75,monload-611_runway,,,,,,,,2.4,,,1.0019791666666666
2,0.0,,111.154,,0.0,21.49,111.155,21.49,-68.8452,2404.39,monload-611_runway,,,,,,,,2.4,,,1.0018291666666665
3,0.0,,111.181,,0.0,18.735,111.179,18.735,-68.8214,2405.56,monload-611_runway,,,,,,,,2.4,,,1.0023166666666667
4,0.0,,111.186,,0.0,18.1696,111.186,18.1696,-68.8143,2405.8,monload-611_runway,,,,,,,,2.4,,,1.0024166666666667
5,0.0,,110.956,,0.0,18.3433,110.958,18.3433,-69.0416,2395.04,monload-611_runway,,,,,,,,2.4,,,0.9979333333333333
6,0.0,,110.812,,0.0,19.8621,110.813,19.8621,-69.1871,2388.05,monload-611_runway,,,,,,,,2.4,,,0.9950208333333334
7,0.0,,109.957,,0.0,29.8483,109.955,29.8483,-70.0448,2347.87,monload-611_runway,,,,,,,,2.4,,,0.9782791666666666
8,0.0,,110.083,,0.0,31.8618,110.085,31.8618,-69.9152,2353.85,monload-611_runway,,,,,,,,2.4,,,0.9807708333333333
9,0.0,,112.825,,0.0,44.0268,112.825,44.0268,-67.1749,2482.35,monload-611_runway,,,,,,,,2.4,,,1.0343125
10,0.0,,113.287,,0.0,37.8158,113.287,37.8158,-66.7125,2488.46,monload-611_runway,,,,,,,,2.4,,,1.0368583333333334
11,0.0,,114.47,,0.0,26.9923,114.47,26.9923,-65.5302,2545.64,monload-611_runway,,,,,,,,2.4,,,1.0606833333333332
12,0.0,,117.1,,0.0,26.2243,117.1,26.2243,-62.8998,2638.92,monload-611_runway,,,,,,,,2.4,,,1.09955
13,0.0,,117.52,,0.0,26.3271,117.529,26.3271,-62.471,2658.42,monload-611_runway,,,,,,,,2.4,,,1.107675
14,0.0,,117.283,,0.0,26.2589,117.274,26.2589,-62.7258,2647.31,monload-611_runway,,,,,,,,2.4,,,1.1030458333333333
15,0.0,,116.419,,0.0,25.7851,116.419,25.7851,-63.5814,2606.76,monload-611_runway,,,,,,,,2.4,,,1.0861500000000002
16,0.0,,114.955,,0.0,24.9517,114.955,24.9517,-65.0445,2536.73,monload-611_runway,,,,,,,,2.4,,,1.0569708333333334
17,0.0,,112.514,,0.0,25.989,112.509,25.989,-67.4908,2433.0,monload-611_runway,,,,,,,,2.4,,,1.01375
18,0.0,,109.92,,0.0,31.4301,109.919,31.4301,-70.0815,2332.0,monload-611_runway,,,,,,,,2.4,,,0.9716666666666667
19,0.0,,109.525,,0.0,43.1551,109.52,43.1551,-70.4797,2327.53,monload-611_runway,,,,,,,,2.4,,,0.9698041666666668
20,0.0,,109.538,,0.0,45.3034,109.536,45.3034,-70.4644,2328.27,monload-611_runway,,,,,,,,2.4,,,0.9701125
21,0.0,,109.705,,0.0,47.8087,109.702,47.8087,-70.2975,2336.25,monload-611_runway,,,,,,,,2.4,,,0.9734375
22,0.0,,109.901,,0.0,46.4444,109.899,46.4444,-70.1012,2345.85,monload-611_runway,,,,,,,,2.4,,,0.9774375
23,0.0,,110.466,,0.0,35.6973,110.465,35.6973,-69.5349,2372.48,monload-611_runway,,,,,,,,2.4,,,0.9885333333333334
24,0.0,,110.872,,0.0,22.9122,110.866,22.9122,-69.1337,2391.37,monload-611_runway,,,,,,,,2.4,,,0.9964041666666666
25,0.0,,111.018,,0.0,18.6667,111.016,18.6667,-68.9844,2398.27,monload-611_runway,,,,,,,,2.4,,,0.9992791666666666
26,0.0,,111.026,,0.0,17.8494,111.025,17.8494,-68.975,2398.64,monload-611_runway,,,,,,,,2.4,,,0.9994333333333333
27,0.0,,111.043,,0.0,16.9263,111.041,16.9263,-68.9588,2399.41,monload-611_runway,,,,,,,,2.4,,,0.9997541666666666
28,0.0,,111.045,,0.0,17.0116,111.045,17.0116,-68.9551,2399.49,monload-611_runway,,,,,,,,2.4,,,0.9997874999999999
29,0.0,,110.231,,0.0,17.6802,110.233,17.6802,-69.7673,2361.45,monload-611_runway,,,,,,,,2.4,,,0.9839374999999999
30,0.0,,109.92,,0.0,21.26,109.925,21.26,-70.0754,2346.65,monload-611_runway,,,,,,,,2.4,,,0.9777708333333334
31,0.0,,108.049,,0.0,33.0639,108.053,33.0639,-71.947,2272.19,monload-611_runway,,,,,,,,2.4,,,0.9467458333333334
32,0.0,,107.518,,0.0,34.3206,107.518,34.3206,-72.4824,2247.17,monload-611_runway,,,,,,,,2.4,,,0.9363208333333334
33,0.0,,107.783,,0.0,30.5218,107.782,30.5218,-72.2179,2262.19,monload-611_runway,,,,,,,,2.4,,,0.9425791666666666
34,0.0,,109.088,,0.0,31.0977,109.09,31.0977,-70.9104,2331.39,monload-611_runway,,,,,,,,2.4,,,0.9714124999999999
35,0.0,,111.673,,0.0,25.135,111.673,25.135,-68.3269,2432.31,monload-611_runway,,,,,,,,2.4,,,1.0134625
36,0.0,,112.204,,0.0,26.0047,112.207,26.0047,-67.7934,2458.67,monload-611_runway,,,,,,,,2.4,,,1.0244458333333333
37,0.0,,112.267,,0.0,26.4116,112.266,26.4116,-67.7343,2461.32,monload-611_runway,,,,,,,,2.4,,,1.02555
38,0.0,,112.198,,0.0,25.3752,112.203,25.3752,-67.7969,2458.26,monload-611_runway,,,,,,,,2.4,,,1.024275
39,0.0,,110.723,,0.0,24.5082,110.724,24.5082,-69.2758,2385.08,monload-611_runway,,,,,,,,2.4,,,0.9937833333333334
40,0.0,,111.054,,0.0,24.748,111.055,24.748,-68.9448,2401.61,monload-611_runway,,,,,,,,2.4,,,1.0006708333333334
41,0.0,,108.567,,0.0,25.8685,108.565,25.8685,-71.4346,2290.51,monload-611_runway,,,,,,,,2.4,,,0.9543791666666668
42,0.0,,107.263,,0.0,31.006,107.262,31.006,-72.738,2235.18,monload-611_runway,,,,,,,,2.4,,,0.931325
43,0.0,,107.891,,0.0,38.5083,107.891,38.5083,-72.1088,2263.84,monload-611_runway,,,,,,,,2.4,,,0.9432666666666667
44,0.0,,107.887,,0.0,40.8684,107.887,40.8684,-72.1133,2263.75,monload-611_runway,,,,,,,,2.4,,,0.9432291666666667
45,0.0,,108.659,,0.0,45.1231,108.661,45.1231,-71.3393,2301.3,monload-611_runway,,,,,,,,2.4,,,0.958875
46,0.0,,109.094,,0.0,42.3023,109.093,42.3023,-70.9069,2322.49,monload-611_runway,,,,,,,,2.4,,,0.9677041666666666
47,0.0,,110.145,,0.0,30.8497,110.143,30.8497,-69.857,2372.25,monload-611_runway,,,,,,,,2.4,,,0.9884375
48,0.0,,110.504,,0.0,21.1497,110.498,21.1497,-69.5021,2389.21,monload-611_runway,,,,,,,,2.4,,,0.9955041666666666
49,0.0,,110.658,,0.0,18.8942,110.655,18.8942,-69.345,2396.57,monload-611_runway,,,,,,,,2.4,,,0.9985708333333334
50,0.0,,110.702,,0.0,18.3946,110.695,18.3946,-69.3048,2398.61,monload-611_runway,,,,,,,,2.4,,,0.9994208333333334
51,0.0,,110.757,,0.0,17.8874,110.756,17.8874,-69.2443,2401.14,monload-611_runway,,,,,,,,2.4,,,1.000475
52,0.0,,110.751,,0.0,18.4384,110.752,18.4384,-69.2479,2400.9,monload-611_runway,,,,,,,,2.4,,,1.000375
53,0.0,,109.924,,0.0,19.6598,109.926,19.6598,-70.0742,2361.83,monload-611_runway,,,,,,,,2.4,,,0.9840958333333333
54,0.0,,109.594,,0.0,23.9779,109.6,23.9779,-70.4002,2345.95,monload-611_runway,,,,,,,,2.4,,,0.9774791666666666
55,0.0,,107.76,,0.0,35.3541,107.76,35.3541,-72.2401,2257.99,monload-611_runway,,,,,,,,2.4,,,0.9408291666666666
56,0.0,,107.399,,0.0,35.342,107.4,35.342,-72.6004,2241.91,monload-611_runway,,,,,,,,2.4,,,0.9341291666666666
57,0.0,,108.604,,0.0,31.5574,108.607,31.5574,-71.3927,2306.06,monload-611_runway,,,,,,,,2.4,,,0.9608583333333333
58,0.0,,110.432,,0.0,31.2533,110.434,31.2533,-69.5657,2385.52,monload-611_runway,,,,,,,,2.4,,,0.9939666666666667
59,0.0,,112.262,,0.0,24.7817,112.264,24.7817,-67.7358,2461.22,monload-611_runway,,,,,,,,2.4,,,1.0255083333333332
60,0.0,,112.267,,0.0,25.9092,112.267,25.9092,-67.7326,2461.41,monload-611_runway,,,,,,,,2.4,,,1.0255874999999999
61,0.0,,112.356,,0.0,27.1001,112.354,27.1001,-67.6461,2465.38,monload-611_runway,,,,,,,,2.4,,,1.0272416666666666
62,0.0,,113.574,,0.0,27.5835,113.575,27.5835,-66.4251,2509.68,monload-611_runway,,,,,,,,2.4,,,1.0456999999999999
63,0.0,,109.896,,0.0,27.9419,109.894,27.9419,-70.1058,2343.35,monload-611_runway,,,,,,,,2.4,,,0.9763958333333332
64,0.0,,110.257,,0.0,28.0794,110.255,28.0794,-69.7446,2361.56,monload-611_runway,,,,,,,,2.4,,,0.9839833333333333
65,0.0,,108.175,,0.0,28.3871,108.175,28.3871,-71.8249,2270.06,monload-611_runway,,,,,,,,2.4,,,0.9458583333333334
66,0.0,,107.323,,0.0,31.9649,107.322,31.9649,-72.6776,2237.91,monload-611_runway,,,,,,,,2.4,,,0.9324625
67,0.0,,108.125,,0.0,38.6424,108.125,38.6424,-71.8749,2275.23,monload-611_runway,,,,,,,,2.4,,,0.9480125
68,0.0,,108.132,,0.0,40.7897,108.132,40.7897,-71.8676,2275.7,monload-611_runway,,,,,,,,2.4,,,0.9482083333333332
69,0.0,,108.949,,0.0,44.806,108.951,44.806,-71.0492,2315.22,monload-611_runway,,,,,,,,2.4,,,0.964675
70,0.0,,109.336,,0.0,41.9513,109.335,41.9513,-70.6648,2334.02,monload-611_runway,,,,,,,,2.4,,,0.9725083333333333
71,0.0,,110.357,,0.0,30.874,110.355,30.874,-69.6451,2382.24,monload-611_runway,,,,,,,,2.4,,,0.9925999999999999
72,0.0,,110.727,,0.0,21.1947,110.721,21.1947,-69.2791,2399.7,monload-611_runway,,,,,,,,2.4,,,0.999875
73,0.0,,110.916,,0.0,18.5785,110.919,18.5785,-69.0809,2393.4,monload-611_runway,,,,,,,,2.4,,,0.9972500000000001
74,0.0,,110.944,,0.0,17.7129,110.942,17.7129,-69.0585,2394.71,monload-611_runway,,,,,,,,2.4,,,0.9977958333333333
75,0.0,,110.975,,0.0,16.7422,110.972,16.7422,-69.0277,2396.15,monload-611_runway,,,,,,,,2.4,,,0.9983958333333334
76,0.0,,110.972,,0.0,16.8093,110.972,16.8093,-69.0276,2396.02,monload-611_runway,,,,,,,,2.4,,,0.9983416666666667
77,0.0,,110.156,,0.0,17.5128,110.156,17.5128,-69.8436,2357.82,monload-611_runway,,,,,,,,2.4,,,0.9824250000000001
78,0.0,,109.951,,0.0,20.9229,109.953,20.9229,-70.0475,2348.0,monload-611_runway,,,,,,,,2.4,,,0.9783333333333334
79,0.0,,108.038,,0.0,32.5946,108.042,32.5946,-71.9576,2271.73,monload-611_runway,,,,,,,,2.4,,,0.9465541666666667
80,0.0,,107.485,,0.0,34.436,107.486,34.436,-72.5144,2245.67,monload-611_runway,,,,,,,,2.4,,,0.9356958333333334
81,0.0,,108.217,,0.0,30.82,108.215,30.82,-71.7851,2285.45,monload-611_runway,,,,,,,,2.4,,,0.9522708333333333
82,0.0,,110.614,,0.0,30.1071,110.616,30.1071,-69.3839,2394.51,monload-611_runway,,,,,,,,2.4,,,0.9977125000000001
83,0.0,,112.296,,0.0,23.08,112.298,23.08,-67.702,2462.87,monload-611_runway,,,,,,,,2.4,,,1.0261958333333332
84,0.0,,111.655,,0.0,23.6213,111.658,23.6213,-68.3422,2431.36,monload-611_runway,,,,,,,,2.4,,,1.0130666666666668
85,0.0,,110.848,,0.0,24.733,110.851,24.733,-69.1487,2390.74,monload-611_runway,,,,,,,,2.4,,,0.9961416666666666
86,0.0,,109.164,,0.0,26.0612,109.163,26.0612,-70.8373,2321.48,monload-611_runway,,,,,,,,2.4,,,0.9672833333333334
87,0.0,,112.137,,0.0,26.4039,112.139,26.4039,-67.8606,2455.39,monload-611_runway,,,,,,,,2.4,,,1.0230791666666665
88,0.0,,109.105,,0.0,26.3335,109.102,26.3335,-70.8976,2318.74,monload-611_runway,,,,,,,,2.4,,,0.9661416666666666
89,0.0,,107.703,,0.0,27.3172,107.703,27.3172,-72.2967,2260.71,monload-611_runway,,,,,,,,2.4,,,0.9419625
90,0.0,,107.134,,0.0,33.0297,107.134,33.0297,-72.8657,2229.31,monload-611_runway,,,,,,,,2.4,,,0.9288791666666666
91,0.0,,107.683,,0.0,40.9604,107.682,40.9604,-72.3177,2253.83,monload-611_runway,,,,,,,,2.4,,,0.9390958333333334
92,0.0,,107.68,,0.0,44.0045,107.68,44.0045,-72.3199,2253.79,monload-611_runway,,,,,,,,2.4,,,0.9390791666666667
93,0.0,,107.999,,0.0,48.9894,107.997,48.9894,-72.0026,2267.5,monload-611_runway,,,,,,,,2.4,,,0.9447916666666667
94,0.0,,108.483,,0.0,46.4184,108.484,46.4184,-71.5163,2291.56,monload-611_runway,,,,,,,,2.4,,,0.9548166666666666
95,0.0,,109.9,,0.0,34.3923,109.904,34.3923,-70.0958,2360.82,monload-611_runway,,,,,,,,2.4,,,0.9836750000000001
96,0.0,,110.279,,0.0,24.0131,110.274,24.0131,-69.7259,2378.85,monload-611_runway,,,,,,,,2.4,,,0.9911875
97,0.0,,110.498,,0.0,21.7964,110.496,21.7964,-69.5041,2389.39,monload-611_runway,,,,,,,,2.4,,,0.9955791666666666
98,0.0,,110.55,,0.0,20.8093,110.545,20.8093,-69.4554,2391.83,monload-611_runway,,,,,,,,2.4,,,0.9965958333333333
99,0.0,,110.593,,0.0,19.5335,110.589,19.5335,-69.4109,2393.86,monload-611_runway,,,,,,,,2.4,,,0.9974416666666667
100,0.0,,110.654,,0.0,19.3539,110.653,19.3539,-69.3468,2396.69,monload-611_runway,,,,,,,,2.4,,,0.9986208333333334
101,0.0,,109.931,,0.0,19.795,109.932,19.795,-70.0681,2362.51,monload-611_runway,,,,,,,,2.4,,,0.9843791666666668
102,0.0,,109.63,,0.0,23.6849,109.633,23.6849,-70.3667,2348.04,monload-611_runway,,,,,,,,2.4,,,0.9783499999999999
103,0.0,,107.632,,0.0,37.926,107.635,37.926,-72.3654,2252.08,monload-611_runway,,,,,,,,2.4,,,0.9383666666666667
104,0.0,,107.256,,0.0,41.8222,107.253,41.8222,-72.7474,2235.47,monload-611_runway,,,,,,,,2.4,,,0.9314458333333332
105,0.0,,107.317,,0.0,39.0252,107.316,39.0252,-72.6838,2239.81,monload-611_runway,,,,,,,,2.4,,,0.9332541666666666
