Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66395.3,   30.0,         1, 2,    66395.3,  -90.0,         1, 3,    66395.3,  150.0,         1
"680", 4.16, 1,    2401.78,    0.0,         1, 2,    2401.78, -120.0,         1, 3,    2401.78,  120.0,         1
"650", 4.16, 1,    2401.84,    0.0,         1, 2,    2401.82, -120.0,         1, 3,    2401.76,  120.0,   0.99999
"RG60", 4.16, 1,    2371.91,    0.0,   0.98756, 2,    2401.77, -120.0,         1, 3,    2461.52,  120.0,    1.0249
"633", 4.16, 1,    2513.52,   -0.8,    1.0465, 2,    2359.26, -124.9,    0.9823, 3,    2193.65,  111.7,   0.91334
"634", 0.48, 1,    290.445,   -0.6,    1.0481, 2,    272.223, -124.9,    0.9823, 3,    253.113,  111.7,   0.91334
"684", 4.16, 2,    2353.66, -127.0,   0.97997, 3,    2067.27,  103.1,   0.86073, 0, 0, 0, 0
"645", 4.16, 2,     2361.9, -124.8,    0.9834, 0, 0, 0, 0, 0, 0, 0, 0
"646", 4.16, 2,    2357.89, -124.9,   0.98173, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    2522.08,   -5.2,    1.0501, 2,    2353.66, -127.0,   0.97997, 3,    2089.16,  103.8,   0.86984
"675", 4.16, 1,    2515.55,   -5.8,    1.0474, 2,    2352.97, -127.5,   0.97968, 3,    2087.69,  103.4,   0.86923
"611", 4.16, 3,    2065.33,  102.9,   0.85992, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 3,    2058.91,  103.1,   0.85724, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    2458.09,   -3.5,    1.0234, 2,    2342.15, -126.7,   0.97517, 3,    2116.17,  108.5,   0.88108
"671", 4.16, 1,    2522.08,   -5.2,    1.0501, 2,    2353.66, -127.0,   0.97997, 3,    2089.16,  103.8,   0.86984
"632", 4.16, 1,    2474.29,   -1.7,    1.0302, 2,    2359.26, -124.9,    0.9823, 3,    2193.65,  111.7,   0.91334
