Microgrid,Location,Recommended Upgrade,Component Count,Cost Estimate ($)
mg4,mg4,Microgrid Design,1,100000
mg4,mg4,Microgrid Controls,1,100000
mg4,l_3003_3005,SCADA disconnect switch,1,50000
mg4,load_3009,3-phase relay(s),1,20000
mg4,load_3010,3-phase relay(s),1,20000
mg4,load_3011,3-phase relay(s),1,20000
mg4,load_3012,3-phase relay(s),1,20000
mg4,load_3013,3-phase relay(s),1,20000
mg4,load_3014,3-phase relay(s),1,20000
mg4,load_3016,3-phase relay(s),1,20000
mg4,load_3017,3-phase relay(s),1,20000
mg4,load_3018,3-phase relay(s),1,20000
mg4,load_3019,3-phase relay(s),1,20000
mg4,load_3020,3-phase relay(s),1,20000
mg4,load_3021,3-phase relay(s),1,20000
mg4,load_3023,3-phase relay(s),1,20000
mg4,load_3024,3-phase relay(s),1,20000
mg4,load_3025,3-phase relay(s),1,20000
mg4,load_3026,3-phase relay(s),1,20000
mg4,load_3027,3-phase relay(s),1,20000
mg4,load_3028,3-phase relay(s),1,20000
mg4,load_3029,3-phase relay(s),1,20000
mg4,load_3041,3-phase relay(s),1,20000
mg4,load_3042,3-phase relay(s),1,20000
mg4,load_3043,3-phase relay(s),1,20000
mg4,load_3044,3-phase relay(s),1,20000
mg4,load_3045,3-phase relay(s),1,20000
mg4,load_3056,3-phase relay(s),1,20000
mg4,load_3057,3-phase relay(s),1,20000
mg4,load_3058,3-phase relay(s),1,20000
mg4,load_3059,3-phase relay(s),1,20000
mg4,load_3060,3-phase relay(s),1,20000
mg4,load_3061,3-phase relay(s),1,20000
mg4,load_3062,3-phase relay(s),1,20000
mg4,load_3063,3-phase relay(s),1,20000
mg4,load_3064,3-phase relay(s),1,20000
mg4,load_3065,3-phase relay(s),1,20000
mg4,load_3066,3-phase relay(s),1,20000
mg4,load_3067,3-phase relay(s),1,20000
mg4,load_3083,3-phase relay(s),1,20000
mg4,load_3084,3-phase relay(s),1,20000
mg4,load_3085,3-phase relay(s),1,20000
mg4,load_3086,3-phase relay(s),1,20000
mg4,load_3087,3-phase relay(s),1,20000
mg4,load_3088,3-phase relay(s),1,20000
mg4,load_3089,3-phase relay(s),1,20000
mg4,load_3090,3-phase relay(s),1,20000
mg4,load_3091,3-phase relay(s),1,20000
mg4,load_3093,3-phase relay(s),1,20000
mg4,load_3094,3-phase relay(s),1,20000
mg4,load_3095,3-phase relay(s),1,20000
mg4,load_3096,3-phase relay(s),1,20000
mg4,load_3097,3-phase relay(s),1,20000
mg4,load_3098,3-phase relay(s),1,20000
mg4,load_3099,3-phase relay(s),1,20000
mg4,load_3101,3-phase relay(s),1,20000
mg4,load_3102,3-phase relay(s),1,20000
mg4,load_3103,3-phase relay(s),1,20000
mg4,load_3104,3-phase relay(s),1,20000
mg4,load_3105,3-phase relay(s),1,20000
mg4,load_3106,3-phase relay(s),1,20000
mg4,load_3108,3-phase relay(s),1,20000
mg4,load_3109,3-phase relay(s),1,20000
mg4,load_3110,3-phase relay(s),1,20000
mg4,load_3111,3-phase relay(s),1,20000
mg4,load_3112,3-phase relay(s),1,20000
mg4,load_3114,3-phase relay(s),1,20000
mg4,load_3115,3-phase relay(s),1,20000
mg4,load_3116,3-phase relay(s),1,20000
mg4,load_3117,3-phase relay(s),1,20000
mg4,load_3120,3-phase relay(s),1,20000
mg4,load_3121,3-phase relay(s),1,20000
mg4,load_3122,3-phase relay(s),1,20000
mg4,load_3123,3-phase relay(s),1,20000
mg4,load_3124,3-phase relay(s),1,20000
mg4,load_3125,3-phase relay(s),1,20000
mg4,load_3126,3-phase relay(s),1,20000
mg4,load_3127,3-phase relay(s),1,20000
mg4,load_3128,3-phase relay(s),1,20000
mg4,load_3129,3-phase relay(s),1,20000
mg4,load_3130,3-phase relay(s),1,20000
mg4,load_3131,3-phase relay(s),1,20000
mg4,load_3132,3-phase relay(s),1,20000
mg4,load_3134,3-phase relay(s),1,20000
mg4,load_3135,3-phase relay(s),1,20000
mg4,load_3136,3-phase relay(s),1,20000
mg4,load_3137,3-phase relay(s),1,20000
mg4,load_3138,3-phase relay(s),1,20000
mg4,load_3139,3-phase relay(s),1,20000
mg4,load_3141,3-phase relay(s),1,20000
mg4,load_3142,3-phase relay(s),1,20000
mg4,load_3143,3-phase relay(s),1,20000
mg4,load_3144,3-phase relay(s),1,20000
mg4,load_3145,3-phase relay(s),1,20000
mg4,load_3146,3-phase relay(s),1,20000
mg4,load_3147,3-phase relay(s),1,20000
mg4,load_3148,3-phase relay(s),1,20000
mg4,load_3149,3-phase relay(s),1,20000
mg4,load_3150,3-phase relay(s),1,20000
mg4,load_3151,3-phase relay(s),1,20000
mg4,load_3152,3-phase relay(s),1,20000
mg4,load_3153,3-phase relay(s),1,20000
mg4,load_3154,3-phase relay(s),1,20000
mg4,load_3155,3-phase relay(s),1,20000
mg4,load_3157,3-phase relay(s),1,20000
mg4,load_3158,3-phase relay(s),1,20000
mg4,load_3159,3-phase relay(s),1,20000
mg4,load_3160,3-phase relay(s),1,20000
mg4,load_3161,3-phase relay(s),1,20000
mg4,load_3162,3-phase relay(s),1,20000
mg4,load_3006,3-phase relay(s),1,20000
mg4,load_3007,3-phase relay(s),1,20000
mg4,load_3031,3-phase relay(s),1,20000
mg4,load_3032,3-phase relay(s),1,20000
mg4,load_3033,3-phase relay(s),1,20000
mg4,load_3034,3-phase relay(s),1,20000
mg4,load_3035,3-phase relay(s),1,20000
mg4,load_3036,3-phase relay(s),1,20000
mg4,load_3037,3-phase relay(s),1,20000
mg4,load_3038,3-phase relay(s),1,20000
mg4,load_3039,3-phase relay(s),1,20000
mg4,load_3047,3-phase relay(s),1,20000
mg4,load_3048,3-phase relay(s),1,20000
mg4,load_3049,3-phase relay(s),1,20000
mg4,load_3050,3-phase relay(s),1,20000
mg4,load_3051,3-phase relay(s),1,20000
mg4,load_3052,3-phase relay(s),1,20000
mg4,load_3054,3-phase relay(s),1,20000
mg4,load_3070,3-phase relay(s),1,20000
mg4,load_3071,3-phase relay(s),1,20000
mg4,load_3072,3-phase relay(s),1,20000
mg4,load_3073,3-phase relay(s),1,20000
mg4,load_3074,3-phase relay(s),1,20000
mg4,load_3077,3-phase relay(s),1,20000
mg4,load_3078,3-phase relay(s),1,20000
mg4,load_3081,3-phase relay(s),1,20000
