solar_ref_shape,wind_ref_shape
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.022707966291878594,1.0
0.028455578322511794,1.0
0.07905388014335005,1.0
0.22086115479298113,1.0
0.23254479311876494,1.0
0.388862478326428,1.0
0.3108450162040455,1.0
0.18411367403824216,1.0
0.042495092785372175,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.03231876857572745,1.0
0.0038631902532156523,1.0
0.13379813318030187,1.0
0.030245932533792517,1.0
0.08310548466108307,1.0
0.23857516611229607,1.0
0.24875121118969706,1.0
0.16818973779796423,1.0
0.023838731011226615,1.0
0.0,0.662
0.0,0.883
0.0,0.505
0.0,0.383
0.0,0.297
0.0,0.145
0.0,0.055
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.073
0.0,0.109
0.0,0.211
0.0,0.355
0.0,0.547
0.028173096491857584,0.668
0.18590402824952287,0.712
0.139828506173833,0.703
0.26052947534610515,0.72
0.14284369267059857,0.795
0.04240074608699161,0.953
0.07161026059981666,0.935
0.04767746202245323,0.763
0.004993954972563672,0.493
0.0,0.59
0.0,0.584
0.0,0.539
0.0,0.403
0.0,0.585
0.0,0.872
0.0,0.971
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.013379924970927678,1.0
0.0348627798450777,0.974
0.08235182760301354,0.427
0.1321961932335385,0.371
0.0848958388723638,0.33
0.13879208815286553,0.211
0.18543285302210757,0.15
0.06199945831596782,0.116
0.008668730961261943,0.275
0.0,0.483
0.0,0.777
0.0,0.751
0.0,0.819
0.0,0.794
0.0,0.704
0.0,0.605
0.0,0.761
0.0,0.958
0.0,0.954
0.0,0.905
0.0,0.86
0.0,0.962
0.0,0.959
0.0,0.423
0.10967664120617732,0.515
0.28672352422992087,0.471
0.42900197410696733,0.329
0.5113535225777371,0.193
0.5305754062776786,0.087
0.4889283172487565,0.206
0.3875432993425626,0.204
0.22839884190265133,0.175
0.05474425303695183,0.26
0.0,0.422
0.0,0.883
0.0,0.574
0.0,0.241
0.0,0.171
0.0,0.264
0.0,0.254
0.0,0.272
0.0,0.3
0.0,0.263
0.0,0.159
0.0,0.145
0.0,0.113
0.0,0.272
0.0,0.644
0.11570701419970846,0.73
0.2952979084928023,0.684
