hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,119.08200000000001,,0.0,20.2518,119.08,20.2518,-60.9199,2512.61,monload-611_runway,,,,,,,,2.4,,,1.0469208333333333
2,0.0,,113.53299999999999,,0.0,21.49,113.527,21.49,-66.4727,2317.79,monload-611_runway,,,,,,,,2.4,,,0.9657458333333333
3,0.0,,113.56,,0.0,18.735,113.55799999999999,18.735,-66.4422,2318.86,monload-611_runway,,,,,,,,2.4,,,0.9661916666666667
4,0.0,,113.565,,0.0,18.1696,113.565,18.1696,-66.4354,2319.08,monload-611_runway,,,,,,,,2.4,,,0.9662833333333333
5,0.0,,113.32600000000001,,0.0,18.3433,113.32799999999999,18.3433,-66.6723,2309.19,monload-611_runway,,,,,,,,2.4,,,0.9621625
6,0.0,,113.18,,0.0,19.8621,113.181,19.8621,-66.8193,2302.94,monload-611_runway,,,,,,,,2.4,,,0.9595583333333334
7,0.0,,112.331,,0.0,29.8483,112.329,29.8483,-67.6715,2281.99,monload-611_runway,,,,,,,,2.4,,,0.9508291666666666
8,0.0,,112.459,,0.0,31.8618,112.45700000000001,31.8618,-67.5427,2287.39,monload-611_runway,,,,,,,,2.4,,,0.9530791666666666
9,0.0,,112.23899999999999,,0.0,44.0147,112.241,44.0147,-67.7595,2279.35,monload-611_runway,,,,,,,,2.4,,,0.9497291666666666
10,0.0,,108.947,,0.0,35.5856,108.947,35.5856,-71.0531,2152.61,monload-611_runway,,,,,,,,2.4,,,0.8969208333333334
11,0.0,,109.47,,0.0,25.4461,109.45,25.4461,-70.5497,2177.04,monload-611_runway,,,,,,,,2.4,,,0.9071
12,0.0,,111.77799999999999,,0.0,25.0426,111.775,25.0426,-68.2248,2285.1,monload-611_runway,,,,,,,,2.4,,,0.952125
13,0.0,,113.556,,0.0,24.9564,113.561,24.9564,-66.4394,2350.11,monload-611_runway,,,,,,,,2.4,,,0.9792125
14,0.0,,114.961,,0.0,24.9959,114.964,24.9959,-65.0356,2395.75,monload-611_runway,,,,,,,,2.4,,,0.9982291666666666
15,0.0,,116.17200000000001,,0.0,24.9268,116.175,24.9268,-63.8248,2431.2,monload-611_runway,,,,,,,,2.4,,,1.013
16,0.0,,116.427,,0.0,24.7866,116.42399999999999,24.7866,-63.5758,2441.65,monload-611_runway,,,,,,,,2.4,,,1.0173541666666668
17,0.0,,114.265,,0.0,25.989,114.266,25.989,-65.7341,2351.4,monload-611_runway,,,,,,,,2.4,,,0.97975
18,0.0,,117.773,,0.0,31.4301,117.773,31.4301,-62.2271,2495.58,monload-611_runway,,,,,,,,2.4,,,1.039825
19,0.0,,117.314,,0.0,43.1551,117.31700000000001,43.1551,-62.6829,2477.83,monload-611_runway,,,,,,,,2.4,,,1.0324291666666667
20,0.0,,111.961,,0.0,45.012,111.964,45.012,-68.0364,2265.99,monload-611_runway,,,,,,,,2.4,,,0.9441624999999999
21,0.0,,112.11399999999999,,0.0,47.6423,112.11399999999999,47.6423,-67.8861,2272.48,monload-611_runway,,,,,,,,2.4,,,0.9468666666666666
