hour,671_hospital,634a_supermarket,634b_supermarket,634c_supermarket,645_warehouse1,646_med_office,692_warehouse2,675a_residential1,675b_residential1,675c_residential1,611_hotel,652_med_apartment,670a_residential2,670b_residential2,670c_residential2
1,295.858,38.75033333,38.75033333,12.91677778,33.699,32.68833333,33.699,72.29959408,10.84493911,43.37975645,103.528,30.39925,3.614979704,14.45991882,28.91983763
2,299.385,40.77533333,40.77533333,13.59177778,32.89233333,32.68833333,32.89233333,66.12555586,9.918833379,39.67533352,109.858,27.8033,3.306277793,13.22511117,26.45022234
3,303.155,41.39233333,41.39233333,13.79744444,32.89233333,32.68833333,32.89233333,64.81116914,9.721675371,38.88670148,95.774,27.25065,3.240558457,12.96223383,25.92446766
4,304.067,41.63933333,41.63933333,13.87977778,32.89233333,32.68833333,32.89233333,64.35405319,9.653107979,38.61243191,92.884,27.05845,3.21770266,12.87081064,25.74162128
5,319.019,44.28733333,44.28733333,14.76244444,32.89233333,32.68833333,32.89233333,72.21754153,10.83263123,43.33052492,93.772,30.36475,3.610877077,14.44350831,28.88701661
6,317.358,43.979,43.979,14.65966667,32.89233333,32.68833333,32.89233333,88.93794865,13.3406923,53.36276919,101.536,37.39505,4.446897433,17.78758973,35.57517946
7,362.262,56.34933333,56.34933333,18.78311111,32.89233333,32.68833333,32.89233333,108.2208926,16.23313389,64.93253556,152.586,45.5028,5.41104463,21.64417852,43.28835704
8,364.899,57.20066667,57.20066667,19.06688889,13.1,19.958,13.1,98.40336439,14.76050466,59.04201863,162.879,41.3749,4.92016822,19.68067288,39.36134576
9,398.759,66.98266667,66.98266667,22.32755556,9.141666667,17.412,9.141666667,87.0700045,13.06050068,52.2420027,225.067,36.60965,4.353500225,17.4140009,34.8280018
10,394.702,60.36066667,60.36066667,20.12022222,9.141666667,17.412,9.141666667,77.052934,11.5579401,46.2317604,193.316,32.39785,3.8526467,15.4105868,30.8211736
11,398.166,74.88233333,74.88233333,24.96077778,9.141666667,17.412,9.141666667,66.06907041,9.910360562,39.64144225,136.596,27.77955,3.303453521,13.21381408,26.42762816
12,399.737,82.516,82.516,27.50533333,9.141666667,17.412,9.141666667,66.42796113,9.96419417,39.85677668,128.019,27.93045,3.321398057,13.28559223,26.57118445
13,397.489,91.092,91.092,30.364,9.141666667,17.412,9.141666667,65.88165763,9.882248645,39.52899458,127.578,27.70075,3.294082882,13.17633153,26.35266305
14,393.483,91.171,91.171,30.39033333,9.141666667,17.412,9.141666667,64.24857404,9.637286106,38.54914442,127.78,27.0141,3.212428702,12.84971481,25.69942962
15,394.605,89.21133333,89.21133333,29.73711111,9.141666667,17.412,9.141666667,63.68776269,9.553164404,38.21265761,127.427,26.7783,3.184388135,12.73755254,25.47510508
16,394.888,87.90033333,87.90033333,29.30011111,9.141666667,17.412,9.141666667,68.63113157,10.29466974,41.17867894,126.71,28.8568,3.431556579,13.72622631,27.45245263
17,383.201,87.32866667,87.32866667,29.10955556,9.141666667,17.412,9.141666667,96.05142911,14.40771437,57.63085747,132.857,40.386,4.802571456,19.21028582,38.42057164
18,361.753,76.733,76.733,25.57766667,21.017,25.05,21.017,134.418845,20.16282675,80.651307,160.672,56.51805,6.72094225,26.883769,53.767538
19,342.832,76.78866667,76.78866667,25.59622222,32.89233333,32.68833333,32.89233333,155.1038173,23.2655726,93.06229038,220.611,65.2153,7.755190865,31.02076346,62.04152692
20,340.133,72.11733333,72.11733333,24.03911111,32.89233333,32.68833333,32.89233333,151.4913646,22.72370469,90.89481876,231.593,63.6964,7.57456823,30.29827292,60.59654584
21,321.454,67.32133333,67.32133333,22.44044444,32.89233333,32.68833333,32.89233333,149.9536522,22.49304783,89.97219132,244.4,63.04985,7.49768261,29.99073044,59.98146088
22,319.48,59.303,59.303,19.76766667,32.92833333,32.68833333,32.92833333,130.8339809,19.62509714,78.50038854,237.426,55.01075,6.541699045,26.16679618,52.33359236
23,303.584,38.05366667,38.05366667,12.68455556,34.41233333,32.68833333,34.41233333,108.1551316,16.22326974,64.89307896,182.486,45.47515,5.40775658,21.63102632,43.26205264
24,303.782,47.79033333,47.79033333,15.93011111,35.19066667,32.68833333,35.19066667,89.50078158,13.42511724,53.70046895,117.128,37.6317,4.475039079,17.90015632,35.80031263
25,306.104,39.54133333,39.54133333,13.18044444,35.64466667,37.28666667,35.64466667,78.4360546,11.76540819,47.06163276,95.425,32.9794,3.92180273,15.68721092,31.37442184
26,306.512,35.994,35.994,11.998,36.33933333,37.28666667,36.33933333,78.38896358,11.75834454,47.03337815,91.247,32.9596,3.919448179,15.67779272,31.35558543
27,305.739,34.82533333,34.82533333,11.60844444,36.70766667,37.28666667,36.70766667,79.37216718,11.90582508,47.62330031,86.528,33.373,3.968608359,15.87443344,31.74886687
28,304.429,34.137,34.137,11.379,37.33633333,37.28666667,37.33633333,80.24489713,12.03673457,48.14693828,86.964,33.73995,4.012244857,16.04897943,32.09795885
29,370.234,35.96566667,35.96566667,11.98855556,37.45333333,37.28666667,37.45333333,89.24784567,13.38717685,53.5487074,90.382,37.52535,4.462392284,17.84956913,35.69913827
30,378.142,35.64,35.64,11.88,38.26966667,49.99733333,38.26966667,107.430453,16.11456795,64.4582718,108.682,45.17045,5.37152265,21.4860906,42.9721812
31,511.652,52.33666667,52.33666667,17.44555556,43.28366667,196.3446667,43.28366667,127.5883864,19.13825796,76.55303184,169.622,53.6461,6.37941932,25.51767728,51.03535456
32,582.335,50.23733333,50.23733333,16.74577778,53.109,162.3616667,53.109,117.1943498,17.57915247,70.31660988,178.169,49.2758,5.85971749,23.43886996,46.87773992
33,595.037,78.255,78.255,26.085,76.57566667,189.6276667,76.57566667,109.685709,16.45285635,65.8114254,157.326,46.1187,5.48428545,21.9371418,43.8742836
34,615.612,92.83466667,92.83466667,30.94488889,92.66633333,162.8176667,92.66633333,94.14448027,14.12167204,56.48668816,158.973,39.5842,4.707224014,18.82889605,37.65779211
35,628.089,90.702,90.702,30.234,92.66633333,156.9556667,92.66633333,80.98229984,12.14734498,48.5893799,128.491,34.05,4.049114992,16.19645997,32.39291994
36,643.392,101.3136667,101.3136667,33.77122222,92.66633333,159.0623333,92.66633333,83.56659843,12.53498976,50.13995906,132.937,35.1366,4.178329922,16.71331969,33.42663937
37,633.345,96.822,96.822,32.274,83.52466667,160.902,83.52466667,81.78225275,12.26733791,49.06935165,135.017,34.38635,4.089112638,16.35645055,32.7129011
38,649.39,96.68566667,96.68566667,32.22855556,92.66633333,156,92.66633333,76.82104636,11.52315695,46.09262782,129.719,32.30035,3.841052318,15.36420927,30.72841854
39,649.337,95.62266667,95.62266667,31.87422222,92.66633333,152.356,92.66633333,74.51727236,11.17759085,44.71036342,125.287,31.3317,3.725863618,14.90345447,29.80690894
40,650.045,94.68333333,94.68333333,31.56111111,92.66633333,150.8983333,92.66633333,79.49893242,11.92483986,47.69935945,126.513,33.4263,3.974946621,15.89978648,31.79957297
41,648.305,94.546,94.546,31.51533333,92.66633333,154.0256667,92.66633333,106.9081707,16.03622561,64.14490242,132.241,44.95085,5.345408535,21.38163414,42.76326828
42,652.309,96.82333333,96.82333333,32.27444444,41.493,154.4816667,41.493,135.4354642,20.31531963,81.26127852,161.864,56.9455,6.77177321,27.08709284,54.17418568
43,504.729,93.94,93.94,31.31333333,33.608,135.054,33.608,156.1236472,23.41854708,93.67418832,198.34,65.6441,7.80618236,31.22472944,62.44945888
44,501.713,89.15333333,89.15333333,29.71777778,34.35966667,137.3006667,34.35966667,153.9679246,23.09518869,92.38075476,210.504,64.7377,7.69839623,30.79358492,61.58716984
45,419.618,77.76266667,77.76266667,25.92088889,35.24066667,126.791,35.24066667,154.2832918,23.14249377,92.56997508,230.671,64.8703,7.71416459,30.85665836,61.71331672
46,398.158,53.307,53.307,17.769,35.69533333,129.4656667,35.69533333,135.9626221,20.39439332,81.57757326,216.251,57.16715,6.798131105,27.19252442,54.38504884
47,340.564,33.44066667,33.44066667,11.14688889,36.59266667,40.896,36.59266667,113.2184875,16.98277313,67.9310925,157.705,47.6041,5.660924375,22.6436975,45.287395
48,338.842,43.99266667,43.99266667,14.66422222,37.15433333,37.28666667,37.15433333,95.10342486,14.26551373,57.06205492,108.118,39.9874,4.755171243,19.02068497,38.04136994
49,336.09,34.577,34.577,11.52566667,38.04533333,37.28666667,38.04533333,84.48463566,12.67269535,50.6907814,96.588,35.5226,4.224231783,16.89692713,33.79385426
50,332.584,32.15933333,32.15933333,10.71977778,38.09233333,37.28666667,38.09233333,84.9793293,12.7468994,50.98759758,94.034,35.7306,4.248966465,16.99586586,33.99173172
51,326.996,32.001,32.001,10.667,39.23366667,37.28666667,39.23366667,86.29597544,12.94439632,51.77758526,91.441,36.2842,4.314798772,17.25919509,34.51839018
52,325.819,31.875,31.875,10.625,38.716,43.92933333,38.716,87.55007138,13.13251071,52.53004283,94.258,36.8115,4.377503569,17.51001428,35.02002855
53,391.356,38.86133333,38.86133333,12.95377778,39.94666667,47.07133333,39.94666667,96.87147895,14.53072184,58.12288737,100.502,40.7308,4.843573948,19.37429579,38.74859158
54,400.47,38.64966667,38.64966667,12.88322222,39.02166667,50.71566667,39.02166667,115.432955,17.31494325,69.259773,122.576,48.5352,5.77164775,23.086591,46.173182
55,531.234,55.60566667,55.60566667,18.53522222,43.28366667,196.4856667,43.28366667,137.2105344,20.58158016,82.32632064,182.593,57.69185,6.86052672,27.44210688,54.88421376
56,604.614,50.76033333,50.76033333,16.92011111,53.05533333,155.5346667,53.05533333,123.9909171,18.59863757,74.39455026,183.922,52.1335,6.199545855,24.79818342,49.59636684
57,615.554,76.18666667,76.18666667,25.39555556,76.57566667,177.167,76.57566667,111.492411,16.72386165,66.8954466,161.323,46.87835,5.57462055,22.2984822,44.5969644
58,631.658,89.791,89.791,29.93033333,92.66633333,159.9416667,92.66633333,96.18449694,14.42767454,57.71069816,159.768,40.44195,4.809224847,19.23689939,38.47379878
