Hour,Load (kW)
1,90.558
2,83.372
3,89.729
4,82.541
5,88.699
6,82.126
7,88.846
8,67.591
9,45.183
10,38.45
11,45.254
12,38.658
13,45.545
14,38.535
15,44.962
16,38.237
17,45.203
18,60.533
19,89.7
20,83.284
21,91.782
22,85.14
23,93.459
24,86.213
25,94.657
26,87.043
27,95.845
28,88.558
29,97.127
30,88.889
31,110.544
32,149.872
33,170.879
34,200.041
35,200.041
36,200.041
37,183.473
38,198.858
39,199.053
40,199.053
41,199.053
42,86.973
43,72.109
44,79.149
45,76.756
46,83.615
47,78.936
48,85.012
49,79.304
50,85.889
51,80.625
52,86.991
53,80.972
54,86.654
55,110.544
56,149.872
57,170.879
58,198.974
59,198.907
60,199.053
61,182.486
62,199.053
63,199.053
64,199.053
65,199.053
66,79.093
67,66.863
68,68.021
69,70.218
70,71.726
71,73.04
72,72.425
73,74.094
74,73.108
75,73.938
76,72.177
77,72.818
78,72.81
79,109.556
80,148.885
81,169.892
82,199.053
83,199.053
84,199.053
85,182.486
86,199.053
87,199.053
88,199.053
89,199.053
90,86.319
91,70.778
92,75.826
93,72.782
94,77.898
95,74.367
96,80.132
97,75.465
98,81.658
99,78.845
100,85.748
101,80.499
102,86.959
103,110.544
104,149.872
105,170.879
106,199.614
107,198.956
108,199.053
109,182.486
110,199.053
111,199.053
112,199.053
113,199.053
114,79.955
115,68.604
116,70.074
117,72.63
118,72.668
119,73.879
120,72.418
121,73.328
122,72.615
123,74.109
124,73.095
125,74.401
126,73.59
127,109.556
128,148.885
129,169.892
130,199.053
131,199.053
132,199.053
133,182.486
134,199.053
135,199.053
136,199.053
137,199.053
138,83.294
139,67.608
140,70.502
141,68.143
142,70.51
143,67.814
144,70.269
145,67.397
146,69.056
147,66.861
148,69.001
149,67.16
150,69.759
151,67.771
152,95.208
153,70.486
154,96.065
155,96.065
156,96.065
157,66.512
158,66.512
159,66.512
160,66.512
161,24.051
162,45.643
163,71.165
164,69.267
165,73.151
166,70.497
167,74.638
168,71.478
169,75.758
170,72.049
171,75.899
172,71.595
173,74.882
174,70.682
175,73.627
176,55.566
177,30.107
178,26.919
179,30.568
180,27.402
181,31.308
182,27.75
183,31.402
184,28.022
185,32.077
186,42.981
187,76.276
188,72.833
189,77.792
190,73.773
191,78.368
192,73.961
193,78.53
194,74.033
195,78.931
196,74.883
197,80.051
198,75.104
199,109.556
200,148.885
201,169.892
202,199.053
203,199.053
204,199.053
205,182.486
206,199.053
207,199.053
208,199.053
209,199.053
210,74.366
211,67.615
212,73.304
213,72.628
214,78.813
215,75.629
216,81.88
217,79.963
218,87.297
219,82.669
220,89.26
221,84.151
222,91.187
223,110.544
224,149.872
225,170.879
226,200.041
227,200.041
228,200.041
229,183.473
230,198.761
231,198.956
232,199.053
233,199.053
234,84.472
235,76.963
236,84.516
237,81.033
238,88.126
239,83.252
240,89.264
241,83.381
242,90.169
243,84.764
244,92.185
245,86.767
246,93.912
247,110.544
248,149.872
249,170.879
250,200.041
251,200.041
252,199.614
253,182.291
254,199.053
255,199.053
256,199.053
257,199.053
258,82.532
259,73.691
260,80.454
261,79.62
262,86.15
263,81.311
264,87.432
265,82.031
266,87.784
267,82.249
268,87.849
269,82.299
270,87.588
271,110.544
272,149.872
273,170.879
274,200.041
275,200.041
276,200.041
277,183.473
278,200.041
279,200.041
280,200.041
281,200.041
282,87.47
283,77.298
284,82.64
285,77.7
286,83.06
287,79.06
288,85.822
289,81.585
290,88.805
291,83.536
292,90.765
293,85.065
294,92.507
295,110.544
296,149.872
297,170.879
298,200.041
299,200.041
300,200.041
301,183.473
302,200.041
303,200.041
304,200.041
305,200.041
306,99.334
307,88.492
308,97.295
309,90.218
310,98.352
311,91.235
312,98.916
313,91.665
314,99.116
315,91.976
316,99.264
317,92.216
318,99.373
319,92.624
320,96.196
321,71.473
322,97.052
323,97.052
324,97.052
325,67.5
326,67.5
327,67.5
328,67.5
329,38.401
330,51.249
331,88.645
332,84.302
333,92.277
334,86.669
335,95.044
336,88.727
337,96.642
338,89.739
339,97.936
340,90.884
341,98.744
342,91.751
343,99.446
344,78.668
345,56.321
346,46.136
347,48.661
348,38.303
349,40.083
350,32.876
351,34.297
352,29.56
353,33.454
354,45.448
355,81.873
356,79.904
357,86.755
358,81.839
359,88.701
360,83.53
361,90.892
362,85.262
363,92.795
364,86.285
365,93.362
366,86.28
367,93.017
368,72.158
369,48.698
370,40.095
371,43.563
372,35.794
373,39.31
374,34.154
375,38.042
376,33.617
377,38.618
378,49.902
379,86.041
380,81.713
381,87.767
382,81.984
383,88.151
384,82.133
385,87.69
386,81.982
387,87.792
388,81.815
389,87.208
390,81.5
391,110.544
392,149.872
393,170.879
394,200.041
395,200.041
396,200.041
397,183.473
398,199.188
399,198.761
400,198.761
401,198.761
402,87.098
403,76.757
404,81.877
405,77.329
406,82.297
407,78.274
408,84.407
409,79.572
410,84.974
411,79.553
412,84.824
413,79.63
414,85.193
415,110.544
416,149.872
417,170.879
418,200.041
419,200.041
420,198.974
421,182.486
422,199.053
423,199.053
424,199.053
425,199.053
426,74.123
427,67.462
428,73.049
429,71.49
430,76.577
431,74.625
432,80.973
433,77.53
434,83.616
435,79.285
436,85.236
437,80.646
438,86.037
439,110.544
440,149.872
441,170.879
442,199.188
443,198.956
444,199.053
445,182.486
446,199.053
447,199.053
448,199.053
449,199.053
450,64.638
451,65.619
452,66.786
453,68.715
454,68.461
455,69.576
456,69.26
457,70.971
458,70.718
459,71.981
460,70.689
461,71.509
462,69.427
463,109.556
464,148.885
465,169.892
466,199.053
467,199.053
468,199.053
469,182.486
470,199.053
471,199.053
472,199.053
473,199.053
474,67.999
475,68.241
476,74.13
477,73.659
478,80.249
479,76.849
480,82.572
481,79.081
482,86.315
483,81.462
484,87.67
485,83.236
486,89.974
487,84.031
488,96.196
489,71.473
490,96.839
491,95.919
492,96.065
493,66.512
494,66.512
495,66.512
496,66.512
497,16.568
498,25.218
499,63.988
500,68.344
501,66.885
502,70.754
503,69.037
504,74.326
505,71.875
506,76.988
507,73.631
508,79.331
509,75.177
510,82.533
511,78.875
512,71.601
513,34.754
514,33.481
515,24.763
516,23.395
517,18.881
518,16.568
519,16.568
520,16.568
521,16.568
522,23.742
523,62.233
524,66.101
525,65.758
526,68.226
527,67.105
528,70.581
529,69.203
530,72.854
531,69.679
532,72.351
533,69.809
534,73.048
535,109.556
536,148.885
537,169.892
538,199.053
539,199.053
540,199.053
541,182.486
542,199.053
543,199.053
544,199.053
545,199.053
546,60.851
547,59.612
548,59.612
549,63.037
550,63.759
551,66.449
552,66.279
553,70.271
554,68.273
555,70.882
556,68.014
557,70.105
558,67.492
559,109.556
560,148.885
561,169.892
562,199.053
563,199.053
564,199.053
565,182.486
566,199.053
567,199.053
568,199.053
569,199.053
570,60.851
571,59.612
572,59.612
573,59.612
574,59.612
575,59.612
576,59.612
577,59.612
578,59.612
579,60.965
580,61.463
581,65.128
582,66.795
583,109.556
584,148.885
585,169.892
586,199.053
587,199.053
588,199.053
589,182.486
590,199.053
591,199.053
592,199.053
593,199.053
594,72.941
595,72.518
596,78.91
597,75.139
598,80.688
599,76.061
600,81.878
601,77.815
602,85.342
603,79.801
604,85.914
605,79.902
606,85.921
607,110.544
608,149.872
609,170.879
610,198.974
611,199.053
612,199.053
613,182.486
614,199.053
615,199.053
616,199.053
617,199.053
618,61.615
619,64.496
620,66.351
621,68.9
622,70.363
623,72.629
624,72.477
625,73.526
626,73.465
627,75.619
628,75.984
629,78.399
630,77.035
631,109.556
632,148.885
633,169.892
634,199.053
635,199.053
636,199.053
637,182.486
638,199.053
639,199.053
640,199.053
641,199.053
642,67.532
643,67.344
644,71.977
645,70.825
646,75.714
647,73.747
648,79.046
649,75.214
650,80.768
651,77.199
652,83.717
653,79.51
654,84.469
655,80.111
656,96.196
657,71.473
658,97.052
659,96.839
660,95.772
661,66.512
662,66.512
663,66.512
664,66.512
665,29.127
666,36.356
667,79.349
668,77.777
669,85.602
670,81.854
671,89.026
672,84.023
673,91.11
674,85.682
675,92.398
676,86.028
677,92.94
678,87.005
679,94.079
680,73.23
681,50.038
682,40.969
683,42.704
684,34.903
685,36.015
686,29.261
687,30.675
688,26.403
689,29.368
690,27.863
691,76.24
692,74.453
693,80.215
694,77.125
695,84.276
696,80.973
697,87.065
698,81.916
699,88.925
700,83.601
701,89.544
702,84.206
703,110.544
704,149.872
705,170.879
706,200.041
707,198.858
708,199.053
709,182.486
710,199.053
711,199.053
712,199.053
713,199.053
714,58.561
715,66.493
716,72.498
717,70.857
718,74.87
719,71.764
720,75.966
721,72.457
722,78.033
723,73.918
724,78.547
725,74.37
726,79.108
727,109.556
728,141.711
729,169.892
730,199.053
731,199.053
732,199.053
733,182.486
734,199.053
735,199.053
736,199.053
737,199.053
738,64.704
739,70.469
740,75.533
741,73.296
742,79.307
743,75.463
744,82.097
745,79.546
746,87.93
747,83.248
748,92.287
749,86.643
750,96.281
751,110.544
752,142.698
753,170.879
754,200.041
755,200.041
756,200.041
757,183.473
