Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4, Node5, Magnitude5, Angle5, pu5, Node6, Magnitude6, Angle6, pu6
"EQ_SOURCE_BUS", 115, 1,    39604.6,   -0.3,    0.5965, 2,    39630.9, -120.3,   0.59689, 3,    39620.1,  119.6,   0.59673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1001", 12.47, 1,    8124.46,  -31.6,    1.1285, 2,    8138.06, -151.4,    1.1304, 3,     8138.1,   88.5,    1.1304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1002", 12.47, 1,    8120.35,  -31.6,    1.1279, 2,    8133.56, -151.4,    1.1297, 3,    8134.06,   88.5,    1.1298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1003", 12.47, 1,    8120.19,  -31.6,    1.1279, 2,    8133.41, -151.4,    1.1297, 3,    8133.91,   88.5,    1.1298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1004", 12.47, 1,    8119.65,  -31.6,    1.1278, 2,    8132.65, -151.4,    1.1296, 3,    8133.35,   88.5,    1.1297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1005", 12.47, 1,    8119.27,  -31.6,    1.1277, 2,    8132.13, -151.4,    1.1295, 3,    8132.96,   88.5,    1.1296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1006", 12.47, 1,    8118.33,  -31.6,    1.1276, 2,    8130.85, -151.4,    1.1294, 3,       8132,   88.5,    1.1295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1007", 12.47, 1,     8118.2,  -31.6,    1.1276, 2,    8130.57, -151.4,    1.1293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1008", 12.47, 1,    8117.99,  -31.6,    1.1276, 2,    8130.44, -151.4,    1.1293, 3,    8131.59,   88.5,    1.1295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1009", 12.47, 1,    8117.45,  -31.6,    1.1275, 2,    8129.74, -151.4,    1.1292, 3,    8130.86,   88.5,    1.1294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1010", 12.47, 1,    8117.43,  -31.6,    1.1275, 2,    8129.72, -151.4,    1.1292, 3,    8130.84,   88.5,    1.1294, 4,    8117.43,  -31.6,    1.1275, 5,    8129.72, -151.4,    1.1292, 6,    8130.84,   88.5,    1.1294
"BUS1011", 12.47, 1,    8117.43,  -31.6,    1.1275, 2,    8129.72, -151.4,    1.1292, 3,    8130.83,   88.5,    1.1294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1012", 12.47, 1,    8117.44,  -31.6,    1.1275, 2,    8129.68, -151.4,    1.1292, 3,    8130.79,   88.5,    1.1293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
