ComponentAff,Start,Finish,Duration_min,Meters Affected
684652,2021-5-3 3:39:13,2021-5-3 8:15:00,275.7987371444638,652_residential
671680,2020-7-6 1:40:46,2020-7-6 7:39:16,358.51458111035066,
684652,2018-9-23 11:47:21,2018-9-23 11:49:50,2.497017706770304,652_residential
650632,2017-8-17 5:26:19,2017-8-17 7:38:03,131.74597243803882,684_command_center 634a_data_center 634b_radar 634c_atc_tower 645_hangar 646_office 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
650632,2018-6-17 14:6:11,2018-6-17 16:48:03,161.88009635027117,684_command_center 634a_data_center 634b_radar 634c_atc_tower 645_hangar 646_office 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
684611,2019-10-22 20:19:30,2019-10-22 21:56:23,96.8895672490122,611_runway
692675,2015-2-2 5:53:17,2015-2-2 7:41:14,107.96459471389844,675a_hospital 675b_residential1 675c_residential1
684611,2018-4-23 16:20:46,2018-4-23 16:23:05,2.317191385584298,611_runway
632633,2020-12-9 13:3:49,2020-12-9 13:13:31,9.704089416852437,634a_data_center 634b_radar 634c_atc_tower
684652,2021-11-10 9:0:11,2021-11-10 9:11:03,10.882280698383527,652_residential
632670,2016-2-17 5:57:9,2016-2-17 6:35:10,38.03019963293346,684_command_center 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
650632,2021-9-26 9:18:56,2021-9-26 12:00:39,161.72303087700013,684_command_center 634a_data_center 634b_radar 634c_atc_tower 645_hangar 646_office 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
684652,2019-8-13 10:19:49,2019-8-13 12:08:49,109.01638627411778,652_residential
645646,2019-5-10 18:4:54,2019-5-11 0:44:03,399.1554735332128,646_office
632633,2015-8-12 2:48:39,2015-8-12 3:39:51,51.211213442056646,634a_data_center 634b_radar 634c_atc_tower
684611,2021-9-5 7:37:29,2021-9-5 8:27:12,49.71840475864835,611_runway
632645,2020-12-12 4:30:32,2020-12-12 7:10:33,160.03273612281163,645_hangar 646_office
632645,2019-3-11 10:57:7,2019-3-11 11:28:01,30.903047940611692,645_hangar 646_office
632633,2021-11-11 21:30:38,2021-11-11 23:14:58,104.3397988800788,634a_data_center 634b_radar 634c_atc_tower
692675,2020-5-25 8:22:13,2020-5-25 9:17:44,55.52183078033737,675a_hospital 675b_residential1 675c_residential1
632645,2018-3-9 20:42:0,2018-3-9 20:54:24,12.411451921651974,645_hangar 646_office
632645,2020-7-22 18:35:49,2020-7-22 22:24:53,229.06906478784018,645_hangar 646_office
671684,2019-12-10 7:24:34,2019-12-10 7:48:59,24.419785715731905,684_command_center 611_runway 652_residential
632670,2021-10-24 14:21:1,2021-10-24 16:41:46,140.7652867901802,684_command_center 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
632633,2020-10-17 14:59:2,2020-10-17 17:45:37,166.5933146802162,634a_data_center 634b_radar 634c_atc_tower
650632,2021-2-14 0:49:29,2021-2-14 1:01:53,12.415525709771865,684_command_center 634a_data_center 634b_radar 634c_atc_tower 645_hangar 646_office 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
645646,2017-2-27 4:17:19,2017-2-27 4:49:41,32.38104773526882,646_office
671680,2016-10-26 4:6:44,2016-10-26 9:37:25,330.69495866707894,
670671,2017-10-23 10:4:49,2017-10-23 15:44:36,339.79957626808005,684_command_center 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential
645646,2020-3-10 0:15:3,2020-3-10 2:49:22,154.32667882316576,646_office
692675,2018-9-24 10:15:16,2018-9-24 11:59:27,104.19752389278696,675a_hospital 675b_residential1 675c_residential1
645646,2018-12-21 15:12:43,2018-12-21 15:23:41,10.97062182940734,646_office
671684,2021-6-12 13:1:44,2021-6-12 14:21:24,79.67294098454744,684_command_center 611_runway 652_residential
684652,2018-1-8 2:31:15,2018-1-8 2:32:42,1.4526744917337264,652_residential
671684,2017-4-5 5:7:55,2017-4-5 5:27:24,19.483670944084807,684_command_center 611_runway 652_residential
