hour,t(sec),P1(kW),Q1(kvar),P2(kW),Q2(kvar),P3(kW),Q3(kvar),P4(kW),Q4(kvar),Name
1,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
2,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
3,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
4,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
5,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
6,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
7,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
8,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
9,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
10,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
11,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
12,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
13,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
14,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
15,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
16,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
17,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
18,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
19,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
20,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
21,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
22,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
23,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
24,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
25,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
26,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
27,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
28,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
29,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
30,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
31,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
32,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
33,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
34,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
35,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
36,0.0,-8.91376,-5.2761000000000005e-05,0.0,0.0,,,,,mongenerator-battery_634
37,0.0,9.19183,5.24741e-05,0.0,0.0,,,,,mongenerator-battery_634
38,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
39,0.0,9.66918,-5.9912e-07,0.0,0.0,,,,,mongenerator-battery_634
40,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
41,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
42,0.0,-8.972719999999999,-7.24993e-05,0.0,0.0,,,,,mongenerator-battery_634
43,0.0,-8.85628,0.00026939900000000003,0.0,0.0,,,,,mongenerator-battery_634
44,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
45,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
46,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
47,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
48,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
49,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
50,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
51,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
52,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
53,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
54,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
55,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
56,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
57,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
58,0.0,9.284130000000001,-8.32703e-05,0.0,0.0,,,,,mongenerator-battery_634
59,0.0,9.60933,-1.63423e-06,0.0,0.0,,,,,mongenerator-battery_634
60,0.0,-9.2678,0.000295602,0.0,0.0,,,,,mongenerator-battery_634
61,0.0,9.294319999999999,-7.34937e-07,0.0,0.0,,,,,mongenerator-battery_634
62,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
63,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
64,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
65,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
66,0.0,-7.39578,-0.000670374,0.0,0.0,,,,,mongenerator-battery_634
67,0.0,-8.04957,-0.000165973,0.0,0.0,,,,,mongenerator-battery_634
68,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
69,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
70,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
71,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
72,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
73,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
74,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
75,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
76,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
77,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
78,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
79,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
80,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
81,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
82,0.0,9.5411,-7.801829999999999e-06,0.0,0.0,,,,,mongenerator-battery_634
83,0.0,10.1905,1.84125e-06,0.0,0.0,,,,,mongenerator-battery_634
84,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
85,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
86,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
87,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
88,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
89,0.0,0.0,0.0,0.0,0.0,,,,,mongenerator-battery_634
90,0.0,-2.9674400000000003,-9.98179e-08,0.0,0.0,,,,,mongenerator-battery_634
