hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3,Name,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,2373.31,114.504,0.0,0.0,,,20.2518,114.504,20.2518,-65.496,,,monload-611_runway,,,,,2.4,0.9888791666666666,0.0,
2,0.0,2373.23,114.5,0.0,0.0,,,21.49,114.501,21.49,-65.4995,,,monload-611_runway,,,,,2.4,0.9888458333333333,0.0,
3,0.0,2374.5,114.535,0.0,0.0,,,18.735,114.535,18.735,-65.4651,,,monload-611_runway,,,,,2.4,0.989375,0.0,
4,0.0,2374.78,114.543,0.0,0.0,,,18.1696,114.543,18.1696,-65.4574,,,monload-611_runway,,,,,2.4,0.9894916666666668,0.0,
5,0.0,2366.83,114.355,0.0,0.0,,,18.3433,114.357,18.3433,-65.6434,,,monload-611_runway,,,,,2.4,0.9861791666666666,0.0,
6,0.0,2360.89,114.211,0.0,0.0,,,19.8621,114.212,19.8621,-65.7875,,,monload-611_runway,,,,,2.4,0.9837041666666666,0.0,
7,0.0,2330.96,113.494,0.0,0.0,,,29.8483,113.494,29.8483,-66.5061,,,monload-611_runway,,,,,2.4,0.9712333333333334,0.0,
8,0.0,2336.19,113.616,0.0,0.0,,,31.8618,113.617,31.8618,-66.3831,,,monload-611_runway,,,,,2.4,0.9734125,0.0,
9,0.0,2322.54,113.276,0.0,0.0,,,44.0268,113.276,44.0268,-66.7236,,,monload-611_runway,,,,,2.4,0.967725,0.0,
10,0.0,2339.33,113.673,0.0,0.0,,,37.8158,113.673,37.8158,-66.3271,,,monload-611_runway,,,,,2.4,0.9747208333333333,0.0,
11,0.0,2354.82,114.057,0.0,0.0,,,26.7204,114.057,26.7204,-65.9429,,,monload-611_runway,,,,,2.4,0.981175,0.0,
12,0.0,2387.03,114.808,0.0,0.0,,,25.0426,114.808,25.0426,-65.1925,,,monload-611_runway,,,,,2.4,0.9945958333333335,0.0,
13,0.0,2351.98,114.001,0.0,0.0,,,24.9564,114.001,24.9564,-65.9994,,,monload-611_runway,,,,,2.4,0.9799916666666667,0.0,
14,0.0,2368.16,114.374,0.0,0.0,,,24.9959,114.374,24.9959,-65.6259,,,monload-611_runway,,,,,2.4,0.9867333333333332,0.0,
15,0.0,2380.46,114.659,0.0,0.0,,,24.9268,114.659,24.9268,-65.3414,,,monload-611_runway,,,,,2.4,0.9918583333333334,0.0,
16,0.0,2381.78,114.688,0.0,0.0,,,24.7866,114.688,24.7866,-65.3124,,,monload-611_runway,,,,,2.4,0.9924083333333334,0.0,
17,0.0,2356.02,114.087,0.0,0.0,,,25.989,114.087,25.989,-65.9131,,,monload-611_runway,,,,,2.4,0.981675,0.0,
18,0.0,2325.6,113.372,0.0,0.0,,,31.4301,113.372,31.4301,-66.6278,,,monload-611_runway,,,,,2.4,0.969,0.0,
19,0.0,2312.12,113.038,0.0,0.0,,,43.1551,113.039,43.1551,-66.9614,,,monload-611_runway,,,,,2.4,0.9633833333333333,0.0,
20,0.0,2312.49,113.043,0.0,0.0,,,45.3034,113.043,45.3034,-66.9575,,,monload-611_runway,,,,,2.4,0.9635374999999999,0.0,
21,0.0,2317.51,113.155,0.0,0.0,,,47.8087,113.155,47.8087,-66.845,,,monload-611_runway,,,,,2.4,0.9656291666666668,0.0,
22,0.0,2325.41,113.339,0.0,0.0,,,46.4444,113.339,46.4444,-66.6608,,,monload-611_runway,,,,,2.4,0.9689208333333332,0.0,
23,0.0,2346.61,113.849,0.0,0.0,,,35.6973,113.849,35.6973,-66.1515,,,monload-611_runway,,,,,2.4,0.9777541666666667,0.0,
24,0.0,2362.5,114.246,0.0,0.0,,,22.9122,114.242,22.9122,-65.7577,,,monload-611_runway,,,,,2.4,0.984375,0.0,
25,0.0,2368.53,114.393,0.0,0.0,,,18.6667,114.391,18.6667,-65.6089,,,monload-611_runway,,,,,2.4,0.9868875,0.0,
26,0.0,2368.9,114.402,0.0,0.0,,,17.8494,114.402,17.8494,-65.5981,,,monload-611_runway,,,,,2.4,0.9870416666666667,0.0,
27,0.0,2369.51,114.418,0.0,0.0,,,16.9263,114.418,16.9263,-65.5824,,,monload-611_runway,,,,,2.4,0.9872958333333334,0.0,
28,0.0,2369.48,114.417,0.0,0.0,,,17.0116,114.417,17.0116,-65.5833,,,monload-611_runway,,,,,2.4,0.9872833333333333,0.0,
29,0.0,2342.94,113.789,0.0,0.0,,,17.6802,113.789,17.6802,-66.2111,,,monload-611_runway,,,,,2.4,0.976225,0.0,
30,0.0,2331.4,113.512,0.0,0.0,,,21.26,113.508,21.26,-66.4922,,,monload-611_runway,,,,,2.4,0.9714166666666667,0.0,
31,0.0,2288.93,112.169,0.0,0.0,,,33.1809,112.169,33.1809,-67.8313,,,monload-611_runway,,,,,2.4,0.9537208333333332,0.0,
32,0.0,2270.81,111.75,0.0,0.0,,,34.7054,111.74,34.7054,-68.2602,,,monload-611_runway,,,,,2.4,0.9461708333333333,0.0,
33,0.0,2268.47,111.719,0.0,0.0,,,30.6105,111.719,30.6105,-68.2811,,,monload-611_runway,,,,,2.4,0.9451958333333332,0.0,
34,0.0,2264.84,111.642,0.0,0.0,,,30.88,111.64,30.88,-68.3596,,,monload-611_runway,,,,,2.4,0.9436833333333334,0.0,
35,0.0,2270.46,111.782,0.0,0.0,,,25.0239,111.777,25.0239,-68.2235,,,monload-611_runway,,,,,2.4,0.946025,0.0,
36,0.0,2260.08,111.543,0.0,0.0,,,25.7652,111.542,25.7652,-68.4585,,,monload-611_runway,,,,,2.4,0.9417,0.0,
37,0.0,2301.94,112.474,0.0,0.0,,,26.4116,112.474,26.4116,-67.5262,,,monload-611_runway,,,,,2.4,0.9591416666666667,0.0,
38,0.0,2271.13,111.787,0.0,0.0,,,25.2709,111.787,25.2709,-68.2133,,,monload-611_runway,,,,,2.4,0.9463041666666667,0.0,
39,0.0,2337.38,113.276,0.0,0.0,,,24.5082,113.271,24.5082,-66.7291,,,monload-611_runway,,,,,2.4,0.9739083333333334,0.0,
40,0.0,2307.1,112.59,0.0,0.0,,,24.748,112.591,24.748,-67.4092,,,monload-611_runway,,,,,2.4,0.9612916666666667,0.0,
41,0.0,2269.6,111.744,0.0,0.0,,,25.7439,111.744,25.7439,-68.2558,,,monload-611_runway,,,,,2.4,0.9456666666666667,0.0,
42,0.0,2257.29,111.464,0.0,0.0,,,31.3301,111.466,31.3301,-68.5339,,,monload-611_runway,,,,,2.4,0.9405375,0.0,
43,0.0,2283.19,112.043,0.0,0.0,,,38.7986,112.043,38.7986,-67.9573,,,monload-611_runway,,,,,2.4,0.9513291666666667,0.0,
44,0.0,2282.15,112.014,0.0,0.0,,,41.1781,112.014,41.1781,-67.9864,,,monload-611_runway,,,,,2.4,0.9508958333333334,0.0,
45,0.0,2297.96,112.371,0.0,0.0,,,45.1231,112.37,45.1231,-67.63,,,monload-611_runway,,,,,2.4,0.9574833333333334,0.0,
46,0.0,2308.23,112.607,0.0,0.0,,,42.3023,112.606,42.3023,-67.3935,,,monload-611_runway,,,,,2.4,0.9617625,0.0,
47,0.0,2334.43,113.235,0.0,0.0,,,30.8497,113.233,30.8497,-66.7669,,,monload-611_runway,,,,,2.4,0.9726791666666667,0.0,
48,0.0,2351.4,113.646,0.0,0.0,,,21.1497,113.644,21.1497,-66.3559,,,monload-611_runway,,,,,2.4,0.97975,0.0,
49,0.0,2370.09,114.084,0.0,0.0,,,18.8942,114.084,18.8942,-65.9163,,,monload-611_runway,,,,,2.4,0.9875375000000001,0.0,
50,0.0,2371.58,114.119,0.0,0.0,,,18.3946,114.118,18.3946,-65.882,,,monload-611_runway,,,,,2.4,0.9881583333333332,0.0,
51,0.0,2373.27,114.159,0.0,0.0,,,17.8874,114.158,17.8874,-65.8417,,,monload-611_runway,,,,,2.4,0.9888625,0.0,
