hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3,Name,P1(kW),P2(kW),P3(kW)
1,0.0,377466.0,-89.9741,,,,,108642.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,41008661.172,,
2,0.0,655161.0,-97.7891,,,,,107084.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,70157260.524,,
3,0.0,657956.0,-97.7891,,,,,107541.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,70757246.196,,
4,0.0,658352.0,-97.7891,,,,,107606.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,70842625.312,,
5,0.0,695781.0,-97.7891,,,,,113736.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,79135347.816,,
6,0.0,727068.0,-97.7891,,,,,118861.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,86420029.548,,
7,0.0,830747.0,-97.7891,,,,,135841.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,112849503.227,,
8,0.0,761612.0,-97.7891,,,,,124518.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,94834403.016,,
9,0.0,777018.0,-97.7891,,,,,127041.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,98713143.738,,
10,0.0,750948.0,-97.7891,,,,,122772.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,92195387.856,,
11,0.0,733801.0,-97.7891,,,,,119963.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,88028969.363,,
12,0.0,736652.0,-97.7891,,,,,120430.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,88715000.36,,
13,0.0,732466.0,-97.7891,,,,,119745.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,87709141.17,,
14,0.0,723329.0,-97.7891,,,,,118248.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,85532207.592,,
15,0.0,723764.0,-97.7891,,,,,118319.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,85635032.716,,
16,0.0,734118.0,-97.7891,,,,,120015.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,88105171.77,,
17,0.0,772575.0,-97.7891,,,,,126314.0,60.0,,,,,monisource-isource_newdiesel675_1_shape,97587038.55,,
