Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 0, 1,    66394.1,   30.0,         0, 2,      66395,  -90.0,         0, 3,    66392.8,  150.0,         0
"650", 0, 1,    2401.61,    0.0,         0, 2,    2401.71, -120.0,         0, 3,    2401.63,  120.0,         0
"RG60", 0, 1,    2521.42,    0.0,         0, 2,    2491.58, -120.0,         0, 3,    2536.44,  120.0,         0
"633", 0, 1,    2246.56,   -2.1,         0, 2,     2280.9, -122.2,         0, 3,    2250.08,  117.6,         0
"634", 0, 1,    252.571,   -2.9,         0, 2,    257.829, -122.7,         0, 3,    254.353,  117.1,         0
"671", 0, 1,    2138.29,   -4.8,         0, 2,    2276.48, -123.1,         0, 3,    2133.86,  115.6,         0
"645", 0, 2,    2271.55, -122.4,         0, 3,    2250.75,  117.7,         0, 0, 0, 0, 0
"646", 0, 2,    2267.74, -122.4,         0, 3,    2246.21,  117.8,         0, 0, 0, 0, 0
"692", 0, 1,    2138.29,   -4.8,         0, 2,    2276.48, -123.1,         0, 3,    2133.86,  115.6,         0
"675", 0, 1,    2123.42,   -5.0,         0, 2,    2281.33, -123.3,         0, 3,    2129.39,  115.6,         0
"611", 0, 3,    2125.93,  115.4,         0, 0, 0, 0, 0, 0, 0, 0, 0
"652", 0, 1,    2121.76,   -4.7,         0, 0, 0, 0, 0, 0, 0, 0, 0
"670", 0, 1,    2184.27,   -2.8,         0, 2,    2257.95, -122.7,         0, 3,    2188.32,  116.7,         0
"680", 0, 1,    2138.29,   -4.8,         0, 2,    2276.48, -123.1,         0, 3,    2133.86,  115.6,         0
"684", 0, 1,    2133.81,   -4.8,         0, 3,    2130.44,  115.5,         0, 0, 0, 0, 0
"632", 0, 1,     2257.3,   -2.1,         0, 2,    2289.43, -122.2,         0, 3,    2258.49,  117.7,         0
